#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Sro_contig1266:20082-21623       -            459 8842at33634          -            343  6.5e-177  581.7   7.0   1   2   2.1e-17     2e-16   54.0   1.2     1    55    45   107    45   111 0.88 -
Sro_contig1266:20082-21623       -            459 8842at33634          -            343  6.5e-177  581.7   7.0   2   2  1.7e-162  1.6e-161  531.1   0.5    55   339   134   445   128   453 0.94 -
Sro_contig536:29508-31066        -            461 8842at33634          -            343  6.7e-177  581.7   7.0   1   2   2.1e-17     2e-16   54.0   1.2     1    55    47   109    47   113 0.88 -
Sro_contig536:29508-31066        -            461 8842at33634          -            343  6.7e-177  581.7   7.0   2   2  1.7e-162  1.6e-161  531.1   0.5    55   339   136   447   130   455 0.94 -
Sro_contig143:85951-86920        -            284 8842at33634          -            343   6.7e-92  302.2   0.2   1   1   7.8e-93   7.4e-92  302.1   0.2    71   329     3   275     1   284 0.90 -
Sro_contig35:148398-149339       -            314 8842at33634          -            343   5.5e-89  292.6   0.3   1   1   6.4e-90   6.1e-89  292.5   0.3    80   337    30   302     1   311 0.87 -
Sro_contig196:81102-82270        -            361 8842at33634          -            343   1.1e-86  285.0   0.1   1   1   1.6e-87   1.5e-86  284.6   0.1    79   340    77   354    56   357 0.91 -
Sro_contig1509:20556-21718       -            312 8842at33634          -            343   2.5e-77  254.3   0.1   1   1   3.2e-78     3e-77  254.0   0.1    74   329    23   285    12   301 0.91 -
Sro_contig545:5732-6943          -            340 8842at33634          -            343   6.4e-76  249.6   0.3   1   1   8.8e-77   8.3e-76  249.3   0.3    72   338    49   332    34   336 0.88 -
Sro_contig287:27058-27753        -            232 8842at33634          -            343   5.2e-57  187.5   0.2   1   1   6.6e-58   6.2e-57  187.2   0.2   114   328     1   223     1   231 0.88 -
Sro_chlor_contig51:138858-139682 -            275 8842at33634          -            343   2.4e-52  172.1   0.2   1   1   3.2e-53     3e-52  171.8   0.2   107   330    18   253     8   266 0.86 -
Sro_contig758:19467-20222        -            252 8842at33634          -            343   6.3e-52  170.8   0.1   1   1   7.9e-53   7.4e-52  170.5   0.1   114   328     1   225     1   237 0.88 -
Sro_contig66:134114-134836       -            241 8842at33634          -            343   9.3e-52  170.2   0.2   1   1   1.2e-52   1.1e-51  169.9   0.2   110   327     6   235     1   238 0.89 -
Sro_contig1272:2986-3696         -            237 8842at33634          -            343   3.1e-50  165.2   0.0   1   1   3.9e-51   3.7e-50  165.0   0.0   109   329     1   233     1   236 0.91 -
Sro_contig98:52835-53527         -            231 8842at33634          -            343   3.7e-50  164.9   0.0   1   1   4.4e-51   4.1e-50  164.8   0.0   110   327     3   231     1   231 0.92 -
Sro_contig2528:9097-9735         -            213 8842at33634          -            343   3.7e-46  151.8   0.0   1   1   4.7e-47   4.4e-46  151.5   0.0   109   298     1   197     1   208 0.90 -
Sro_contig21:82134-83091         -            271 8842at33634          -            343   8.1e-45  147.4   0.2   1   2   3.3e-44   3.1e-43  142.2   0.0   105   304     7   219     3   238 0.85 -
Sro_contig21:82134-83091         -            271 8842at33634          -            343   8.1e-45  147.4   0.2   2   2     0.047      0.44    3.6   0.1   301   330   238   267   230   269 0.90 -
Sro_contig117:98156-98928        -            227 8842at33634          -            343   7.4e-44  144.2   0.1   1   1   9.2e-45   8.6e-44  144.0   0.1   115   321     2   215     1   221 0.86 -
Sro_contig387:50942-51646        -            235 8842at33634          -            343   1.7e-38  126.6   0.0   1   1     2e-39   1.9e-38  126.4   0.0   129   332     3   224     1   234 0.84 -
Sro_contig279:57210-58374        -            256 8842at33634          -            343   9.1e-38  124.2   1.3   1   3   2.2e-07   2.1e-06   21.1   0.0   114   159     1    48     1    52 0.77 -
Sro_contig279:57210-58374        -            256 8842at33634          -            343   9.1e-38  124.2   1.3   2   3   5.7e-29   5.4e-28   92.1   0.1   186   302    49   168    48   175 0.91 -
Sro_contig279:57210-58374        -            256 8842at33634          -            343   9.1e-38  124.2   1.3   3   3   0.00077    0.0073    9.4   0.0   297   338   201   242   186   247 0.86 -
Sro_contig1141:29930-30915       -            296 8842at33634          -            343   1.7e-36  120.0   0.1   1   2   3.5e-17   3.3e-16   53.3   0.0   112   202     6   100     1   103 0.82 -
Sro_contig1141:29930-30915       -            296 8842at33634          -            343   1.7e-36  120.0   0.1   2   2   1.6e-20   1.5e-19   64.3   0.2   202   328   138   283   128   293 0.77 -
Sro_contig1177:22636-23451       -            272 8842at33634          -            343   3.1e-33  109.3   0.0   1   2   7.6e-23   7.1e-22   71.9   0.0   105   210     5   116     2   126 0.88 -
Sro_contig1177:22636-23451       -            272 8842at33634          -            343   3.1e-33  109.3   0.0   2   2   9.5e-12     9e-11   35.4   0.0   209   330   144   268   130   271 0.83 -
Sro_contig521:14459-15076        -            206 8842at33634          -            343     6e-31  101.8   0.1   1   1   7.3e-32   6.9e-31  101.6   0.1   139   293    34   203     1   206 0.81 -
Sro_contig1483:156-1111          -            225 8842at33634          -            343   2.5e-27   89.9   0.2   1   2   6.7e-08   6.4e-07   22.8   0.0   116   167     2    55     1    61 0.77 -
Sro_contig1483:156-1111          -            225 8842at33634          -            343   2.5e-27   89.9   0.2   2   2     1e-20   9.6e-20   64.9   0.2   205   328    71   212    67   222 0.78 -
Sro_contig31:133587-134483       -            299 8842at33634          -            343   1.2e-25   84.3   0.1   1   3    0.0032      0.03    7.4   0.0   114   155     1    42     1    49 0.93 -
Sro_contig31:133587-134483       -            299 8842at33634          -            343   1.2e-25   84.3   0.1   2   3   1.2e-08   1.1e-07   25.3   0.0   151   202    70   122    58   126 0.90 -
Sro_contig31:133587-134483       -            299 8842at33634          -            343   1.2e-25   84.3   0.1   3   3   2.6e-15   2.4e-14   47.2   0.0   198   298   154   270   146   285 0.73 -
Sro_contig358:48280-48921        -            214 8842at33634          -            343   2.7e-22   73.3   0.0   1   1   5.1e-23   4.8e-22   72.5   0.0   158   330     1   200     1   214 0.76 -
Sro_contig15:138993-140035       -            248 8842at33634          -            343   4.7e-19   62.7   1.9   1   4   6.9e-05   0.00065   12.9   0.2   138   161    15    38     1    53 0.80 -
Sro_contig15:138993-140035       -            248 8842at33634          -            343   4.7e-19   62.7   1.9   2   4      0.45       4.3    0.3   0.0   157   179    60    82    50    88 0.84 -
Sro_contig15:138993-140035       -            248 8842at33634          -            343   4.7e-19   62.7   1.9   3   4     0.012      0.12    5.5   0.0   181   209   113   142    86   147 0.86 -
Sro_contig15:138993-140035       -            248 8842at33634          -            343   4.7e-19   62.7   1.9   4   4   2.9e-13   2.7e-12   40.4   0.0   252   330   153   240   150   248 0.82 -
Sro_contig188:80367-81152        -            262 8842at33634          -            343   1.8e-17   57.5   0.0   1   1   2.6e-18   2.5e-17   57.0   0.0   125   289    82   261    34   262 0.77 -
Sro_contig157:43179-43985        -            269 8842at33634          -            343   3.6e-17   56.5   0.0   1   1     9e-18   8.5e-17   55.3   0.0   140   293    27   211     1   267 0.71 -
Sro_contig182:25872-26546        -            225 8842at33634          -            343   1.4e-16   54.5   0.1   1   1   1.8e-17   1.7e-16   54.2   0.1   146   288    67   225    34   225 0.80 -
Sro_contig1097:19634-20338       -            235 8842at33634          -            343   1.7e-15   51.0   0.0   1   1   1.9e-16   1.8e-15   50.9   0.0   144   297    21   173     1   212 0.74 -
Sro_contig698:11008-11715        -            236 8842at33634          -            343   1.1e-06   22.0   0.0   1   1   1.6e-07   1.5e-06   21.6   0.0   149   264    41   150    17   161 0.80 -
Sro_contig2005:16716-17372       -            219 8842at33634          -            343     1e-05   18.8   0.0   1   1   1.7e-06   1.6e-05   18.2   0.0   116   242     8   139     1   151 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/8842at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Seminavis_robusta_version1.2/run_stramenopiles_odb10/metaeuk_output/initial_results/Seminavis_robusta_genomeV1.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Seminavis_robusta_version1.2/run_stramenopiles_odb10/hmmer_output/initial_run_results/8842at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/8842at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Seminavis_robusta_version1.2/run_stramenopiles_odb10/metaeuk_output/initial_results/Seminavis_robusta_genomeV1.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 09:11:21 2021
# [ok]
