#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
OLMU01003479_1:3520-5464   -            617 1194797at2759        -            454   8.7e-93  307.3   6.0   1   4   0.00044      0.03    8.8   0.2    44    77    10    43     1    89 0.67 -
OLMU01003479_1:3520-5464   -            617 1194797at2759        -            454   8.7e-93  307.3   6.0   2   4   3.9e-15   2.6e-13   45.3   0.0    98   155   107   166    93   191 0.79 -
OLMU01003479_1:3520-5464   -            617 1194797at2759        -            454   8.7e-93  307.3   6.0   3   4     1e-47     7e-46  152.6   0.1   166   314   206   379   199   385 0.86 -
OLMU01003479_1:3520-5464   -            617 1194797at2759        -            454   8.7e-93  307.3   6.0   4   4   6.7e-32   4.5e-30  100.5   0.3   310   433   406   550   396   569 0.80 -
OLMU01001958_1:658-2619    -            654 1194797at2759        -            454   5.7e-11   37.6   4.2   1   2   9.7e-12   6.5e-10   34.1   0.0   150   349   122   376    76   447 0.67 -
OLMU01001958_1:658-2619    -            654 1194797at2759        -            454   5.7e-11   37.6   4.2   2   2       1.5     1e+02   -2.8   0.2   407   445   609   645   599   651 0.51 -
OLMU01003579_1:2575-3570   -            332 1194797at2759        -            454     1e-08   30.1   1.0   1   4    0.0049      0.33    5.4   0.0   320   346     8    34     3    44 0.88 -
OLMU01003579_1:2575-3570   -            332 1194797at2759        -            454     1e-08   30.1   1.0   2   4    0.0064      0.43    5.0   0.0   103   125    50    73    39    82 0.77 -
OLMU01003579_1:2575-3570   -            332 1194797at2759        -            454     1e-08   30.1   1.0   3   4       1.2        80   -2.5   0.1   101   126   138   163   110   165 0.75 -
OLMU01003579_1:2575-3570   -            332 1194797at2759        -            454     1e-08   30.1   1.0   4   4   3.1e-06   0.00021   15.9   0.1   312   374   255   322   233   330 0.77 -
OLMU01000932_1:6224-7879   -            552 1194797at2759        -            454   2.4e-08   28.9   3.9   1   5      0.36        24   -0.8   0.0   322   344    22    44     8    54 0.72 -
OLMU01000932_1:6224-7879   -            552 1194797at2759        -            454   2.4e-08   28.9   3.9   2   5     0.032       2.1    2.7   0.0   315   351   164   200   152   231 0.70 -
OLMU01000932_1:6224-7879   -            552 1194797at2759        -            454   2.4e-08   28.9   3.9   3   5     0.017       1.1    3.6   0.1   321   368   259   312   215   327 0.57 -
OLMU01000932_1:6224-7879   -            552 1194797at2759        -            454   2.4e-08   28.9   3.9   4   5   6.3e-06   0.00043   14.9   0.0   247   334   303   402   299   419 0.81 -
OLMU01000932_1:6224-7879   -            552 1194797at2759        -            454   2.4e-08   28.9   3.9   5   5    0.0049      0.33    5.4   0.0    77   120   455   498   437   515 0.74 -
