#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold18_size1287306:280822-282348   -            509 905026at2759         -            402     1e-47  159.1   0.0   1   2     2e-07   2.1e-05   19.8   0.0    79   138   105   169    95   176 0.86 -
scaffold18_size1287306:280822-282348   -            509 905026at2759         -            402     1e-47  159.1   0.0   2   2     5e-43   5.3e-41  137.0   0.3   168   324   302   467   255   476 0.80 -
scaffold86_size624847:513553-515445    -            631 905026at2759         -            402   6.3e-18   61.0   4.9   1   3    0.0012      0.13    7.3   0.0    22    52    63    92    50    96 0.85 -
scaffold86_size624847:513553-515445    -            631 905026at2759         -            402   6.3e-18   61.0   4.9   2   3   2.3e-12   2.4e-10   36.0   0.4   205   280   365   441   350   446 0.86 -
scaffold86_size624847:513553-515445    -            631 905026at2759         -            402   6.3e-18   61.0   4.9   3   3   1.4e-06   0.00015   16.9   0.0   200   278   462   541   450   547 0.87 -
scaffold18_size1287306:807123-807842   -            240 905026at2759         -            402   6.4e-18   61.0   2.5   1   2      0.21        22   -0.1   0.0   223   248    43    69    28    74 0.79 -
scaffold18_size1287306:807123-807842   -            240 905026at2759         -            402   6.4e-18   61.0   2.5   2   2   1.2e-19   1.2e-17   60.0   1.9   167   317    52   210    48   223 0.83 -
scaffold171_size496807:233803-235095   -            431 905026at2759         -            402   2.7e-12   42.4   3.0   1   3   0.00026     0.027    9.5   0.1   244   369    56   180    44   182 0.64 -
scaffold171_size496807:233803-235095   -            431 905026at2759         -            402   2.7e-12   42.4   3.0   2   3     0.018       1.9    3.4   0.0   337   369   189   221   179   257 0.67 -
scaffold171_size496807:233803-235095   -            431 905026at2759         -            402   2.7e-12   42.4   3.0   3   3   5.7e-08     6e-06   21.5   0.3   251   364   315   428   280   431 0.66 -
scaffold11_size2099203:1139641-1140351 -            237 905026at2759         -            402   1.8e-07   26.6   1.8   1   3   5.6e-05    0.0059   11.7   0.5   257   366     2   110     1   129 0.78 -
scaffold11_size2099203:1139641-1140351 -            237 905026at2759         -            402   1.8e-07   26.6   1.8   2   3     0.024       2.6    3.0   0.0   336   365   122   151   114   156 0.65 -
scaffold11_size2099203:1139641-1140351 -            237 905026at2759         -            402   1.8e-07   26.6   1.8   3   3   0.00029     0.031    9.3   0.0   336   365   164   193   159   233 0.93 -
scaffold211_size339361:258799-259410   -            204 905026at2759         -            402   4.3e-07   25.3   4.5   1   4    0.0062      0.65    5.0   0.2   335   364     6    35     2    42 0.87 -
scaffold211_size339361:258799-259410   -            204 905026at2759         -            402   4.3e-07   25.3   4.5   2   4   0.00048     0.051    8.6   0.0   330   369    43    82    36    87 0.88 -
scaffold211_size339361:258799-259410   -            204 905026at2759         -            402   4.3e-07   25.3   4.5   3   4      0.03       3.2    2.7   0.0   329   366    84   121    77   125 0.86 -
scaffold211_size339361:258799-259410   -            204 905026at2759         -            402   4.3e-07   25.3   4.5   4   4    0.0004     0.042    8.9   0.1   330   364   127   161   123   171 0.88 -
scaffold243_size230402:119626-120270   -            215 905026at2759         -            402   2.1e-06   23.1   0.6   1   3   1.2e-05    0.0012   13.9   0.1   238   366     6   133     3   138 0.82 -
scaffold243_size230402:119626-120270   -            215 905026at2759         -            402   2.1e-06   23.1   0.6   2   3     0.009      0.95    4.4   0.0    83   107   148   175   135   182 0.53 -
scaffold243_size230402:119626-120270   -            215 905026at2759         -            402   2.1e-06   23.1   0.6   3   3      0.49        52   -1.3   0.0   336   363   187   214   177   215 0.61 -
