#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAACVS010000102_1:7556-10780  -           1075 331411at2759         -            419   2.4e-27   91.0  17.6   1   5   1.2e-14   2.2e-12   41.7   0.9    68   159   254   366   249   380 0.70 -
CAACVS010000102_1:7556-10780  -           1075 331411at2759         -            419   2.4e-27   91.0  17.6   2   5   1.2e-09   2.2e-07   25.2   0.8   158   224   435   508   411   517 0.76 -
CAACVS010000102_1:7556-10780  -           1075 331411at2759         -            419   2.4e-27   91.0  17.6   3   5      0.62   1.2e+02   -3.5   0.0   217   242   526   551   520   554 0.86 -
CAACVS010000102_1:7556-10780  -           1075 331411at2759         -            419   2.4e-27   91.0  17.6   4   5     0.028       5.2    0.9   0.9   256   283   591   619   577   622 0.87 -
CAACVS010000102_1:7556-10780  -           1075 331411at2759         -            419   2.4e-27   91.0  17.6   5   5   1.9e-11   3.6e-09   31.1   0.0   284   351   707   783   705   819 0.81 -
CAACVS010000134_1:49610-51082 -            491 331411at2759         -            419   8.5e-09   29.9   0.0   1   5      0.22        41   -2.0   0.0   136   157    40    61    20    80 0.78 -
CAACVS010000134_1:49610-51082 -            491 331411at2759         -            419   8.5e-09   29.9   0.0   2   5     0.015       2.7    1.9   0.0   321   378    99   153    95   175 0.81 -
CAACVS010000134_1:49610-51082 -            491 331411at2759         -            419   8.5e-09   29.9   0.0   3   5   0.00028     0.053    7.5   0.0   290   374   214   300   205   319 0.83 -
CAACVS010000134_1:49610-51082 -            491 331411at2759         -            419   8.5e-09   29.9   0.0   4   5   5.6e-05     0.011    9.8   0.0   285   371   277   366   272   375 0.83 -
CAACVS010000134_1:49610-51082 -            491 331411at2759         -            419   8.5e-09   29.9   0.0   5   5   0.00022     0.041    7.9   0.0   322   382   422   479   416   484 0.90 -
CAACVS010000471_1:19925-21193 -            423 331411at2759         -            419    0.0016   12.5   1.1   1   4      0.56   1.1e+02   -3.4   0.0   331   360    99   125    92   137 0.49 -
CAACVS010000471_1:19925-21193 -            423 331411at2759         -            419    0.0016   12.5   1.1   2   4     0.052       9.7    0.1   0.0   216   245   202   231   194   242 0.80 -
CAACVS010000471_1:19925-21193 -            423 331411at2759         -            419    0.0016   12.5   1.1   3   4    0.0003     0.055    7.4   0.1   269   312   232   281   217   283 0.73 -
CAACVS010000471_1:19925-21193 -            423 331411at2759         -            419    0.0016   12.5   1.1   4   4     0.019       3.6    1.5   0.0   102   127   322   346   310   403 0.76 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/331411at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Pseudo-nitzschia_multistriata_ASM90066040v1/run_eukaryota_odb10/metaeuk_output/rerun_results/GCA_900660405.1_ASM90066040v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Pseudo-nitzschia_multistriata_ASM90066040v1/run_eukaryota_odb10/hmmer_output/rerun_results/331411at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/331411at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Pseudo-nitzschia_multistriata_ASM90066040v1/run_eukaryota_odb10/metaeuk_output/rerun_results/GCA_900660405.1_ASM90066040v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 05:05:23 2021
# [ok]
