#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
BDSP01000003_1:57505-59226   -            574 7485at33634          -            342  1.7e-126  416.7   5.1   1   4   2.7e-56     2e-55  183.0   0.0     1   160    38   233    38   245 0.86 -
BDSP01000003_1:57505-59226   -            574 7485at33634          -            342  1.7e-126  416.7   5.1   2   4   1.3e-20   9.4e-20   65.7   0.5   159   216   268   328   245   332 0.88 -
BDSP01000003_1:57505-59226   -            574 7485at33634          -            342  1.7e-126  416.7   5.1   3   4   4.3e-44   3.2e-43  142.9   0.0   209   313   339   449   337   458 0.91 -
BDSP01000003_1:57505-59226   -            574 7485at33634          -            342  1.7e-126  416.7   5.1   4   4   4.6e-08   3.4e-07   24.4   0.1   304   342   518   566   502   566 0.76 -
BDSP01000061_1:652231-653952 -            574 7485at33634          -            342  1.9e-125  413.3   4.2   1   4   1.3e-56   9.6e-56  184.1   0.0     1   160    38   233    38   240 0.86 -
BDSP01000061_1:652231-653952 -            574 7485at33634          -            342  1.9e-125  413.3   4.2   2   4   2.9e-20   2.2e-19   64.5   0.4   158   216   267   328   244   330 0.88 -
BDSP01000061_1:652231-653952 -            574 7485at33634          -            342  1.9e-125  413.3   4.2   3   4   3.5e-43   2.6e-42  139.9   0.0   209   313   339   449   337   458 0.91 -
BDSP01000061_1:652231-653952 -            574 7485at33634          -            342  1.9e-125  413.3   4.2   4   4     1e-07   7.4e-07   23.3   0.0   309   342   525   566   502   566 0.81 -
BDSP01000036_1:74354-75808   -            485 7485at33634          -            342   7.9e-90  296.2   2.3   1   1   6.2e-89   4.6e-88  290.3   2.3     2   335    20   418    19   425 0.81 -
BDSP01000252_1:315247-316701 -            485 7485at33634          -            342     1e-89  295.8   2.3   1   1   7.9e-89   5.9e-88  290.0   2.3     2   335    20   418    19   425 0.81 -
BDSP01000114_1:167360-169546 -            729 7485at33634          -            342   4.7e-74  244.3   0.0   1   1   2.1e-73   1.5e-72  239.3   0.0     4   299    51   397    48   416 0.84 -
BDSP01000131_1:504694-506874 -            727 7485at33634          -            342   2.6e-73  241.8   0.0   1   1   1.8e-72   1.4e-71  236.2   0.0     4   299    51   397    48   409 0.84 -
BDSP01000124_1:336851-338306 -            463 7485at33634          -            342   7.6e-73  240.3   6.3   1   1   2.8e-72   2.1e-71  235.6   6.2     4   295    43   377    40   404 0.81 -
BDSP01000014_1:17273-18735   -            462 7485at33634          -            342   1.3e-72  239.5   6.5   1   1   4.8e-72   3.6e-71  234.8   6.4     4   295    42   376    39   403 0.81 -
BDSP01000087_1:501093-502352 -            420 7485at33634          -            342   1.3e-66  219.8   0.9   1   2   3.4e-23   2.5e-22   74.2   0.4     1   151    40   223    40   230 0.76 -
BDSP01000087_1:501093-502352 -            420 7485at33634          -            342   1.3e-66  219.8   0.9   2   2   2.5e-44   1.8e-43  143.7   0.0   146   300   244   410   234   419 0.84 -
BDSP01000203_1:69090-70328   -            413 7485at33634          -            342   9.3e-66  217.0   1.1   1   2   4.5e-23   3.3e-22   73.8   0.2     1   148    40   220    40   232 0.76 -
BDSP01000203_1:69090-70328   -            413 7485at33634          -            342   9.3e-66  217.0   1.1   2   2   9.7e-44   7.2e-43  141.7   0.0   145   299   243   409   233   412 0.85 -
BDSP01000141_1:218837-219895 -            353 7485at33634          -            342   1.2e-61  203.4   3.9   1   1   1.5e-60   1.1e-59  197.0   3.9     2   279    20   347    19   353 0.78 -
BDSP01000277_1:173994-175052 -            353 7485at33634          -            342   2.9e-61  202.2   4.0   1   1   3.2e-60   2.4e-59  195.9   4.0     2   279    20   347    19   353 0.78 -
BDSP01000081_1:35818-37253   -            351 7485at33634          -            342   1.5e-56  186.7   0.0   1   1   5.9e-57   4.4e-56  185.2   0.0     1   268    40   351    40   351 0.81 -
BDSP01000257_1:160110-161171 -            354 7485at33634          -            342   2.3e-56  186.1   2.8   1   1   6.4e-57   4.8e-56  185.1   2.8     1   276    13   334    13   353 0.82 -
BDSP01000255_1:130659-131720 -            354 7485at33634          -            342   2.7e-56  185.9   3.3   1   1   7.5e-57   5.6e-56  184.9   3.3     1   276    13   334    13   353 0.80 -
BDSP01000229_1:56801-58128   -            406 7485at33634          -            342   1.2e-55  183.8   0.1   1   2   1.8e-32   1.4e-31  104.7   0.0     3   166    31   218    29   262 0.82 -
BDSP01000229_1:56801-58128   -            406 7485at33634          -            342   1.2e-55  183.8   0.1   2   2   4.2e-24   3.1e-23   77.2   0.0   189   295   271   387   267   403 0.79 -
BDSP01000193_1:287114-288459 -            406 7485at33634          -            342   1.2e-55  183.7   0.1   1   2   1.8e-32   1.4e-31  104.7   0.0     3   166    31   218    29   259 0.81 -
BDSP01000193_1:287114-288459 -            406 7485at33634          -            342   1.2e-55  183.7   0.1   2   2   4.2e-24   3.1e-23   77.2   0.0   189   295   271   387   267   403 0.79 -
BDSP01000252_1:33160-34338   -            365 7485at33634          -            342     8e-55  181.1   0.0   1   1   3.4e-55   2.5e-54  179.4   0.0     1   295    12   361    12   364 0.79 -
