ThiC	QPGO01000179_1	79.253	482	54	3	178	617	78777	77344	0.0	755
Thi5	QPGO01000225_1	24.638	138	89	3	131	268	45971	45603	0.13	35.8
Thi5-like	QPGO01000110_1	30.435	46	32	0	291	336	236693	236830	2.7	32.0
SSSP	QPGO01000002_1	35.417	48	31	0	9	56	1002487	1002630	3.2	32.3
TH1	QPGO01000173_1	57.088	261	108	2	323	579	150466	151248	1.64e-91	310
THIO	QPGO01000424_1	66.000	550	170	7	29	577	20275	21876	0.0	681
THIS	QPGO01000022_1	44.828	29	15	1	42	70	383073	383156	1.2	27.7
THIF	QPGO01000094_1	53.633	289	108	3	11	275	34813	33953	1.63e-114	265
DXS	QPGO01000173_1	81.473	448	58	2	306	729	76113	74773	0.0	748
THIG	QPGO01000186_1	66.667	36	12	0	56	91	131566	131459	4.85e-04	33.5
TPK1	QPGO01000057_1	52.381	252	102	6	20	253	371040	371795	8.12e-76	251
FOLR	QPGO01000082_1	25.676	74	32	2	90	141	215295	215513	1.1	32.3
Thi4	QPGO01000424_1	40.625	32	19	0	93	124	20434	20529	3.1	31.2
ThiM	QPGO01000055_1	35.000	40	26	0	39	78	341080	340961	6.7	29.6
TENA	QPGO01000097_1	64.961	254	61	1	1	226	117908	117147	2.33e-110	348
