#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
BLYE01000022_1:267445-269746   -            709 1194797at2759        -            454   2.1e-94  313.0  14.5   1   5   0.00041     0.019    9.8   0.1     2    33    30    62    29    66 0.88 -
BLYE01000022_1:267445-269746   -            709 1194797at2759        -            454   2.1e-94  313.0  14.5   2   5   4.4e-06   0.00021   16.3   0.1    33    75    86   132    79   177 0.77 -
BLYE01000022_1:267445-269746   -            709 1194797at2759        -            454   2.1e-94  313.0  14.5   3   5   4.3e-15     2e-13   46.0   0.0    97   155   197   257   160   262 0.87 -
BLYE01000022_1:267445-269746   -            709 1194797at2759        -            454   2.1e-94  313.0  14.5   4   5   7.8e-46   3.7e-44  147.3   0.4   166   313   297   469   291   485 0.84 -
BLYE01000022_1:267445-269746   -            709 1194797at2759        -            454   2.1e-94  313.0  14.5   5   5   1.7e-31   8.1e-30  100.1   0.5   311   434   499   643   483   661 0.81 -
BLYE01000142_1:213788-215707   -            640 1194797at2759        -            454   2.1e-14   49.3   0.5   1   2     4e-14   1.9e-12   42.8   0.0   165   392   149   440    51   454 0.62 -
BLYE01000142_1:213788-215707   -            640 1194797at2759        -            454   2.1e-14   49.3   0.5   2   2       2.1     1e+02   -2.4   1.6   398   444   584   630   570   636 0.75 -
BLYE01000014_1:435951-437873   -            641 1194797at2759        -            454   4.3e-14   48.2   0.7   1   2   7.1e-14   3.4e-12   42.0   0.0   217   392   219   441    54   455 0.67 -
BLYE01000014_1:435951-437873   -            641 1194797at2759        -            454   4.3e-14   48.2   0.7   2   2       2.1     1e+02   -2.4   1.6   398   444   585   631   571   637 0.75 -
BLYE01000009_1:236046-237038   -            331 1194797at2759        -            454   4.5e-08   28.4   1.7   1   3   0.00033     0.015   10.1   0.0   320   369     8    62     2    68 0.74 -
BLYE01000009_1:236046-237038   -            331 1194797at2759        -            454   4.5e-08   28.4   1.7   2   3     0.098       4.6    2.0   0.0    77   128   115   166   105   172 0.86 -
BLYE01000009_1:236046-237038   -            331 1194797at2759        -            454   4.5e-08   28.4   1.7   3   3   7.5e-05    0.0035   12.3   0.1   314   374   259   324   247   331 0.77 -
BLYE01000124_1:49909-50901     -            331 1194797at2759        -            454   4.5e-08   28.4   1.7   1   3   0.00033     0.015   10.1   0.0   320   369     8    62     2    68 0.74 -
BLYE01000124_1:49909-50901     -            331 1194797at2759        -            454   4.5e-08   28.4   1.7   2   3     0.098       4.6    2.0   0.0    77   128   115   166   105   172 0.86 -
BLYE01000124_1:49909-50901     -            331 1194797at2759        -            454   4.5e-08   28.4   1.7   3   3   7.5e-05    0.0035   12.3   0.1   314   374   259   324   247   331 0.77 -
BLYE01000036_1:199350-200303   -            318 1194797at2759        -            454   9.6e-06   20.7   0.0   1   2   1.3e-05   0.00063   14.7   0.0   298   408   126   256    66   271 0.73 -
BLYE01000036_1:199350-200303   -            318 1194797at2759        -            454   9.6e-06   20.7   0.0   2   2     0.052       2.5    2.9   0.0   316   344   282   310   263   315 0.76 -
BLYE01000014_1:273795-275114   -            440 1194797at2759        -            454   1.3e-05   20.3   0.6   1   4      0.39        18    0.0   0.0    95   121    14    40     3    47 0.71 -
BLYE01000014_1:273795-275114   -            440 1194797at2759        -            454   1.3e-05   20.3   0.6   2   4     0.023       1.1    4.1   0.0   314   348    64    98    54   109 0.75 -
BLYE01000014_1:273795-275114   -            440 1194797at2759        -            454   1.3e-05   20.3   0.6   3   4      0.12       5.7    1.7   0.0   322   367   156   207   151   215 0.70 -
BLYE01000014_1:273795-275114   -            440 1194797at2759        -            454   1.3e-05   20.3   0.6   4   4    0.0077      0.36    5.6   0.0   286   324   333   371   294   377 0.68 -
BLYE01000001_1:1490683-1491135 -            151 1194797at2759        -            454   1.9e-05   19.7   0.0   1   2    0.0018     0.087    7.7   0.0   314   345     4    35     1    41 0.86 -
BLYE01000001_1:1490683-1491135 -            151 1194797at2759        -            454   1.9e-05   19.7   0.0   2   2    0.0017     0.079    7.8   0.0   269   315    53    99    44   150 0.79 -
BLYE01000017_1:751760-753172   -            471 1194797at2759        -            454   3.8e-05   18.7   3.5   1   4     0.067       3.2    2.5   0.0   102   153    94   149    79   153 0.66 -
BLYE01000017_1:751760-753172   -            471 1194797at2759        -            454   3.8e-05   18.7   3.5   2   4     0.017      0.81    4.5   0.1   102   163   136   205   122   209 0.71 -
BLYE01000017_1:751760-753172   -            471 1194797at2759        -            454   3.8e-05   18.7   3.5   3   4   0.00017    0.0083   11.0   0.1   315   369   258   317   216   336 0.77 -
BLYE01000017_1:751760-753172   -            471 1194797at2759        -            454   3.8e-05   18.7   3.5   4   4   0.00048     0.023    9.6   0.4   319   370   262   318   259   381 0.60 -
BLYE01000006_1:1079917-1080579 -            221 1194797at2759        -            454   6.5e-05   18.0   0.0   1   1   1.8e-06   8.7e-05   17.6   0.0   300   372   111   186    99   191 0.79 -
BLYE01000001_1:1476434-1478750 -            728 1194797at2759        -            454   8.6e-05   17.6   0.9   1   3      0.11       5.4    1.7   0.1    98   125   458   486   453   542 0.55 -
BLYE01000001_1:1476434-1478750 -            728 1194797at2759        -            454   8.6e-05   17.6   0.9   2   3     0.039       1.9    3.3   0.0   354   371   586   603   577   617 0.54 -
BLYE01000001_1:1476434-1478750 -            728 1194797at2759        -            454   8.6e-05   17.6   0.9   3   3    0.0012     0.055    8.3   0.0   316   374   659   721   637   724 0.75 -
BLYE01000012_1:29323-31302     -            660 1194797at2759        -            454   9.8e-05   17.4   0.0   1   3      0.12       5.5    1.7   0.0    85   124    67   107    63   117 0.82 -
BLYE01000012_1:29323-31302     -            660 1194797at2759        -            454   9.8e-05   17.4   0.0   2   3    0.0062      0.29    5.9   0.0   319   375   227   289   219   306 0.70 -
