#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NKIB01003694_1:1022-3001     -            660 1479417at2759        -            177   6.8e-81  266.2   1.3   1   4   7.5e-50   3.2e-48  159.8   0.0     3   166    17   188    15   193 0.93 -
NKIB01003694_1:1022-3001     -            660 1479417at2759        -            177   6.8e-81  266.2   1.3   2   4   5.5e-05    0.0024   13.6   0.0    84   120   193   229   189   238 0.85 -
NKIB01003694_1:1022-3001     -            660 1479417at2759        -            177   6.8e-81  266.2   1.3   3   4     6e-08   2.6e-06   23.3   0.1   119   167   262   316   258   327 0.74 -
NKIB01003694_1:1022-3001     -            660 1479417at2759        -            177   6.8e-81  266.2   1.3   4   4   6.2e-21   2.6e-19   65.6   0.0    75   171   329   427   320   431 0.89 -
NKIB01002449_1:12784-13653   -            290 1479417at2759        -            177   1.1e-73  242.8   0.0   1   1   3.6e-75   1.5e-73  242.3   0.0     1   177    13   207    13   207 0.91 -
NKIB01014164_1:9391-11961    -            857 1479417at2759        -            177     1e-37  125.6   0.0   1   5    0.0088      0.38    6.5   0.0   111   165    47   103     4   111 0.84 -
NKIB01014164_1:9391-11961    -            857 1479417at2759        -            177     1e-37  125.6   0.0   2   5   3.9e-13   1.7e-11   40.2   0.0    80   155   341   417   333   428 0.89 -
NKIB01014164_1:9391-11961    -            857 1479417at2759        -            177     1e-37  125.6   0.0   3   5    0.0004     0.017   10.9   0.0    82   170   536   620   529   626 0.84 -
NKIB01014164_1:9391-11961    -            857 1479417at2759        -            177     1e-37  125.6   0.0   4   5   7.6e-08   3.2e-06   23.0   0.0     3    84   656   751   654   754 0.80 -
NKIB01014164_1:9391-11961    -            857 1479417at2759        -            177     1e-37  125.6   0.0   5   5     8e-12   3.4e-10   35.9   0.0     5    79   770   843   767   847 0.91 -
NKIB01002996_1:13149-13667   -            173 1479417at2759        -            177   1.1e-28   96.1   0.0   1   2   3.2e-16   1.4e-14   50.2   0.0    95   176     2    85     1    86 0.94 -
NKIB01002996_1:13149-13667   -            173 1479417at2759        -            177   1.1e-28   96.1   0.0   2   2   2.3e-14   9.8e-13   44.2   0.0     2    78    89   165    88   171 0.95 -
NKIB01006253_1:3-569         -            189 1479417at2759        -            177   1.9e-22   75.8   0.0   1   2   9.1e-13   3.9e-11   39.0   0.0     4    82     2    80     1    88 0.95 -
NKIB01006253_1:3-569         -            189 1479417at2759        -            177   1.9e-22   75.8   0.0   2   2   1.2e-11   5.1e-10   35.3   0.0    83   158   109   186    82   189 0.60 -
