#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold171_size496807:244160-245536    -            421 8842at33634          -            343  3.1e-182  599.1   7.7   1   2   1.6e-17   1.6e-16   54.2   1.6     1    55     6    68     6    71 0.91 -
scaffold171_size496807:244160-245536    -            421 8842at33634          -            343  3.1e-182  599.1   7.7   2   2  6.8e-168  6.8e-167  548.6   0.5    55   339    96   407    89   415 0.93 -
scaffold277_size287546:87291-88172      -            294 8842at33634          -            343   3.2e-93  306.4   0.4   1   1   3.8e-94   3.9e-93  306.1   0.4    70   340     2   288     1   292 0.90 -
scaffold389_size144285:63631-64572      -            314 8842at33634          -            343   9.6e-88  288.4   0.2   1   1   1.1e-88   1.1e-87  288.2   0.2    83   341    33   302     1   308 0.87 -
scaffold411_size163233:118747-119724    -            273 8842at33634          -            343   7.3e-84  275.6   0.1   1   1   8.6e-85   8.6e-84  275.4   0.1    93   340     1   264     1   267 0.91 -
scaffold186_size574618:90784-91867      -            325 8842at33634          -            343   3.9e-83  273.2   0.6   1   1   4.9e-84   4.9e-83  272.9   0.6    77   338    36   317    25   321 0.88 -
scaffold186_size574618:83730-84798      -            315 8842at33634          -            343   1.7e-81  267.8   0.1   1   1   2.2e-82   2.2e-81  267.5   0.1    73   329    22   287    12   301 0.92 -
scaffold66_size693783:598781-599476     -            232 8842at33634          -            343   2.9e-57  188.2   0.1   1   1   3.4e-58   3.4e-57  187.9   0.1   114   328     1   223     1   231 0.89 -
scaffold30_size1839819:1485511-1486350  -            280 8842at33634          -            343   4.6e-51  167.7   0.0   1   1   5.8e-52   5.9e-51  167.4   0.0   105   327    16   248     5   258 0.87 -
scaffold129_size369745:120700-121478    -            228 8842at33634          -            343   6.4e-50  164.0   0.0   1   1     7e-51   7.1e-50  163.9   0.0   113   323     9   228     1   228 0.86 -
scaffold57_size959080:93578-94591       -            338 8842at33634          -            343   1.7e-49  162.6   0.3   1   1     2e-50   2.1e-49  162.3   0.3   102   328    95   333    62   336 0.87 -
scaffold57_size959080:92588-93372       -            227 8842at33634          -            343   1.8e-48  159.2   0.0   1   1     2e-49     2e-48  159.1   0.0   110   327     3   227     1   227 0.90 -
scaffold197_size192998:86690-87385      -            232 8842at33634          -            343   7.6e-46  150.6   0.1   1   1     8e-47     8e-46  150.5   0.1   115   324     2   218     1   232 0.85 -
scaffold203_size675210:300925-301593    -            223 8842at33634          -            343   3.3e-45  148.5   0.0   1   1   3.6e-46   3.6e-45  148.4   0.0   114   327     1   222     1   223 0.88 -
scaffold140_size289873:21761-22592      -            239 8842at33634          -            343   2.2e-44  145.8   0.0   1   1   2.5e-45   2.5e-44  145.6   0.0   109   328     1   239     1   239 0.87 -
scaffold179_size420366:309662-310732    -            357 8842at33634          -            343   6.5e-41  134.4   0.6   1   2   1.3e-15   1.3e-14   47.9   0.0   112   170     2    62     1   110 0.78 -
scaffold179_size420366:309662-310732    -            357 8842at33634          -            343   6.5e-41  134.4   0.6   2   2   4.9e-26   4.9e-25   82.2   0.3   205   328   179   340   172   357 0.72 -
scaffold471_size71791:37901-38806       -            302 8842at33634          -            343     7e-37  121.1   0.0   1   1   1.2e-37   1.2e-36  120.4   0.0   112   295    40   240    11   254 0.80 -
scaffold465_size76457:53662-54279       -            206 8842at33634          -            343   3.5e-36  118.8   0.2   1   1   4.2e-37   4.2e-36  118.6   0.2   158   336     1   194     1   199 0.86 -
scaffold75_size1059443:642557-643487    -            278 8842at33634          -            343   3.8e-34  112.1   0.0   1   2     9e-17     9e-16   51.7   0.0   113   201     4    93     1   100 0.94 -
scaffold75_size1059443:642557-643487    -            278 8842at33634          -            343   3.8e-34  112.1   0.0   2   2   1.8e-18   1.8e-17   57.3   0.0   204   330   119   272   113   277 0.77 -
scaffold70_size833590:18933-19794       -            260 8842at33634          -            343     2e-31  103.2   0.1   1   1   3.5e-32   3.5e-31  102.4   0.1   140   340    27   252     1   255 0.74 -
scaffold186_size574618:94310-95055      -            223 8842at33634          -            343   8.7e-30   97.8   0.2   1   1   3.4e-29   3.4e-28   92.6   0.2   139   292    45   223    30   223 0.82 -
scaffold92_size717885:105246-106003     -            216 8842at33634          -            343   1.7e-28   93.6   0.0   1   1     2e-29     2e-28   93.3   0.0   146   333     1   197     1   206 0.80 -
