ThiC	BDSP01000235_1	32.692	52	35	0	178	229	144187	144342	1.3	32.7
Thi5	BDSP01000094_1	23.938	259	174	7	5	254	30038	29304	2.08e-10	62.8
Thi5-like	BDSP01000097_1	25.541	231	146	8	149	366	60310	59657	6.06e-11	65.5
SSSP	BDSP01000078_1	24.194	124	83	4	18	134	138987	139346	3.8	31.2
TH1	BDSP01000205_1	24.675	77	57	1	107	183	277210	276983	1.5	32.3
THIO	BDSP01000050_1	29.348	92	63	2	400	489	235927	235652	2.43e-04	45.4
THIF	BDSP01000111_1	53.556	450	196	2	11	454	478535	477207	8.29e-142	449
DXS	BDSP01000223_1	82.482	685	106	4	52	731	421115	423142	0.0	1177
THIG	BDSP01000122_1	35.714	56	34	1	181	234	141437	141270	0.002	40.0
TPK1	BDSP01000061_1	46.718	259	120	6	4	251	20095	20850	5.01e-66	222
FOLR	BDSP01000147_1	100.000	279	0	0	1	279	104661	105497	0.0	588
Thi4	BDSP01000204_1	41.860	43	25	0	88	130	22885	22757	0.12	35.0
ThiM	BDSP01000016_1	42.308	26	15	0	48	73	119828	119751	3.3	30.0
TENA	BDSP01000253_1	59.259	108	44	0	45	152	405160	404837	8.28e-65	139
