#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
OLMU01006034_1:1439-2332   -            298 1312453at2759        -            678   8.9e-53  174.6   0.1   1   2         9        43   -2.8   0.0    14    41     1    29     1    44 0.68 -
OLMU01006034_1:1439-2332   -            298 1312453at2759        -            678   8.9e-53  174.6   0.1   2   2   3.6e-53   1.7e-52  173.7   0.0    64   244    86   298    72   298 0.86 -
OLMU01006035_1:5-4270      -            955 1312453at2759        -            678   4.7e-48  159.0   6.9   1   4     6e-16   2.8e-15   50.6   1.5   270   361   125   232    99   240 0.81 -
OLMU01006035_1:5-4270      -            955 1312453at2759        -            678   4.7e-48  159.0   6.9   2   4   3.5e-27   1.7e-26   87.8   0.0   366   594   313   561   303   574 0.77 -
OLMU01006035_1:5-4270      -            955 1312453at2759        -            678   4.7e-48  159.0   6.9   3   4   3.1e-05   0.00014   15.3   1.4   563   673   588   721   580   726 0.65 -
OLMU01006035_1:5-4270      -            955 1312453at2759        -            678   4.7e-48  159.0   6.9   4   4      0.16      0.77    3.0   0.0   574   588   940   954   925   955 0.85 -
OLMU01000896_1:9678-10607  -            310 1312453at2759        -            678     9e-12   39.1   0.0   1   2   7.6e-10   3.6e-09   30.5   0.0    69   180    92   201    24   210 0.79 -
OLMU01000896_1:9678-10607  -            310 1312453at2759        -            678     9e-12   39.1   0.0   2   2     0.014     0.065    6.5   0.0   208   236   273   301   270   310 0.88 -
OLMU01003597_1:4924-5451   -            176 1312453at2759        -            678   3.8e-11   37.0   0.6   1   2   6.1e-09   2.9e-08   27.5   0.2   563   647     4    94     2   107 0.81 -
OLMU01003597_1:4924-5451   -            176 1312453at2759        -            678   3.8e-11   37.0   0.6   2   2    0.0045     0.022    8.1   0.0   573   591   136   154   126   167 0.86 -
OLMU01001380_1:270-1031    -            254 1312453at2759        -            678   8.6e-11   35.8   2.1   1   3   0.00077    0.0036   10.6   0.3   574   629    20    78     3   104 0.75 -
OLMU01001380_1:270-1031    -            254 1312453at2759        -            678   8.6e-11   35.8   2.1   2   3      0.22       1.1    2.5   0.1   572   593   108   129    93   135 0.86 -
OLMU01001380_1:270-1031    -            254 1312453at2759        -            678   8.6e-11   35.8   2.1   3   3   6.1e-07   2.9e-06   20.9   0.0   563   659   138   242   130   244 0.82 -
OLMU01000505_1:452-1051    -            200 1312453at2759        -            678     1e-10   35.6   0.0   1   1   2.9e-11   1.4e-10   35.2   0.0    76   234    19   193     6   196 0.72 -
OLMU01004074_1:1294-1992   -            163 1312453at2759        -            678   2.1e-10   34.6   0.6   1   3   1.7e-06   7.9e-06   19.4   0.0    89   125     2    39     1    44 0.91 -
OLMU01004074_1:1294-1992   -            163 1312453at2759        -            678   2.1e-10   34.6   0.6   2   3     0.019      0.09    6.0   0.0   164   181    47    63    45    75 0.84 -
OLMU01004074_1:1294-1992   -            163 1312453at2759        -            678   2.1e-10   34.6   0.6   3   3     0.017     0.083    6.2   0.0   208   233   128   153   124   156 0.92 -
OLMU01003259_1:5141-6028   -            296 1312453at2759        -            678   4.5e-10   33.5   2.4   1   4     0.072      0.34    4.1   0.0   556   591    35    74    14    79 0.71 -
OLMU01003259_1:5141-6028   -            296 1312453at2759        -            678   4.5e-10   33.5   2.4   2   4     0.059      0.28    4.4   0.1   572   592   100   120    74   138 0.81 -
OLMU01003259_1:5141-6028   -            296 1312453at2759        -            678   4.5e-10   33.5   2.4   3   4   0.00047    0.0022   11.3   0.0   574   632   144   205   129   218 0.73 -
OLMU01003259_1:5141-6028   -            296 1312453at2759        -            678   4.5e-10   33.5   2.4   4   4   0.00068    0.0032   10.8   0.3   573   637   227   296   210   296 0.72 -
OLMU01003579_1:2584-3645   -            354 1312453at2759        -            678   8.6e-10   32.5   7.4   1   5     0.021       0.1    5.9   0.0   563   621    27    90    17   104 0.67 -
OLMU01003579_1:2584-3645   -            354 1312453at2759        -            678   8.6e-10   32.5   7.4   2   5    0.0016    0.0077    9.6   0.6   574   628   131   187   111   204 0.81 -
OLMU01003579_1:2584-3645   -            354 1312453at2759        -            678   8.6e-10   32.5   7.4   3   5       4.9        23   -1.9   0.0   547   593   227   272   205   280 0.74 -
OLMU01003579_1:2584-3645   -            354 1312453at2759        -            678   8.6e-10   32.5   7.4   4   5   0.00052    0.0025   11.2   0.0   562   591   281   313   262   316 0.83 -
OLMU01003579_1:2584-3645   -            354 1312453at2759        -            678   8.6e-10   32.5   7.4   5   5      0.01     0.049    6.9   0.1   555   589   315   353   312   354 0.77 -
OLMU01004457_1:3572-4129   -            186 1312453at2759        -            678   2.3e-09   31.1   0.0   1   1   5.9e-10   2.8e-09   30.8   0.0    52   187    40   175    22   183 0.85 -
OLMU01003924_1:11069-11950 -            294 1312453at2759        -            678   2.5e-09   31.0   0.0   1   2   1.7e-05   7.9e-05   16.1   0.0    46   121    55   136    46   144 0.82 -
OLMU01003924_1:11069-11950 -            294 1312453at2759        -            678   2.5e-09   31.0   0.0   2   2   0.00016   0.00078   12.9   0.0   161   231   214   292   193   294 0.63 -
OLMU01002101_1:2977-3384   -            136 1312453at2759        -            678   5.3e-09   29.9   0.0   1   1   1.6e-09   7.7e-09   29.4   0.0    80   184    26   128    19   131 0.76 -
OLMU01001348_1:9080-9982   -            301 1312453at2759        -            678   7.4e-09   29.4   0.0   1   3     0.031      0.15    5.3   0.0   565   600    26    61     7    96 0.81 -
OLMU01001348_1:9080-9982   -            301 1312453at2759        -            678   7.4e-09   29.4   0.0   2   3   0.00012   0.00055   13.4   0.0   563   595   128   163   100   172 0.71 -
OLMU01001348_1:9080-9982   -            301 1312453at2759        -            678   7.4e-09   29.4   0.0   3   3     0.014     0.065    6.5   0.0   567   631   181   246   171   261 0.84 -
OLMU01003470_1:40-654      -            205 1312453at2759        -            678   1.2e-08   28.8   0.1   1   3    0.0023     0.011    9.1   0.0    88   124     6    43     2    48 0.86 -
OLMU01003470_1:40-654      -            205 1312453at2759        -            678   1.2e-08   28.8   0.1   2   3    0.0019    0.0091    9.3   0.0   161   179    78    96    75   100 0.90 -
OLMU01003470_1:40-654      -            205 1312453at2759        -            678   1.2e-08   28.8   0.1   3   3     0.012     0.055    6.7   0.0   206   233   168   195   160   199 0.89 -
OLMU01001458_1:5527-7695   -            723 1312453at2759        -            678   1.2e-08   28.8   3.7   1   4   0.00024    0.0011   12.3   0.4   561   636    64   142    36   156 0.54 -
OLMU01001458_1:5527-7695   -            723 1312453at2759        -            678   1.2e-08   28.8   3.7   2   4     0.012     0.058    6.7   0.0   543   590   186   236   173   249 0.70 -
