#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
AGNL01041702_1:0-1979      -            479 858842at2759         -            236   1.5e-27   93.8  31.9   1   3       1.8        27    1.3   0.0    85   103   156   174   149   188 0.84 -
AGNL01041702_1:0-1979      -            479 858842at2759         -            236   1.5e-27   93.8  31.9   2   3   1.1e-23   1.5e-22   77.3   6.9   103   196   196   293   187   328 0.88 -
AGNL01041702_1:0-1979      -            479 858842at2759         -            236   1.5e-27   93.8  31.9   3   3   1.1e-08   1.6e-07   28.2   6.0   187   225   417   455   410   465 0.86 -
AGNL01048701_1:1008-1199   -             64 858842at2759         -            236   4.7e-25   85.5   1.6   1   1   3.4e-26   5.1e-25   85.4   1.6     4    67     1    64     1    64 0.99 -
AGNL01023020_1:6353-6928   -            192 858842at2759         -            236   1.1e-22   77.7   5.3   1   2   3.1e-17   4.5e-16   56.1   0.1    14    98     1    80     1    87 0.90 -
AGNL01023020_1:6353-6928   -            192 858842at2759         -            236   1.1e-22   77.7   5.3   2   2   2.6e-07   3.8e-06   23.7   1.3   104   165   125   191   118   192 0.85 -
AGNL01042973_1:569-760     -             64 858842at2759         -            236   1.3e-20   71.0   0.0   1   1   9.5e-22   1.4e-20   70.9   0.0     2    68     2    64     1    64 0.95 -
AGNL01042639_1:5047-5373   -            109 858842at2759         -            236   5.1e-20   69.1   2.0   1   2     0.027      0.39    7.2   0.0     4    21     1    18     1    20 0.96 -
AGNL01042639_1:5047-5373   -            109 858842at2759         -            236   5.1e-20   69.1   2.0   2   2   9.4e-19   1.4e-17   61.1   0.9    21    70    49    97    46   103 0.92 -
AGNL01000131_1:714-929     -             72 858842at2759         -            236   1.5e-19   67.5   0.0   1   1   1.1e-20   1.6e-19   67.5   0.0     5    71     1    66     1    71 0.94 -
AGNL01005471_1:916-1110    -             65 858842at2759         -            236   2.1e-19   67.0   0.9   1   1   1.5e-20   2.2e-19   67.0   0.9     3    66     2    65     1    65 0.97 -
AGNL01000440_1:7040-7234   -             65 858842at2759         -            236   2.3e-19   66.9   1.0   1   1   1.7e-20   2.5e-19   66.8   1.0     4    68     1    63     1    65 0.96 -
AGNL01007420_1:5968-6282   -            105 858842at2759         -            236   2.5e-19   66.8   0.0   1   1   1.8e-20   2.6e-19   66.7   0.0     3    71    33   100    31   105 0.93 -
AGNL01016998_1:677-862     -             62 858842at2759         -            236   7.1e-19   65.3   0.2   1   1   5.2e-20   7.7e-19   65.2   0.2     4    66     1    62     1    62 0.95 -
AGNL01032946_1:2229-2432   -             68 858842at2759         -            236   7.4e-19   65.3   0.6   1   1   5.4e-20     8e-19   65.1   0.6     4    66     1    67     1    68 0.89 -
AGNL01034195_1:16917-18062 -            382 858842at2759         -            236   7.7e-19   65.2   0.1   1   1   7.5e-20   1.1e-18   64.7   0.1     4    67     2    63     1    70 0.94 -
AGNL01004024_1:855-1211    -            119 858842at2759         -            236   1.3e-18   64.5   0.8   1   1   1.8e-19   2.6e-18   63.5   0.8     4    67     1    74     1    85 0.84 -
AGNL01016168_1:4246-4422   -             59 858842at2759         -            236   1.3e-18   64.5   0.1   1   1   9.4e-20   1.4e-18   64.4   0.1     5    63     2    59     1    59 0.94 -
AGNL01046670_1:140-998     -            179 858842at2759         -            236   4.6e-16   56.1   6.0   1   2     8e-17   1.2e-15   54.8   0.2     4    55     1    50     1    52 0.95 -
AGNL01046670_1:140-998     -            179 858842at2759         -            236   4.6e-16   56.1   6.0   2   2      0.26       3.8    4.0   1.2   133   165   131   163   102   177 0.76 -
AGNL01004219_1:3220-3372   -             51 858842at2759         -            236   9.2e-16   55.1   0.9   1   1     7e-17     1e-15   55.0   0.9    22    71     1    48     1    50 0.96 -
