#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold547_size55557:21180-24729  -           1155 293315at2759         -            638  2.4e-171  567.3  10.4   1   7    0.0027       1.7    2.9   0.0     2    21     3    24     2    28 0.86 -
scaffold547_size55557:21180-24729  -           1155 293315at2759         -            638  2.4e-171  567.3  10.4   2   7   6.9e-07   0.00044   14.8   0.0    29    88   104   192    98   195 0.76 -
scaffold547_size55557:21180-24729  -           1155 293315at2759         -            638  2.4e-171  567.3  10.4   3   7   1.7e-15   1.1e-12   43.2   0.0   114   196   301   408   278   417 0.82 -
scaffold547_size55557:21180-24729  -           1155 293315at2759         -            638  2.4e-171  567.3  10.4   4   7   2.9e-28   1.9e-25   85.4   0.1   191   256   438   503   425   512 0.89 -
scaffold547_size55557:21180-24729  -           1155 293315at2759         -            638  2.4e-171  567.3  10.4   5   7   4.7e-29     3e-26   88.0   0.0   254   303   521   570   514   579 0.90 -
scaffold547_size55557:21180-24729  -           1155 293315at2759         -            638  2.4e-171  567.3  10.4   6   7  5.6e-102   3.5e-99  328.9   0.0   306   599   595   946   584   975 0.84 -
scaffold547_size55557:21180-24729  -           1155 293315at2759         -            638  2.4e-171  567.3  10.4   7   7    0.0041       2.6    2.3   0.1   601   632  1039  1071  1029  1075 0.81 -
scaffold244_size177422:67118-74022 -           2100 293315at2759         -            638   1.7e-07   26.0   0.0   1   3   0.00074      0.47    4.8   0.0   116   153   199   236   183   248 0.83 -
scaffold244_size177422:67118-74022 -           2100 293315at2759         -            638   1.7e-07   26.0   0.0   2   3   8.7e-07   0.00055   14.5   0.0   319   394   532   607   527   620 0.91 -
scaffold244_size177422:67118-74022 -           2100 293315at2759         -            638   1.7e-07   26.0   0.0   3   3    0.0035       2.2    2.6   0.0   435   489   692   752   668   797 0.76 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/293315at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_ASM1318728v1/run_eukaryota_odb10/metaeuk_output/initial_results/Cyclotella_cryptica.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_ASM1318728v1/run_eukaryota_odb10/hmmer_output/initial_run_results/293315at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/293315at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_ASM1318728v1/run_eukaryota_odb10/metaeuk_output/initial_results/Cyclotella_cryptica.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 20:29:11 2021
# [ok]
