PtTHIC	AGNL01045876_1	91.026	234	21	0	345	578	3159	2458	0.0	427
PtNMT1	AGNL01018498_1	61.033	213	75	2	252	463	941	1558	2.93e-112	252
PtTH1	AGNL01002796_1	55.124	283	111	5	57	324	865	1710	1.22e-150	292
PtTHIO	AGNL01018349_1	64.883	299	98	3	202	493	6902	6006	4.65e-146	408
PtTHIS	AGNL01043102_1	55.714	70	31	0	1	70	56214	56423	7.93e-22	87.8
PtTHIF	AGNL01002445_1	48.148	351	160	4	52	381	3876	2827	1.56e-86	290
PtDXS	AGNL01013489_1	72.361	720	147	4	54	722	582	2738	0.0	1075
PtTHIG	AGNL01043102_1	83.146	267	45	0	1	267	53839	53039	5.64e-142	441
PtTPK	AGNL01049998_1	45.399	163	71	5	106	250	1884	1396	2.85e-44	132
PtSSSP	AGNL01045717_1	48.077	260	99	7	337	562	6373	7146	2.74e-54	200
FsFOLR	AGNL01047363_1	28.000	75	52	1	40	114	2076	1858	2.3	31.2
CrTHI4	AGNL01017391_1	42.000	50	23	2	93	140	1082	1219	2.1	32.0
