#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
OLMU01000575_1:5641-7232   -            500 6436at33634          -            420  1.6e-228  752.4   0.1   1   1  3.1e-229  2.5e-228  751.8   0.1     4   417    18   461     6   464 0.94 -
OLMU01004242_1:3228-5411   -            728 6436at33634          -            420  9.2e-106  348.1   0.0   1   1  1.5e-106  1.3e-105  347.6   0.0    10   407    49   481    32   495 0.90 -
OLMU01003128_1:4885-6162   -            426 6436at33634          -            420   1.3e-75  248.7   0.1   1   1   2.1e-76   1.7e-75  248.3   0.1    13   339    52   404    43   419 0.84 -
OLMU01001677_1:4867-6267   -            467 6436at33634          -            420   5.2e-64  210.5   1.1   1   2   5.9e-32   4.9e-31  101.9   0.2    10   164    55   230    48   267 0.84 -
OLMU01001677_1:4867-6267   -            467 6436at33634          -            420   5.2e-64  210.5   1.1   2   2   1.6e-33   1.4e-32  107.0   0.0   181   330   299   466   292   467 0.84 -
OLMU01002802_1:2777-3874   -            366 6436at33634          -            420   1.6e-63  208.9   0.0   1   1   2.3e-64   1.9e-63  208.6   0.0     3   325    13   358    11   365 0.86 -
OLMU01003101_1:1099-3183   -            613 6436at33634          -            420   7.7e-63  206.7   0.9   1   3   1.2e-32     1e-31  104.1   0.0     6   173    32   237    27   240 0.77 -
OLMU01003101_1:1099-3183   -            613 6436at33634          -            420   7.7e-63  206.7   0.9   2   3   1.4e-26   1.2e-25   84.2   0.0   182   326   288   463   282   490 0.82 -
OLMU01003101_1:1099-3183   -            613 6436at33634          -            420   7.7e-63  206.7   0.9   3   3    0.0018     0.015    8.0   0.0   361   402   568   611   563   613 0.87 -
OLMU01002813_1:872-1987    -            372 6436at33634          -            420   5.4e-61  200.6   0.0   1   1   1.1e-61   9.1e-61  199.8   0.0    10   316    20   356    12   365 0.83 -
OLMU01001269_1:6163-7338   -            392 6436at33634          -            420   3.7e-57  187.9   0.1   1   1   5.6e-58   4.6e-57  187.6   0.1    14   312    59   387    44   392 0.80 -
OLMU01000181_1:10510-11574 -            355 6436at33634          -            420   5.6e-56  184.1   0.5   1   1   1.5e-56   1.2e-55  182.9   0.5    10   283    43   355    35   355 0.80 -
OLMU01005625_1:935-2105    -            357 6436at33634          -            420   2.2e-55  182.1   0.0   1   1   3.2e-56   2.7e-55  181.8   0.0    10   323     6   352     1   355 0.81 -
OLMU01003978_1:709-2031    -            441 6436at33634          -            420   1.3e-54  179.6   0.1   1   1   2.2e-55   1.8e-54  179.1   0.1    10   321    22   370    13   382 0.76 -
OLMU01006216_1:3696-4928   -            381 6436at33634          -            420   4.1e-53  174.6   0.0   1   2   1.8e-35   1.5e-34  113.5   0.0    14   181    40   231    32   240 0.79 -
OLMU01006216_1:3696-4928   -            381 6436at33634          -            420   4.1e-53  174.6   0.0   2   2   4.7e-19   3.9e-18   59.4   0.0   212   308   283   380   245   381 0.79 -
OLMU01004581_1:4349-5432   -            354 6436at33634          -            420   9.5e-52  170.1   0.0   1   1   1.7e-52   1.4e-51  169.6   0.0    13   321     2   343     1   348 0.81 -
OLMU01002024_1:11979-13154 -            392 6436at33634          -            420   2.8e-50  165.3   0.9   1   1   8.3e-51   6.9e-50  164.0   0.9    10   323    26   389    19   392 0.78 -
OLMU01000387_1:3815-5161   -            369 6436at33634          -            420   7.9e-50  163.8   0.9   1   1   1.2e-50     1e-49  163.4   0.9    13   323    25   354    20   365 0.83 -
OLMU01003256_1:20283-21062 -            260 6436at33634          -            420   1.8e-48  159.3   0.1   1   1   3.9e-49   3.3e-48  158.5   0.1    88   310     5   257     1   260 0.84 -
OLMU01004763_1:15657-16763 -            369 6436at33634          -            420   1.8e-47  156.1   0.0   1   2   5.1e-26   4.2e-25   82.3   0.0    13   156     9   171     3   187 0.78 -
OLMU01004763_1:15657-16763 -            369 6436at33634          -            420   1.8e-47  156.1   0.0   2   2   5.7e-23   4.7e-22   72.3   0.0   149   316   189   368   174   369 0.80 -
OLMU01005155_1:1492-2544   -            351 6436at33634          -            420   3.4e-47  155.1   0.1   1   1   5.1e-48   4.2e-47  154.8   0.1    13   312    23   349    18   351 0.83 -
OLMU01005170_1:559-1802    -            374 6436at33634          -            420   4.8e-47  154.6   0.0   1   2   4.1e-34   3.5e-33  109.0   0.0    24   209     4   220     1   223 0.78 -
OLMU01005170_1:559-1802    -            374 6436at33634          -            420   4.8e-47  154.6   0.0   2   2   3.6e-14     3e-13   43.3   0.1   208   315   244   346   238   361 0.90 -
OLMU01000541_1:4945-6412   -            322 6436at33634          -            420   1.2e-46  153.3   0.1   1   2   9.3e-29   7.8e-28   91.3   0.0     8   170    23   214    16   225 0.76 -
OLMU01000541_1:4945-6412   -            322 6436at33634          -            420   1.2e-46  153.3   0.1   2   2   2.9e-19   2.4e-18   60.1   0.1   238   315   229   307   217   315 0.88 -
OLMU01000285_1:8225-9325   -            367 6436at33634          -            420   9.4e-45  147.1   0.2   1   1   1.4e-45   1.2e-44  146.7   0.2    13   324    24   355    19   365 0.83 -
OLMU01000154_1:26592-27948 -            384 6436at33634          -            420   3.6e-44  145.2   6.7   1   1   1.8e-43   1.5e-42  139.8   6.7    11   329     5   357     2   370 0.77 -
OLMU01003213_1:1920-3341   -            474 6436at33634          -            420   3.2e-41  135.4   0.0   1   2   3.4e-19   2.8e-18   59.9   0.0    11   170     4   190     1   198 0.74 -
OLMU01003213_1:1920-3341   -            474 6436at33634          -            420   3.2e-41  135.4   0.0   2   2   2.8e-23   2.3e-22   73.3   0.0   208   320   318   431   315   440 0.93 -
OLMU01004423_1:827-2128    -            434 6436at33634          -            420   9.7e-41  133.9   0.0   1   2   1.8e-24   1.5e-23   77.2   0.0    13   148    42   198    32   234 0.81 -
OLMU01004423_1:827-2128    -            434 6436at33634          -            420   9.7e-41  133.9   0.0   2   2   1.1e-17   9.4e-17   54.8   0.0   214   304   334   431   295   434 0.87 -
OLMU01004704_1:2-925       -            308 6436at33634          -            420   7.8e-40  130.9   0.0   1   1   1.1e-40   9.3e-40  130.6   0.0     5   279     8   306     4   308 0.76 -
OLMU01001245_1:1587-2684   -            366 6436at33634          -            420   4.8e-38  125.0   0.0   1   1   2.4e-38     2e-37  122.9   0.0    35   315     1   347     1   353 0.74 -
OLMU01003011_1:2512-3895   -            364 6436at33634          -            420   4.9e-36  118.3   0.1   1   3   2.2e-14   1.8e-13   44.0   0.0    13   121    25   158    18   168 0.73 -
OLMU01003011_1:2512-3895   -            364 6436at33634          -            420   4.9e-36  118.3   0.1   2   3   7.2e-09     6e-08   25.8   0.0   116   170   216   272   211   280 0.86 -
OLMU01003011_1:2512-3895   -            364 6436at33634          -            420   4.9e-36  118.3   0.1   3   3   1.3e-14   1.1e-13   44.7   0.0   229   313   278   363   270   364 0.89 -
OLMU01003313_1:9117-11065  -            258 6436at33634          -            420     2e-34  113.1   0.1   1   2     2e-19   1.6e-18   60.6   0.0    13   121    14   138     5   146 0.78 -
OLMU01003313_1:9117-11065  -            258 6436at33634          -            420     2e-34  113.1   0.1   2   2     2e-16   1.6e-15   50.7   0.0   213   301   168   258   142   258 0.88 -
OLMU01001725_1:7458-8747   -            430 6436at33634          -            420     1e-32  107.4   0.0   1   3   9.4e-09   7.8e-08   25.4   0.0    12    50    13    51     4    63 0.90 -
OLMU01001725_1:7458-8747   -            430 6436at33634          -            420     1e-32  107.4   0.0   2   3   3.9e-05   0.00032   13.5   0.0    65   137    89   176    74   183 0.66 -
OLMU01001725_1:7458-8747   -            430 6436at33634          -            420     1e-32  107.4   0.0   3   3   1.2e-20   9.9e-20   64.6   0.0   136   321   212   411   207   424 0.81 -
OLMU01001723_1:4217-5501   -            389 6436at33634          -            420   8.4e-32  104.4   0.1   1   2   1.4e-21   1.1e-20   67.7   0.1    11   177    19   208    12   261 0.70 -
OLMU01001723_1:4217-5501   -            389 6436at33634          -            420   8.4e-32  104.4   0.1   2   2     2e-11   1.7e-10   34.2   0.0   269   314   335   380   330   385 0.92 -
OLMU01001269_1:15816-17108 -            431 6436at33634          -            420   7.6e-28   91.4   0.2   1   3   1.3e-15   1.1e-14   48.1   0.0    13   118     6   120     3   149 0.72 -
OLMU01001269_1:15816-17108 -            431 6436at33634          -            420   7.6e-28   91.4   0.2   2   3      0.56       4.7   -0.2   0.0   152   217   198   278   188   291 0.61 -
OLMU01001269_1:15816-17108 -            431 6436at33634          -            420   7.6e-28   91.4   0.2   3   3   5.8e-13   4.8e-12   39.3   0.0   261   322   361   422   356   428 0.93 -
OLMU01002625_1:2189-3424   -            412 6436at33634          -            420   5.6e-27   88.5   1.6   1   1   3.5e-26     3e-25   82.8   1.6    10   312    20   385    12   402 0.66 -
OLMU01002589_1:2481-3929   -            483 6436at33634          -            420   3.4e-24   79.3   0.1   1   4   8.8e-12   7.3e-11   35.4   0.0    22   119    59   159    44   163 0.83 -
OLMU01002589_1:2481-3929   -            483 6436at33634          -            420   3.4e-24   79.3   0.1   2   4   3.9e-09   3.3e-08   26.7   0.0   104   152   197   253   180   265 0.81 -
OLMU01002589_1:2481-3929   -            483 6436at33634          -            420   3.4e-24   79.3   0.1   3   4       9.1        76   -4.2   0.0   156   173   307   324   303   326 0.80 -
OLMU01002589_1:2481-3929   -            483 6436at33634          -            420   3.4e-24   79.3   0.1   4   4   4.7e-05   0.00039   13.3   0.0   244   296   428   483   356   483 0.71 -
OLMU01002082_1:2248-3453   -            402 6436at33634          -            420   5.1e-22   72.2   3.2   1   2   3.1e-12   2.6e-11   36.9   0.7    27   167    38   212    30   235 0.67 -
OLMU01002082_1:2248-3453   -            402 6436at33634          -            420   5.1e-22   72.2   3.2   2   2   1.6e-10   1.4e-09   31.3   0.1   209   287   323   402   282   402 0.83 -
OLMU01003527_1:5016-6296   -            427 6436at33634          -            420   3.5e-20   66.1   0.1   1   3   4.9e-15   4.1e-14   46.1   0.0    14    84     7    77     4    88 0.91 -
OLMU01003527_1:5016-6296   -            427 6436at33634          -            420   3.5e-20   66.1   0.1   2   3      0.11      0.89    2.2   0.0   120   137   151   168   139   175 0.87 -
OLMU01003527_1:5016-6296   -            427 6436at33634          -            420   3.5e-20   66.1   0.1   3   3   3.2e-05   0.00027   13.8   0.0   259   312   360   414   357   425 0.82 -
OLMU01001221_1:5275-6159   -            295 6436at33634          -            420    0.0003   13.6   0.0   1   2       2.1        18   -2.1   0.0    59    77    26    44    13   128 0.66 -
OLMU01001221_1:5275-6159   -            295 6436at33634          -            420    0.0003   13.6   0.0   2   2     9e-05   0.00075   12.3   0.0   235   283   219   268   215   293 0.82 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/6436at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Licmophora_abbreviata_CCMP470/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_900291995.1_CCMP470_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Licmophora_abbreviata_CCMP470/run_stramenopiles_odb10/hmmer_output/initial_run_results/6436at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/6436at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Licmophora_abbreviata_CCMP470/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_900291995.1_CCMP470_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 15:51:02 2021
# [ok]
