#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
BLYE01000011_1:836783-842404 -           1707 1102at33634          -           1214         0 1608.4   8.7   1   7   1.2e-38   1.4e-36  119.8   0.0    14   136     1   138     1   184 0.79 -
BLYE01000011_1:836783-842404 -           1707 1102at33634          -           1214         0 1608.4   8.7   2   7   4.8e-08   5.3e-06   18.5   0.1   131   171   186   230   176   244 0.74 -
BLYE01000011_1:836783-842404 -           1707 1102at33634          -           1214         0 1608.4   8.7   3   7  2.7e-211  2.9e-209  691.7   0.0   176   643   283   822   271   827 0.88 -
BLYE01000011_1:836783-842404 -           1707 1102at33634          -           1214         0 1608.4   8.7   4   7  4.3e-114  4.8e-112  369.7   0.1   637   829   864  1060   846  1088 0.93 -
BLYE01000011_1:836783-842404 -           1707 1102at33634          -           1214         0 1608.4   8.7   5   7   6.8e-48   7.5e-46  150.4   0.3   875   980  1212  1322  1192  1333 0.90 -
BLYE01000011_1:836783-842404 -           1707 1102at33634          -           1214         0 1608.4   8.7   6   7   6.1e-06   0.00067   11.5   0.0   979  1050  1354  1430  1334  1437 0.83 -
BLYE01000011_1:836783-842404 -           1707 1102at33634          -           1214         0 1608.4   8.7   7   7   3.1e-76   3.4e-74  244.4   0.0  1011  1212  1485  1706  1478  1707 0.85 -
BLYE01000008_1:793806-798089 -           1395 1102at33634          -           1214    1e-194  643.5   6.6   1   3  1.8e-148    2e-146  483.6   0.2    65   804     3   802     1   830 0.76 -
BLYE01000008_1:793806-798089 -           1395 1102at33634          -           1214    1e-194  643.5   6.6   2   3   2.9e-30   3.2e-28   92.1   0.1   879   988   973  1088   942  1124 0.74 -
BLYE01000008_1:793806-798089 -           1395 1102at33634          -           1214    1e-194  643.5   6.6   3   3   1.9e-23   2.1e-21   69.5   0.2   971  1211  1140  1395  1128  1395 0.75 -
BLYE01000017_1:184551-187844 -           1098 1102at33634          -           1214  6.6e-174  574.6   2.0   1   3   3.4e-18   3.7e-16   52.1   0.4    10   157     2   154     1   184 0.80 -
BLYE01000017_1:184551-187844 -           1098 1102at33634          -           1214  6.6e-174  574.6   2.0   2   3  1.2e-133  1.3e-131  434.5   0.0   208   805   237   897   208   915 0.80 -
BLYE01000017_1:184551-187844 -           1098 1102at33634          -           1214  6.6e-174  574.6   2.0   3   3     3e-28   3.3e-26   85.4   0.0   882   964   994  1078   974  1095 0.84 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/1102at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Nitzschia_putrida_Nputr_1.0/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_016586335.1_Nputr_1.0_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Nitzschia_putrida_Nputr_1.0/run_stramenopiles_odb10/hmmer_output/initial_run_results/1102at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/1102at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Nitzschia_putrida_Nputr_1.0/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_016586335.1_Nputr_1.0_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Thu Apr 15 13:52:59 2021
# [ok]
