#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_34:388419-391274  -            952 9731at33634          -            562  7.1e-217  715.4   5.4   1   3  2.5e-212  1.3e-210  694.7   1.4     1   444     1   464     1   518 0.91 -
scaffold_34:388419-391274  -            952 9731at33634          -            562  7.1e-217  715.4   5.4   2   3   2.7e-07   1.4e-05   17.9   0.1   458   526   524   607   504   612 0.71 -
scaffold_34:388419-391274  -            952 9731at33634          -            562  7.1e-217  715.4   5.4   3   3     0.031       1.6    1.2   0.0   514   551   686   728   677   734 0.69 -
scaffold_211:74477-76300   -            608 9731at33634          -            562   4.2e-27   88.9  10.7   1   1   2.9e-27   1.5e-25   83.8  10.7    26   526    16   539     3   545 0.82 -
scaffold_471:74343-74690   -            116 9731at33634          -            562   2.4e-21   69.9   0.0   1   1   4.9e-23   2.6e-21   69.8   0.0    50   161     1   116     1   116 0.93 -
scaffold_293:52485-54929   -            815 9731at33634          -            562   7.1e-11   35.4   3.3   1   3   8.4e-12   4.4e-10   32.7   1.4    38   249    41   261    26   304 0.72 -
scaffold_293:52485-54929   -            815 9731at33634          -            562   7.1e-11   35.4   3.3   2   3     0.021       1.1    1.7   0.0   104   209   347   455   318   512 0.76 -
scaffold_293:52485-54929   -            815 9731at33634          -            562   7.1e-11   35.4   3.3   3   3       0.4        21   -2.5   0.0   467   500   497   530   456   559 0.73 -
scaffold_105:254229-257254 -            904 9731at33634          -            562   4.3e-09   29.5   3.0   1   2   1.2e-07   6.2e-06   19.1   0.1    91   156    66   131    61   140 0.89 -
scaffold_105:254229-257254 -            904 9731at33634          -            562   4.3e-09   29.5   3.0   2   2     5e-05    0.0026   10.4   0.6   284   465   246   439   212   449 0.69 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/9731at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Pseudo-nitzschia_multiseries_Psemu1/run_stramenopiles_odb10/metaeuk_output/initial_results/Psemu1_AssemblyScaffolds_Repeatmasked.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Pseudo-nitzschia_multiseries_Psemu1/run_stramenopiles_odb10/hmmer_output/initial_run_results/9731at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/9731at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Pseudo-nitzschia_multiseries_Psemu1/run_stramenopiles_odb10/metaeuk_output/initial_results/Psemu1_AssemblyScaffolds_Repeatmasked.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Thu Apr 15 14:56:35 2021
# [ok]
