#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JAAFKC010002930_1:0-2036   -            679 551907at2759         -            355   2.9e-38  128.6   4.1   1   6   9.8e-07    0.0008   15.3   0.1     1    36   124   159   124   197 0.88 -
JAAFKC010002930_1:0-2036   -            679 551907at2759         -            355   2.9e-38  128.6   4.1   2   6      0.11        94   -1.3   0.0    34    58   178   205   160   220 0.72 -
JAAFKC010002930_1:0-2036   -            679 551907at2759         -            355   2.9e-38  128.6   4.1   3   6     0.032        26    0.5   0.1    53    73   265   286   243   292 0.81 -
JAAFKC010002930_1:0-2036   -            679 551907at2759         -            355   2.9e-38  128.6   4.1   4   6   2.7e-16   2.2e-13   46.8   0.0    84   173   348   458   343   461 0.80 -
JAAFKC010002930_1:0-2036   -            679 551907at2759         -            355   2.9e-38  128.6   4.1   5   6   7.3e-06     0.006   12.5   0.0   173   213   479   519   476   521 0.88 -
JAAFKC010002930_1:0-2036   -            679 551907at2759         -            355   2.9e-38  128.6   4.1   6   6     7e-17   5.7e-14   48.7   0.0   191   287   521   646   516   655 0.75 -
JAAFKC010004666_1:998-2965 -            656 551907at2759         -            355   4.7e-34  114.8  11.4   1   6     0.034        28    0.4   0.2   286   323     8    46     4    53 0.80 -
JAAFKC010004666_1:998-2965 -            656 551907at2759         -            355   4.7e-34  114.8  11.4   2   6     6e-06    0.0049   12.7   0.2     1    39    56    95    56   103 0.86 -
JAAFKC010004666_1:998-2965 -            656 551907at2759         -            355   4.7e-34  114.8  11.4   3   6   1.9e-14   1.6e-11   40.7   0.1    85   153   252   331   237   336 0.81 -
JAAFKC010004666_1:998-2965 -            656 551907at2759         -            355   4.7e-34  114.8  11.4   4   6      0.02        16    1.2   0.0   151   172   353   374   347   382 0.82 -
JAAFKC010004666_1:998-2965 -            656 551907at2759         -            355   4.7e-34  114.8  11.4   5   6   4.1e-11   3.4e-08   29.7   0.0   168   221   392   452   388   459 0.87 -
JAAFKC010004666_1:998-2965 -            656 551907at2759         -            355   4.7e-34  114.8  11.4   6   6   1.2e-11   9.8e-09   31.5   0.1   226   287   503   578   497   589 0.75 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/551907at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Bacillariophyta_sp_ASM1329908v1/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_013299085.1_ASM1329908v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Bacillariophyta_sp_ASM1329908v1/run_eukaryota_odb10/hmmer_output/initial_run_results/551907at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/551907at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Bacillariophyta_sp_ASM1329908v1/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_013299085.1_ASM1329908v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Mon Apr 19 15:41:01 2021
# [ok]
