#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NKIB01012446_1:267-1763    -            499 1049599at2759        -            340   1.2e-57  191.0   3.6   1   2   5.5e-38   5.5e-37  123.0   0.8     8   145    16   157     7   302 0.76 -
NKIB01012446_1:267-1763    -            499 1049599at2759        -            340   1.2e-57  191.0   3.6   2   2   4.8e-20   4.8e-19   64.1   0.2   189   321   301   462   272   475 0.77 -
NKIB01000693_1:17571-18686 -            372 1049599at2759        -            340   9.8e-19   63.0   0.1   1   4   8.1e-06   8.1e-05   17.3   0.0   198   263     7    78     4    82 0.81 -
NKIB01000693_1:17571-18686 -            372 1049599at2759        -            340   9.8e-19   63.0   0.1   2   4    0.0018     0.018    9.5   0.0   241   268   104   131    98   169 0.76 -
NKIB01000693_1:17571-18686 -            372 1049599at2759        -            340   9.8e-19   63.0   0.1   3   4    0.0005     0.005   11.4   0.0   229   264   257   292   232   298 0.87 -
NKIB01000693_1:17571-18686 -            372 1049599at2759        -            340   9.8e-19   63.0   0.1   4   4   3.6e-06   3.6e-05   18.4   0.0   197   259   303   372   295   372 0.85 -
NKIB01005769_1:3034-4149   -            372 1049599at2759        -            340   9.8e-19   63.0   0.1   1   4   8.1e-06   8.1e-05   17.3   0.0   198   263     7    78     4    82 0.81 -
NKIB01005769_1:3034-4149   -            372 1049599at2759        -            340   9.8e-19   63.0   0.1   2   4    0.0018     0.018    9.5   0.0   241   268   104   131    98   169 0.76 -
NKIB01005769_1:3034-4149   -            372 1049599at2759        -            340   9.8e-19   63.0   0.1   3   4    0.0005     0.005   11.4   0.0   229   264   257   292   232   298 0.87 -
NKIB01005769_1:3034-4149   -            372 1049599at2759        -            340   9.8e-19   63.0   0.1   4   4   3.6e-06   3.6e-05   18.4   0.0   197   259   303   372   295   372 0.85 -
NKIB01002479_1:3802-4796   -            297 1049599at2759        -            340   9.5e-17   56.5   0.0   1   5    0.0056     0.056    7.9   0.0   196   263    12    85     6    89 0.83 -
NKIB01002479_1:3802-4796   -            297 1049599at2759        -            340   9.5e-17   56.5   0.0   2   5   4.7e-08   4.7e-07   24.6   0.0   199   272    57   135    53   151 0.85 -
NKIB01002479_1:3802-4796   -            297 1049599at2759        -            340   9.5e-17   56.5   0.0   3   5      0.31       3.1    2.2   0.0   242   272   150   180   132   185 0.77 -
