#                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold15_size1195317:782448-787614 -           1286 87842at2759          -            657   1.2e-45  151.7   4.7   1   7   9.8e-05      0.03    8.2   0.0    37    72   223   261   214   262 0.82 -
scaffold15_size1195317:782448-787614 -           1286 87842at2759          -            657   1.2e-45  151.7   4.7   2   7   6.4e-05     0.019    8.9   0.0    71   102   301   337   295   348 0.79 -
scaffold15_size1195317:782448-787614 -           1286 87842at2759          -            657   1.2e-45  151.7   4.7   3   7   2.7e-05    0.0081   10.1   0.0   153   228   543   638   537   662 0.73 -
scaffold15_size1195317:782448-787614 -           1286 87842at2759          -            657   1.2e-45  151.7   4.7   4   7    0.0078       2.3    2.0   0.0   279   317   762   803   757   812 0.77 -
scaffold15_size1195317:782448-787614 -           1286 87842at2759          -            657   1.2e-45  151.7   4.7   5   7    0.0035       1.1    3.1   0.0   406   434   952   983   945   997 0.83 -
scaffold15_size1195317:782448-787614 -           1286 87842at2759          -            657   1.2e-45  151.7   4.7   6   7   5.4e-36   1.6e-33  111.5   0.3   443   596  1025  1194  1020  1240 0.86 -
scaffold15_size1195317:782448-787614 -           1286 87842at2759          -            657   1.2e-45  151.7   4.7   7   7     0.049        15   -0.7   0.0   625   643  1267  1285  1262  1286 0.87 -
scaffold203_size675210:439506-439646 -             47 87842at2759          -            657   0.00074   13.5   0.8   1   1   2.5e-06   0.00074   13.5   0.8   597   619    12    34     2    45 0.79 -
scaffold260_size157136:51436-51585   -             50 87842at2759          -            657     0.031    8.1   2.2   1   2     0.053        16   -0.8   0.0    46    69     5    28     4    30 0.81 -
scaffold260_size157136:51436-51585   -             50 87842at2759          -            657     0.031    8.1   2.2   2   2   0.00018     0.055    7.4   1.6   603   616    30    43    27    49 0.82 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/87842at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_ASM1318728v1/run_eukaryota_odb10/metaeuk_output/rerun_results/Cyclotella_cryptica.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_ASM1318728v1/run_eukaryota_odb10/hmmer_output/rerun_results/87842at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/87842at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_ASM1318728v1/run_eukaryota_odb10/metaeuk_output/rerun_results/Cyclotella_cryptica.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 23:59:18 2021
# [ok]
