#                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold167_size363885:220710-222848 -            577 931188at2759         -            347  2.2e-101  335.4   8.5   1   4   1.2e-49   2.2e-47  157.8   0.0     1   137     6   156     6   162 0.90 -
scaffold167_size363885:220710-222848 -            577 931188at2759         -            347  2.2e-101  335.4   8.5   2   4   9.3e-19   1.7e-16   56.3   0.1   139   203   202   267   192   282 0.90 -
scaffold167_size363885:220710-222848 -            577 931188at2759         -            347  2.2e-101  335.4   8.5   3   4   4.1e-12   7.5e-10   34.4   0.0   207   254   382   429   369   439 0.87 -
scaffold167_size363885:220710-222848 -            577 931188at2759         -            347  2.2e-101  335.4   8.5   4   4   8.2e-28   1.5e-25   86.0   2.0   255   347   460   574   456   574 0.84 -
scaffold124_size485472:80160-81218   -            353 931188at2759         -            347   1.3e-12   43.4   0.1   1   2   7.8e-11   1.4e-08   30.2   0.0    98   206     3   125     1   133 0.81 -
scaffold124_size485472:80160-81218   -            353 931188at2759         -            347   1.3e-12   43.4   0.1   2   2   0.00027     0.048    8.7   0.0   250   296   233   281   188   343 0.84 -
scaffold218_size302635:272038-272904 -            289 931188at2759         -            347   9.2e-11   37.4   7.1   1   2   6.9e-11   1.2e-08   30.4   0.4   108   207     3   107     1   133 0.83 -
scaffold218_size302635:272038-272904 -            289 931188at2759         -            347   9.2e-11   37.4   7.1   2   2    0.0004     0.073    8.1   1.5   257   346   176   284   167   285 0.56 -
scaffold15_size1195317:9933-10799    -            289 931188at2759         -            347   2.1e-10   36.2   6.0   1   2   8.9e-11   1.6e-08   30.0   0.2   108   208     3   108     1   134 0.84 -
scaffold15_size1195317:9933-10799    -            289 931188at2759         -            347   2.1e-10   36.2   6.0   2   2    0.0019      0.34    5.9   1.6   258   345   177   283   167   285 0.49 -
scaffold231_size402970:28770-29159   -            130 931188at2759         -            347     1e-05   20.8   0.0   1   2   1.5e-07   2.8e-05   19.4   0.0   262   302     2    44     1    61 0.85 -
scaffold231_size402970:28770-29159   -            130 931188at2759         -            347     1e-05   20.8   0.0   2   2      0.25        45   -1.0   0.0   320   346   100   126    93   127 0.84 -
scaffold9_size952703:316369-316950   -            194 931188at2759         -            347   0.00013   17.2   0.0   1   3   0.00058      0.11    7.6   0.0   116   140     4    28     1    64 0.86 -
scaffold9_size952703:316369-316950   -            194 931188at2759         -            347   0.00013   17.2   0.0   2   3    0.0033       0.6    5.1   0.0   172   202    92   121    77   130 0.79 -
scaffold9_size952703:316369-316950   -            194 931188at2759         -            347   0.00013   17.2   0.0   3   3      0.12        21    0.0   0.0   200   225   168   193   144   194 0.77 -
scaffold33_size760673:446795-447079  -             95 931188at2759         -            347   0.00021   16.5   0.0   1   1   1.3e-06   0.00023   16.3   0.0   258   311     1    50     1    64 0.76 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/931188at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_ASM1318728v1/run_eukaryota_odb10/metaeuk_output/initial_results/Cyclotella_cryptica.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_ASM1318728v1/run_eukaryota_odb10/hmmer_output/initial_run_results/931188at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/931188at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_ASM1318728v1/run_eukaryota_odb10/metaeuk_output/initial_results/Cyclotella_cryptica.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 20:29:38 2021
# [ok]
