0	352287-475	0	391	-1	26258at33634_3|CAACVS010000001_1|-|237|5.048e-66|2|351813|352287|352287[352287]:352051[352051]:237[237]|351944[351944]:351813[351813]:132[132]
0	316229+1527	0	418	1	12382at33634_8|CAACVS010000001_1|+|168|2.98e-45|2|316229|317755|316229[316229]:316771[316771]:543[543]|317021[317021]:317755[317755]:735[735]
0	155664-1299	0	504	-1	13819at33634_9|CAACVS010000001_1|-|634|1.564e-185|1|154366|155664|155664[155664]:154366[154366]:1299[1299]
0	260775-1080	0	700	-1	9297at33634_9|CAACVS010000001_1|-|71|4.722e-16|1|259696|260775|260775[260775]:259696[259696]:1080[1080]
0	213965+951	0	876	1	5144at33634_6|CAACVS010000001_1|+|120|8.388e-31|1|213965|214915|213965[213965]:214915[214915]:951[951]
1	31106+351	0	307	1	27409at33634_3|CAACVS010000033_1|+|44|6.338e-08|1|31106|31456|31106[31106]:31456[31456]:351[351]
2	84457-969	0	571	-1	21875at33634_9|CAACVS010000065_1|-|294|3.503e-83|1|83489|84457|84457[84457]:83489[83489]:969[969]
3	33440-447	0	887	-1	27411at33634_8|CAACVS010000097_1|-|151|3.906e-40|1|32994|33440|33440[33440]:32994[32994]:447[447]
5	32040-2058	0	720	-1	12249at33634_9|CAACVS010000161_1|-|589|5.503e-172|1|29983|32040|32040[32040]:29983[29983]:2058[2058]
6	44675+1465	0	278	1	12382at33634_4|CAACVS010000193_1|+|233|8.077e-65|3|44675|46139|44675[44675]:45163[45163]:489[489]|45324[45330]:45824[45824]:501[495]|45921[45924]:46139[46139]:219[216]
6	67147+1096	0	403	1	13476at33634_8|CAACVS010000193_1|+|106|1.374e-26|2|67147|68242|67147[67147]:67392[67392]:246[246]|67910[67910]:68242[68242]:333[333]
6	32362-1827	0	411	-1	2880at33634_4|CAACVS010000193_1|-|359|9.495e-103|1|30536|32362|32362[32362]:30536[30536]:1827[1827]
7	309732+1395	0	66	1	9731at33634_4|CAACVS010000225_1|+|106|1.374e-26|1|309732|311126|309732[309732]:311126[311126]:1395[1395]
7	103569+1080	0	173	1	12382at33634_1|CAACVS010000225_1|+|253|7.703e-71|1|103569|104648|103569[103569]:104648[104648]:1080[1080]
7	329758+1065	0	828	1	5145at33634|CAACVS010000225_1|+|55|3.095e-11|1|329758|330822|329758[329758]:330822[330822]:1065[1065]
7	280347+2280	0	840	1	12562at33634_1|CAACVS010000225_1|+|445|1.227e-128|1|280347|282626|280347[280347]:282626[282626]:2280[2280]
7	115635+1086	0	915	1	5145at33634_7|CAACVS010000225_1|+|49|1.981e-09|1|115635|116720|115635[115635]:116720[116720]:1086[1086]
9	6005+1005	0	745	1	5145at33634_2|CAACVS010000289_1|+|61|4.835e-13|1|6005|7009|6005[6005]:7009[7009]:1005[1005]
9	25468+660	0	918	1	8842at33634_3|CAACVS010000289_1|+|129|1.638e-33|1|25468|26127|25468[25468]:26127[26127]:660[660]
12	54748-1545	0	946	-1	6684at33634_2|CAACVS010000385_1|-|174|4.656e-47|1|53204|54748|54748[54748]:53204[53204]:1545[1545]
13	202928+723	0	1045	1	13832at33634_9|CAACVS010000417_1|+|52|2.476e-10|1|202928|203650|202928[202928]:203650[203650]:723[723]
14	133141-2253	0	9	-1	6436at33634_9|CAACVS010000449_1|-|216|1.059e-59|3|130889|133141|133141[133141]:132944[132944]:198[198]|131865[131865]:131599[131599]:267[267]|131470[131470]:130889[130889]:582[582]
14	18575-651	0	24	-1	8842at33634_9|CAACVS010000449_1|-|108|3.436e-27|1|17925|18575|18575[18575]:17925[17925]:651[651]
14	61683+900	0	884	1	8842at33634_2|CAACVS010000449_1|+|156|1.221e-41|1|61683|62582|61683[61683]:62582[62582]:900[900]
22	129963-1323	0	385	-1	9201at33634|CAACVS010000002_1|-|177|5.82e-48|1|128641|129963|129963[129963]:128641[128641]:1323[1323]
22	94237+1956	0	398	1	13102at33634_8|CAACVS010000002_1|+|364|2.967e-104|1|94237|96192|94237[94237]:96192[96192]:1956[1956]
23	653+222	0	473	1	26441at33634_4|CAACVS010000034_1|+|41|5.07e-07|1|653|874|653[653]:874[874]:222[222]
23	58492-1206	0	666	-1	9297at33634_8|CAACVS010000034_1|-|499|6.812e-145|1|57287|58492|58492[58492]:57287[57287]:1206[1206]
27	34081+1278	0	578	1	3786at33634_3|CAACVS010000162_1|+|128|3.277e-33|1|34081|35358|34081[34081]:35358[35358]:1278[1278]
29	63765-828	0	884	-1	8842at33634_2|CAACVS010000226_1|-|62|2.418e-13|1|62938|63765|63765[63765]:62938[62938]:828[828]
33	36559+569	0	274	1	28445at33634_6|CAACVS010000354_1|+|177|5.82e-48|2|36559|37127|36559[36559]:36645[36645]:87[87]|36858[36858]:37127[37127]:270[270]
41	5725-681	0	850	-1	8842at33634_1|CAACVS010000610_1|-|137|6.399e-36|1|5045|5725|5725[5725]:5045[5045]:681[681]
46	5522-417	0	39	-1	26307at33634_9|CAACVS010000067_1|-|203|8.673e-56|1|5106|5522|5522[5522]:5106[5106]:417[417]
47	132073-1865	0	686	-1	12249at33634_8|CAACVS010000099_1|-|229|1.292e-63|2|130209|132073|132073[132073]:131375[131375]:699[699]|131069[131063]:130209[130209]:861[855]
48	83555-513	0	221	-1	25187at33634_9|CAACVS010000131_1|-|247|4.93e-69|1|83043|83555|83555[83555]:83043[83043]:513[513]
53	226944-867	0	884	-1	8842at33634_2|CAACVS010000291_1|-|62|2.418e-13|1|226078|226944|226944[226944]:226078[226078]:867[867]
55	194220+1695	0	388	1	12693at33634_7|CAACVS010000355_1|+|551|1.513e-160|1|194220|195914|194220[194220]:195914[195914]:1695[1695]
66	127617-1509	0	208	-1	12382at33634_2|CAACVS010000004_1|-|241|3.155e-67|3|126109|127617|127617[127617]:127432[127432]:186[186]|127288[127288]:127208[127208]:81[81]|126885[126882]:126109[126109]:777[774]
68	30945-1377	0	931	-1	8142at33634|CAACVS010000068_1|-|216|1.059e-59|1|29569|30945|30945[30945]:29569[29569]:1377[1377]
70	38328+1107	0	745	1	5145at33634_2|CAACVS010000132_1|+|78|3.689e-18|1|38328|39434|38328[38328]:39434[39434]:1107[1107]
71	11425-2157	0	1064	-1	9939at33634_7|CAACVS010000164_1|-|735|6.169e-216|3|9269|11425|11425[11425]:10358[10358]:1068[1068]|10215[10215]:10069[10069]:147[147]|9994[9955]:9269[9269]:726[687]
