ThiC	QAXC01000003_1	61.444	568	142	5	109	599	1212623	1210920	0.0	677
Thi5	QAXC01001892_1	26.394	269	179	5	2	266	1159	398	1.72e-29	119
Thi5-like	QAXC01001892_1	26.860	242	168	5	154	393	1147	443	1.45e-15	79.0
SSSP	QAXC01003832_1	29.947	187	116	7	56	238	1234	1761	4.36e-06	49.7
TH1	QAXC01000003_1	35.727	557	275	14	32	575	1210894	1209434	6.45e-76	263
THIO	QAXC01000004_1	32.271	251	149	10	232	472	215543	214824	5.27e-17	86.3
THIS	QAXC01001364_1	26.154	65	48	0	6	70	543	349	0.002	33.9
THIF	QAXC01003902_1	38.010	392	211	9	60	446	576	1670	1.32e-62	214
DXS	QAXC01000004_1	41.854	669	321	14	55	717	1443312	1441492	6.40e-157	504
THIG	QAXC01000003_1	48.235	255	124	2	8	262	1208464	1207724	1.43e-64	218
TPK1	QAXC01001724_1	27.027	74	45	1	99	172	1854	2048	4.7	28.5
FOLR	QAXC01005178_1	20.500	200	126	9	50	238	1229	696	1.6	30.0
Thi4	QAXC01000002_1	40.476	42	25	0	91	132	500074	500199	6.04e-04	41.6
ThiM	QAXC01003315_1	38.865	229	121	3	9	237	644	15	2.07e-30	118
TENA	QAXC01006055_1	26.923	208	142	5	10	213	1619	2224	8.64e-12	63.5
