#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KV784361_1:1796539-1797303 -            255 1173229at2759        -            211   1.8e-27   92.7   2.5   1   3    0.0039      0.11    8.4   0.1    64    79     1    16     1    18 0.93 -
KV784361_1:1796539-1797303 -            255 1173229at2759        -            211   1.8e-27   92.7   2.5   2   3   9.3e-24   2.7e-22   75.7   0.1    90   177    64   170    62   180 0.81 -
KV784361_1:1796539-1797303 -            255 1173229at2759        -            211   1.8e-27   92.7   2.5   3   3      0.11       3.1    3.7   0.0   191   210   216   235   202   235 0.78 -
KV784363_1:229470-230243   -            258 1173229at2759        -            211     2e-27   92.5   2.6   1   3    0.0039      0.11    8.4   0.1    64    79     1    16     1    18 0.93 -
KV784363_1:229470-230243   -            258 1173229at2759        -            211     2e-27   92.5   2.6   2   3   9.7e-24   2.8e-22   75.7   0.2    90   177    66   172    64   182 0.81 -
KV784363_1:229470-230243   -            258 1173229at2759        -            211     2e-27   92.5   2.6   3   3      0.11       3.2    3.6   0.0   191   210   218   237   204   237 0.78 -
KV784414_1:252780-253328   -            183 1173229at2759        -            211   3.7e-07   26.3   0.6   1   4     0.026      0.74    5.7   0.0    67    85     1    19     1    40 0.77 -
KV784414_1:252780-253328   -            183 1173229at2759        -            211   3.7e-07   26.3   0.6   2   4      0.21       6.2    2.7   0.0    61    87    53    79    48    90 0.75 -
KV784414_1:252780-253328   -            183 1173229at2759        -            211   3.7e-07   26.3   0.6   3   4    0.0076      0.22    7.4   0.1    58    82    98   122    85   124 0.88 -
KV784414_1:252780-253328   -            183 1173229at2759        -            211   3.7e-07   26.3   0.6   4   4      0.02      0.59    6.0   0.0    62    81   147   167   130   170 0.82 -
KV784353_1:1575780-1576349 -            190 1173229at2759        -            211   3.8e-07   26.3   1.8   1   4     0.016      0.47    6.4   0.0    60    81    24    45    15    55 0.84 -
KV784353_1:1575780-1576349 -            190 1173229at2759        -            211   3.8e-07   26.3   1.8   2   4      0.03      0.88    5.5   0.0    31   206    62    91    47    98 0.58 -
KV784353_1:1575780-1576349 -            190 1173229at2759        -            211   3.8e-07   26.3   1.8   3   4     0.093       2.7    3.9   0.1    63    85   117   139   109   150 0.82 -
KV784353_1:1575780-1576349 -            190 1173229at2759        -            211   3.8e-07   26.3   1.8   4   4    0.0048      0.14    8.1   0.1    46    79   142   175   135   186 0.80 -
KV784378_1:393978-394595   -            206 1173229at2759        -            211   6.8e-07   25.4   0.6   1   3      0.02      0.57    6.1   0.0    64    81     1    18     1    29 0.80 -
KV784378_1:393978-394595   -            206 1173229at2759        -            211   6.8e-07   25.4   0.6   2   3      0.51        15    1.4   0.0    62    80    47    65    35    70 0.67 -
KV784378_1:393978-394595   -            206 1173229at2759        -            211   6.8e-07   25.4   0.6   3   3     7e-05     0.002   14.1   0.1    59    80    89   110    77   116 0.86 -
KV784508_1:3352-3969       -            206 1173229at2759        -            211   6.8e-07   25.4   0.6   1   3      0.02      0.57    6.1   0.0    64    81     1    18     1    29 0.80 -
KV784508_1:3352-3969       -            206 1173229at2759        -            211   6.8e-07   25.4   0.6   2   3      0.51        15    1.4   0.0    62    80    47    65    35    70 0.67 -
KV784508_1:3352-3969       -            206 1173229at2759        -            211   6.8e-07   25.4   0.6   3   3     7e-05     0.002   14.1   0.1    59    80    89   110    77   116 0.86 -
KV784359_1:1348714-1349076 -            121 1173229at2759        -            211   1.4e-06   24.4   2.5   1   2   0.00011    0.0031   13.5   0.3    32    83     9    62     4    75 0.73 -
KV784359_1:1348714-1349076 -            121 1173229at2759        -            211   1.4e-06   24.4   2.5   2   2    0.0026     0.076    8.9   0.1   189   206    94   111    83   114 0.72 -
KV784358_1:1390876-1391181 -            102 1173229at2759        -            211   1.5e-06   24.3   0.1   1   1   2.3e-07   6.7e-06   22.2   0.1    55    95    12    52     2    94 0.80 -
KV784354_1:988854-990065   -            404 1173229at2759        -            211   1.5e-06   24.3   1.4   1   5       0.2       5.7    2.8   0.0    64    78    24    38    12    47 0.68 -
KV784354_1:988854-990065   -            404 1173229at2759        -            211   1.5e-06   24.3   1.4   2   5     0.059       1.7    4.5   0.0    61   100    84   124    70   153 0.73 -
KV784354_1:988854-990065   -            404 1173229at2759        -            211   1.5e-06   24.3   1.4   3   5      0.33       9.5    2.1   0.0    61    81   245   265   226   273 0.76 -
KV784354_1:988854-990065   -            404 1173229at2759        -            211   1.5e-06   24.3   1.4   4   5      0.97        28    0.5   0.0    64    79   290   305   269   313 0.75 -
