#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold00901:6052-8996       -            876 1803at33634          -            592  1.5e-213  704.9  12.6   1   3  5.4e-152  2.3e-150  496.3   0.3    11   363    81   489    71   495 0.88 -
scaffold00901:6052-8996       -            876 1803at33634          -            592  1.5e-213  704.9  12.6   2   3   7.8e-62   3.2e-60  198.5   1.7   357   559   511   796   504   813 0.81 -
scaffold00901:6052-8996       -            876 1803at33634          -            592  1.5e-213  704.9  12.6   3   3    0.0014     0.059    6.1   0.2   549   583   814   852   799   867 0.71 -
scaffold00751:3690-6598       -            875 1803at33634          -            592  2.4e-212  700.9  13.8   1   4  1.9e-151  7.7e-150  494.5   0.4    11   363    78   488    68   495 0.88 -
scaffold00751:3690-6598       -            875 1803at33634          -            592  2.4e-212  700.9  13.8   2   4   1.6e-52   6.5e-51  167.8   0.1   357   514   510   720   503   723 0.85 -
scaffold00751:3690-6598       -            875 1803at33634          -            592  2.4e-212  700.9  13.8   3   4   3.6e-13   1.5e-11   37.8   0.3   496   555   721   791   702   805 0.78 -
scaffold00751:3690-6598       -            875 1803at33634          -            592  2.4e-212  700.9  13.8   4   4    0.0012      0.05    6.4   0.3   549   584   813   852   809   867 0.69 -
scaffold00541:18771-21245     -            825 1803at33634          -            592  1.4e-166  549.8   0.0   1   3  2.9e-156  1.2e-154  510.4   0.0     7   453    17   572    12   585 0.83 -
scaffold00541:18771-21245     -            825 1803at33634          -            592  1.4e-166  549.8   0.0   2   3   3.7e-09   1.5e-07   24.6   0.0   450   550   605   743   596   752 0.65 -
scaffold00541:18771-21245     -            825 1803at33634          -            592  1.4e-166  549.8   0.0   3   3    0.0087      0.36    3.5   0.0   548   568   769   789   762   812 0.89 -
scaffold00239:40764-43379     -            872 1803at33634          -            592   2.7e-34  112.9   1.9   1   4   1.3e-15   5.3e-14   45.9   0.0    12   146    32   190    25   199 0.72 -
scaffold00239:40764-43379     -            872 1803at33634          -            592   2.7e-34  112.9   1.9   2   4   1.1e-07   4.6e-06   19.7   0.0   208   331   210   327   205   335 0.78 -
scaffold00239:40764-43379     -            872 1803at33634          -            592   2.7e-34  112.9   1.9   3   4    0.0052      0.22    4.3   0.0   149   183   343   377   329   397 0.79 -
scaffold00239:40764-43379     -            872 1803at33634          -            592   2.7e-34  112.9   1.9   4   4   1.2e-11   4.8e-10   32.8   0.7   338   477   398   563   380   599 0.72 -
scaffold00538:21768-24371     -            868 1803at33634          -            592   5.4e-29   95.4   2.8   1   3   4.4e-16   1.8e-14   47.4   0.1    22   147    41   188    30   202 0.76 -
scaffold00538:21768-24371     -            868 1803at33634          -            592   5.4e-29   95.4   2.8   2   3     0.001     0.043    6.6   0.1   246   296   230   280   196   285 0.77 -
scaffold00538:21768-24371     -            868 1803at33634          -            592   5.4e-29   95.4   2.8   3   3   2.4e-12     1e-10   35.1   0.1   338   479   400   555   377   578 0.73 -
scaffold00025:138847-141376   -            774 1803at33634          -            592   4.8e-26   85.7   0.1   1   4   5.6e-11   2.3e-09   30.6   0.0     9   146    27   184    19   197 0.72 -
scaffold00025:138847-141376   -            774 1803at33634          -            592   4.8e-26   85.7   0.1   2   4     7e-05    0.0029   10.4   0.0   247   301   281   336   270   387 0.73 -
scaffold00025:138847-141376   -            774 1803at33634          -            592   4.8e-26   85.7   0.1   3   4   1.2e-05   0.00052   12.9   0.1   340   356   441   457   426   467 0.87 -
scaffold00025:138847-141376   -            774 1803at33634          -            592   4.8e-26   85.7   0.1   4   4   4.6e-09   1.9e-07   24.2   0.0   378   466   502   597   491   619 0.77 -
scaffold00123:75814-79233     -           1028 1803at33634          -            592   5.3e-24   78.9   7.1   1   4   5.3e-09   2.2e-07   24.0   0.0    12   146    80   238    72   252 0.69 -
scaffold00123:75814-79233     -           1028 1803at33634          -            592   5.3e-24   78.9   7.1   2   4   1.1e-07   4.7e-06   19.7   0.0   256   332   314   399   279   403 0.72 -
scaffold00123:75814-79233     -           1028 1803at33634          -            592   5.3e-24   78.9   7.1   3   4     7e-09   2.9e-07   23.7   2.1   338   468   468   629   456   645 0.67 -
scaffold00123:75814-79233     -           1028 1803at33634          -            592   5.3e-24   78.9   7.1   4   4       0.1       4.1    0.0   0.0   144   185   874   916   871   930 0.84 -
scaffold00001:1070518-1073743 -           1047 1803at33634          -            592   2.7e-20   66.7  13.3   1   5   5.9e-10   2.4e-08   27.2   0.4    22   160    48   209    34   214 0.68 -
scaffold00001:1070518-1073743 -           1047 1803at33634          -            592   2.7e-20   66.7  13.3   2   5      0.28        12   -1.5   0.0   273   299   324   350   318   356 0.85 -
scaffold00001:1070518-1073743 -           1047 1803at33634          -            592   2.7e-20   66.7  13.3   3   5     0.004      0.17    4.6   0.1   151   195   413   457   401   465 0.86 -
scaffold00001:1070518-1073743 -           1047 1803at33634          -            592   2.7e-20   66.7  13.3   4   5   1.4e-06   5.8e-05   16.1   0.6   339   356   466   483   463   492 0.91 -
scaffold00001:1070518-1073743 -           1047 1803at33634          -            592   2.7e-20   66.7  13.3   5   5     2e-08   8.5e-07   22.1   0.0   433   495   592   664   582   672 0.72 -
