#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold00374:52483-53298 -            272 911863at2759         -            208   1.8e-07   26.0   0.2   1   2   1.2e-08   1.4e-06   23.0   0.1    32    86    35   101    18   133 0.76 -
scaffold00374:52483-53298 -            272 911863at2759         -            208   1.8e-07   26.0   0.2   2   2     0.091        11    0.5   0.0   189   208   250   269   235   269 0.88 -
scaffold02141:1884-2639   -            252 911863at2759         -            208   0.00069   14.2   0.3   1   2   0.00061     0.073    7.6   0.1    57    76    42    61     1   134 0.81 -
scaffold02141:1884-2639   -            252 911863at2759         -            208   0.00069   14.2   0.3   2   2    0.0089       1.1    3.8   0.0   178   197   219   240   209   247 0.81 -
scaffold00524:26765-27520 -            252 911863at2759         -            208   0.00076   14.1   0.2   1   2   0.00069     0.083    7.4   0.1    57    76    42    61     1   131 0.85 -
scaffold00524:26765-27520 -            252 911863at2759         -            208   0.00076   14.1   0.2   2   2    0.0088       1.1    3.8   0.0   178   197   219   240   209   247 0.81 -
scaffold02381:1521-1817   -             99 911863at2759         -            208    0.0014   13.2   0.1   1   2     0.054       6.5    1.3   0.0    14    34    11    31     8    37 0.84 -
scaffold02381:1521-1817   -             99 911863at2759         -            208    0.0014   13.2   0.1   2   2   0.00011     0.013   10.1   0.0    58    77    79    98    61    99 0.81 -
scaffold02445:2230-3021   -            264 911863at2759         -            208    0.0029   12.2   0.3   1   2   0.00075      0.09    7.3   0.2    57    76    64    83    17   156 0.85 -
scaffold02445:2230-3021   -            264 911863at2759         -            208    0.0029   12.2   0.3   2   2     0.046       5.5    1.5   0.0   178   196   241   261   230   264 0.82 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/911863at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Synedra_acus_sac1/run_eukaryota_odb10/metaeuk_output/rerun_results/sac.scaffolds.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Synedra_acus_sac1/run_eukaryota_odb10/hmmer_output/rerun_results/911863at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/911863at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Synedra_acus_sac1/run_eukaryota_odb10/metaeuk_output/rerun_results/sac.scaffolds.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Mon Apr 19 09:03:52 2021
# [ok]
