#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QAXC01000034_1:498827-500038   -            404 4148at33634          -            476     2e-30   99.6   3.1   1   2   1.7e-25   3.3e-24   79.1   0.2     1   265    12   259    12   273 0.71 -
QAXC01000034_1:498827-500038   -            404 4148at33634          -            476     2e-30   99.6   3.1   2   2     2e-06   3.9e-05   16.2   0.3   276   372   295   398   279   403 0.80 -
QAXC01000003_1:2128982-2130481 -            500 4148at33634          -            476   5.2e-30   98.2   3.7   1   2   1.3e-25   2.4e-24   79.5   0.3     1   221    27   228    27   288 0.77 -
QAXC01000003_1:2128982-2130481 -            500 4148at33634          -            476   5.2e-30   98.2   3.7   2   2   5.7e-06   0.00011   14.7   0.3   275   411   308   458   290   495 0.70 -
QAXC01000033_1:274951-276453   -            501 4148at33634          -            476   2.1e-28   93.0   7.8   1   3   1.3e-22   2.5e-21   69.6   0.0     1   113    12   114    12   118 0.89 -
QAXC01000033_1:274951-276453   -            501 4148at33634          -            476   2.1e-28   93.0   7.8   2   3   0.00021     0.004    9.6   0.1   160   273   146   267   141   278 0.75 -
QAXC01000033_1:274951-276453   -            501 4148at33634          -            476   2.1e-28   93.0   7.8   3   3     7e-06   0.00013   14.4   2.6   278   410   297   443   285   486 0.78 -
QAXC01000020_1:375098-376555   -            486 4148at33634          -            476   4.7e-28   91.8   5.2   1   2   8.9e-25   1.7e-23   76.7   0.7     1   232    12   226    12   281 0.73 -
QAXC01000020_1:375098-376555   -            486 4148at33634          -            476   4.7e-28   91.8   5.2   2   2   3.2e-05   0.00062   12.2   0.3   276   371   295   397   281   480 0.83 -
QAXC01005125_1:6123-7019       -            299 4148at33634          -            476   8.7e-07   21.6   0.2   1   2   1.5e-07     3e-06   19.9   0.0    55   115    63   125    45   144 0.88 -
QAXC01005125_1:6123-7019       -            299 4148at33634          -            476   8.7e-07   21.6   0.2   2   2      0.26       5.1   -0.7   0.1   389   411   210   232   150   246 0.70 -
QAXC01002358_1:94-792          -            233 4148at33634          -            476   6.5e-06   18.7   0.0   1   1   4.4e-07   8.4e-06   18.4   0.0    55   129    68   147    37   158 0.83 -
QAXC01000020_1:22788-23696     -            303 4148at33634          -            476   7.5e-06   18.6   0.0   1   1   5.6e-07   1.1e-05   18.0   0.0    55   116    68   131    49   150 0.86 -
QAXC01000003_1:279377-280168   -            264 4148at33634          -            476   1.3e-05   17.7   0.0   1   1   8.7e-07   1.7e-05   17.4   0.0     3   113    29   144    27   157 0.66 -
QAXC01000006_1:208165-209343   -            393 4148at33634          -            476   2.4e-05   16.9   0.0   1   1   1.8e-06   3.5e-05   16.3   0.0    55   116    83   146    64   166 0.84 -
QAXC01006049_1:2521-3702       -            394 4148at33634          -            476   5.1e-05   15.8   0.2   1   2   6.9e-06   0.00013   14.4   0.0    55   115    68   130    43   148 0.87 -
QAXC01006049_1:2521-3702       -            394 4148at33634          -            476   5.1e-05   15.8   0.2   2   2      0.55        11   -1.7   0.1   389   413   223   247   182   290 0.54 -
QAXC01000035_1:458155-458850   -            232 4148at33634          -            476   9.8e-05   14.9   0.1   1   1   6.2e-06   0.00012   14.6   0.1    45   113    57   126     9   136 0.67 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/4148at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Halamphora_sp_AAB/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_004335955.1_ASM433595v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Halamphora_sp_AAB/run_stramenopiles_odb10/hmmer_output/initial_run_results/4148at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/4148at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Halamphora_sp_AAB/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_004335955.1_ASM433595v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Thu Apr 15 15:56:23 2021
# [ok]
