ThiC	BLYE01000004_1	45.714	35	19	0	91	125	407555	407659	2.0	32.0
Thi5	BLYE01000046_1	30.952	42	28	1	192	232	98069	97944	3.4	30.0
Thi5-like	BLYE01000016_1	41.176	34	20	0	70	103	696523	696422	5.7	30.0
SSSP	BLYE01000002_1	61.301	584	193	5	1	571	1397302	1398993	0.0	665
TH1	BLYE01000010_1	22.034	118	89	1	120	237	382283	381939	0.57	33.9
THIO	BLYE01000132_1	32.258	62	38	2	109	168	72885	72706	2.0	32.3
THIS	BLYE01000119_1	32.609	46	28	2	6	51	189543	189415	0.67	27.7
THIF	BLYE01000001_1	64.912	171	60	0	105	275	281243	280731	4.63e-114	206
DXS	BLYE01000093_1	30.709	127	81	5	423	545	37765	38136	7.05e-05	47.0
THIG	BLYE01000075_1	35.714	56	34	1	181	234	43206	43039	0.002	40.4
TPK1	BLYE01000024_1	48.837	258	111	6	4	246	376641	375886	4.02e-69	231
FOLR	BLYE01000093_1	59.127	252	98	4	21	271	92953	92210	5.52e-96	309
Thi4	BLYE01000158_1	52.000	25	12	0	86	110	104342	104416	1.3	31.6
ThiM	BLYE01000021_1	30.120	83	54	2	156	235	15081	15326	6.7	28.9
TENA	BLYE01000188_1	24.779	113	80	4	55	164	17998	17666	0.64	31.6
