#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Sro_contig26:12630-14096         -            489 674169at2759         -            271     3e-34  114.9   0.8   1   5   3.4e-20   3.2e-18   62.4   0.0     2    65     1    71     1    92 0.85 -
Sro_contig26:12630-14096         -            489 674169at2759         -            271     3e-34  114.9   0.8   2   5     0.068       6.3    2.4   0.0    83   116   126   167   112   170 0.67 -
Sro_contig26:12630-14096         -            489 674169at2759         -            271     3e-34  114.9   0.8   3   5   1.2e-09   1.1e-07   27.8   0.0   109   174   184   253   172   258 0.79 -
Sro_contig26:12630-14096         -            489 674169at2759         -            271     3e-34  114.9   0.8   4   5   5.8e-06   0.00054   15.7   0.0   168   191   282   305   273   319 0.84 -
Sro_contig26:12630-14096         -            489 674169at2759         -            271     3e-34  114.9   0.8   5   5      0.37        34   -0.0   0.0   214   246   353   385   323   392 0.73 -
Sro_contig980:15695-15901        -             69 674169at2759         -            271   1.8e-05   20.5   0.0   1   1     2e-07   1.9e-05   20.5   0.0    34    62     4    32     2    59 0.83 -
Sro_contig2585:3634-4842         -            403 674169at2759         -            271   0.00032   16.4   0.1   1   2     0.016       1.5    4.4   0.0    36    53    33    50    28    55 0.90 -
Sro_contig2585:3634-4842         -            403 674169at2759         -            271   0.00032   16.4   0.1   2   2   0.00053     0.049    9.3   0.0    34    63   362   391   358   397 0.82 -
Sro_contig566:14068-14697        -            174 674169at2759         -            271   0.00068   15.4   0.0   1   1     9e-06   0.00084   15.1   0.0    33    91    35    96    12   105 0.72 -
Sro_contig287:27980-28558        -            193 674169at2759         -            271    0.0013   14.5   0.0   1   1   1.9e-05    0.0018   14.0   0.0    34    67    31    64    16    73 0.88 -
Sro_contig188:80337-80837        -            167 674169at2759         -            271    0.0014   14.3   0.0   1   1   2.2e-05     0.002   13.8   0.0    35    70     3    38     2    67 0.86 -
Sro_contig1493:19350-19667       -            106 674169at2759         -            271    0.0014   14.3   0.0   1   1     2e-05    0.0018   14.0   0.0    34    69    41    76    33    81 0.90 -
Sro_contig282:55372-55965        -            198 674169at2759         -            271    0.0017   14.1   0.1   1   1   3.1e-05    0.0029   13.3   0.1    32    52    13    33     9    37 0.91 -
Sro_contig521:14468-14986        -            173 674169at2759         -            271    0.0018   14.0   0.0   1   1   3.2e-05     0.003   13.3   0.0    34    58    14    38    11    51 0.88 -
Sro_contig156:29772-30917        -            382 674169at2759         -            271    0.0036   13.0   2.4   1   4      0.88        82   -1.3   0.1   183   232    69   118    42   136 0.76 -
Sro_contig156:29772-30917        -            382 674169at2759         -            271    0.0036   13.0   2.4   2   4   8.8e-05    0.0082   11.8   0.0    24    55   220   252   218   264 0.82 -
Sro_contig156:29772-30917        -            382 674169at2759         -            271    0.0036   13.0   2.4   3   4       2.6   2.5e+02   -2.8   0.0    13    34   312   337   311   345 0.76 -
Sro_contig156:29772-30917        -            382 674169at2759         -            271    0.0036   13.0   2.4   4   4      0.99        92   -1.4   0.0    93   116   355   378   333   379 0.74 -
Sro_contig1272:2560-3534         -            325 674169at2759         -            271    0.0047   12.6   0.0   1   1   8.5e-05    0.0079   11.9   0.0    34    60   296   322   282   325 0.89 -
Sro_contig98:53306-54184         -            293 674169at2759         -            271    0.0049   12.6   0.0   1   1   8.3e-05    0.0077   11.9   0.0    34    60   264   290   258   293 0.87 -
Sro_contig734:39290-40594        -            435 674169at2759         -            271    0.0053   12.5   0.0   1   1    0.0001    0.0094   11.6   0.0    35    80   123   170   119   174 0.89 -
Sro_contig66:134288-135175       -            296 674169at2759         -            271    0.0073   12.0   0.0   1   1   0.00013     0.012   11.3   0.0    34    60   267   293   263   296 0.88 -
Sro_chlor_contig51:139029-139610 -            194 674169at2759         -            271    0.0091   11.7   0.0   1   1   0.00013     0.012   11.3   0.0    34    66    40    72    36   104 0.87 -
Sro_contig758:19623-20228        -            202 674169at2759         -            271     0.019   10.7   0.0   1   1   0.00027     0.026   10.2   0.0    34    71    40    77    37   108 0.85 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/674169at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Seminavis_robusta_version1.2/run_eukaryota_odb10/metaeuk_output/initial_results/Seminavis_robusta_genomeV1.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Seminavis_robusta_version1.2/run_eukaryota_odb10/hmmer_output/initial_run_results/674169at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/674169at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Seminavis_robusta_version1.2/run_eukaryota_odb10/metaeuk_output/initial_results/Seminavis_robusta_genomeV1.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 11:12:01 2021
# [ok]
