#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAACVS010000102_1:7556-10780  -           1075 331411at2759         -            419   4.3e-27   91.0  17.6   1   5   1.9e-14   3.9e-12   41.7   0.9    68   159   254   366   249   380 0.70 -
CAACVS010000102_1:7556-10780  -           1075 331411at2759         -            419   4.3e-27   91.0  17.6   2   5     2e-09   3.9e-07   25.2   0.8   158   224   435   508   411   517 0.76 -
CAACVS010000102_1:7556-10780  -           1075 331411at2759         -            419   4.3e-27   91.0  17.6   3   5         1   2.1e+02   -3.5   0.0   217   242   526   551   520   554 0.86 -
CAACVS010000102_1:7556-10780  -           1075 331411at2759         -            419   4.3e-27   91.0  17.6   4   5     0.046       9.2    0.9   0.9   256   283   591   619   577   622 0.87 -
CAACVS010000102_1:7556-10780  -           1075 331411at2759         -            419   4.3e-27   91.0  17.6   5   5   3.2e-11   6.4e-09   31.1   0.0   284   351   707   783   705   819 0.81 -
CAACVS010000134_1:49595-50911 -            439 331411at2759         -            419   6.9e-06   21.1   0.0   1   4      0.29        59   -1.7   0.0   136   157    45    66    19    77 0.73 -
CAACVS010000134_1:49595-50911 -            439 331411at2759         -            419   6.9e-06   21.1   0.0   2   4     0.021       4.2    2.1   0.0   321   378   104   158   102   182 0.81 -
CAACVS010000134_1:49595-50911 -            439 331411at2759         -            419   6.9e-06   21.1   0.0   3   4   0.00041     0.081    7.7   0.0   290   374   219   305   211   324 0.83 -
CAACVS010000134_1:49595-50911 -            439 331411at2759         -            419   6.9e-06   21.1   0.0   4   4   7.8e-05     0.016   10.1   0.0   285   371   282   371   277   380 0.83 -
CAACVS010000008_1:76414-77412 -            333 331411at2759         -            419   4.3e-05   18.5   0.0   1   3    0.0017      0.34    5.7   0.1   284   340    89   151    69   162 0.73 -
CAACVS010000008_1:76414-77412 -            333 331411at2759         -            419   4.3e-05   18.5   0.0   2   3   7.9e-05     0.016   10.1   0.0   283   374   157   252   151   261 0.81 -
CAACVS010000008_1:76414-77412 -            333 331411at2759         -            419   4.3e-05   18.5   0.0   3   3      0.16        32   -0.8   0.0   327   375   286   331   279   333 0.75 -
CAACVS010000471_1:19532-22633 -           1034 331411at2759         -            419   8.1e-05   17.6   8.2   1   5     0.061        12    0.5   0.0   204   248   360   407   330   415 0.78 -
CAACVS010000471_1:19532-22633 -           1034 331411at2759         -            419   8.1e-05   17.6   8.2   2   5     0.039       7.8    1.2   0.8   166   243   418   494   405   507 0.68 -
CAACVS010000471_1:19532-22633 -           1034 331411at2759         -            419   8.1e-05   17.6   8.2   3   5    0.0015       0.3    5.9   0.1   269   312   712   761   697   764 0.73 -
CAACVS010000471_1:19532-22633 -           1034 331411at2759         -            419   8.1e-05   17.6   8.2   4   5      0.11        22   -0.3   0.0   102   126   802   825   791   870 0.76 -
CAACVS010000471_1:19532-22633 -           1034 331411at2759         -            419   8.1e-05   17.6   8.2   5   5   0.00027     0.054    8.3   0.0    99   367   948   988   938  1006 0.62 -
CAACVS010000065_1:77458-78810 -            451 331411at2759         -            419   0.00084   14.3   0.1   1   2     0.024       4.7    1.9   0.0   216   243   101   128    94   147 0.79 -
CAACVS010000065_1:77458-78810 -            451 331411at2759         -            419   0.00084   14.3   0.1   2   2    0.0012      0.25    6.1   0.0   313   367   306   358   189   373 0.68 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/331411at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Pseudo-nitzschia_multistriata_ASM90066040v1/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_900660405.1_ASM90066040v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Pseudo-nitzschia_multistriata_ASM90066040v1/run_eukaryota_odb10/hmmer_output/initial_run_results/331411at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/331411at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Pseudo-nitzschia_multistriata_ASM90066040v1/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_900660405.1_ASM90066040v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 04:08:49 2021
# [ok]
