#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QAXB01053866_1:0-1286    -            429 7485at33634          -            342     2e-90  295.7   2.3   1   1   5.2e-88   2.6e-87  285.5   2.3     1   333    19   420    19   426 0.79 -
QAXB01048661_1:12-1974   -            344 7485at33634          -            342   2.7e-57  186.8   0.0   1   2   2.9e-37   1.5e-36  118.6   0.0     1   167     9   180     9   263 0.78 -
QAXB01048661_1:12-1974   -            344 7485at33634          -            342   2.7e-57  186.8   0.0   2   2   3.8e-21   1.9e-20   65.6   0.0   202   277   265   342   260   344 0.92 -
QAXB01038389_1:8-856     -            283 7485at33634          -            342   1.5e-46  151.5   2.5   1   2   1.5e-12   7.6e-12   37.3   0.0    90   150     9    76     5    96 0.81 -
QAXB01038389_1:8-856     -            283 7485at33634          -            342   1.5e-46  151.5   2.5   2   2   2.4e-35   1.2e-34  112.3   1.2   155   274   145   283   135   283 0.83 -
QAXB01053313_1:2-1149    -            345 7485at33634          -            342   3.6e-40  130.5   0.3   1   1   1.3e-39   6.6e-39  126.3   0.3     2   250    22   345    21   345 0.75 -
QAXB01043930_1:48-1210   -            315 7485at33634          -            342   1.1e-37  122.3   0.4   1   1   3.3e-37   1.7e-36  118.4   0.4    44   254    47   315    22   315 0.78 -
QAXB01049667_1:0-1111    -            306 7485at33634          -            342   5.5e-37  120.0   0.3   1   1   2.1e-36   1.1e-35  115.8   0.3    55   296     2   298     1   305 0.77 -
QAXB01024795_1:15-917    -            301 7485at33634          -            342   6.1e-34  110.0   1.2   1   2   8.6e-17   4.3e-16   51.3   0.4    46   159     8   142     3   153 0.75 -
QAXB01024795_1:15-917    -            301 7485at33634          -            342   6.1e-34  110.0   1.2   2   2   9.3e-19   4.7e-18   57.8   0.0   188   277   199   296   156   301 0.87 -
QAXB01032578_1:12-722    -            237 7485at33634          -            342     7e-34  109.8   0.1   1   1   1.8e-34   9.1e-34  109.4   0.1     1   159    20   210    20   215 0.78 -
QAXB01053923_1:980-1963  -            271 7485at33634          -            342   3.6e-33  107.5   0.0   1   1   1.1e-33   5.4e-33  106.9   0.0    43   284     6   264     3   269 0.76 -
QAXB01050147_1:71-880    -            270 7485at33634          -            342   2.3e-31  101.5   0.0   1   1   8.4e-32   4.3e-31  100.6   0.0     2   159    10   191     9   198 0.83 -
QAXB01052783_1:3718-4527 -            270 7485at33634          -            342   2.3e-31  101.5   0.0   1   1   8.4e-32   4.3e-31  100.6   0.0     2   159    10   191     9   198 0.83 -
QAXB01035723_1:327-1436  -            370 7485at33634          -            342   3.7e-31  100.8   2.0   1   3   3.5e-13   1.8e-12   39.4   0.3    20   105     4   106     1   140 0.74 -
QAXB01035723_1:327-1436  -            370 7485at33634          -            342   3.7e-31  100.8   2.0   2   3      0.29       1.4    0.2   0.0   110   148   134   177   119   186 0.64 -
QAXB01035723_1:327-1436  -            370 7485at33634          -            342   3.7e-31  100.8   2.0   3   3   1.3e-18   6.8e-18   57.2   0.0   190   270   284   370   239   370 0.90 -
QAXB01016628_1:2511-4406 -            355 7485at33634          -            342   3.9e-30   97.5   2.0   1   2   4.4e-14   2.2e-13   42.4   0.1    13   135    27   170    10   175 0.70 -
QAXB01016628_1:2511-4406 -            355 7485at33634          -            342   3.9e-30   97.5   2.0   2   2   1.2e-17   6.2e-17   54.1   0.2   158   275   213   343   204   351 0.81 -
QAXB01034198_1:19-798    -            260 7485at33634          -            342   2.2e-26   85.1   0.1   1   1   6.4e-27   3.3e-26   84.6   0.1     1   203    20   256    20   260 0.79 -
QAXB01050089_1:2-1123    -            374 7485at33634          -            342   2.7e-26   84.8   2.3   1   4   0.00011   0.00057   11.4   0.0     4    41    19    62    16    68 0.73 -
QAXB01050089_1:2-1123    -            374 7485at33634          -            342   2.7e-26   84.8   2.3   2   4   1.6e-12   8.3e-12   37.2   0.0    42   110   116   191   111   199 0.83 -
