#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold314_size569245:347308-349076    -            439 1051021at2759        -            324   3.9e-78  259.2   3.4   1   2   8.5e-31   3.6e-28   95.0   0.1     2   120    14   138    13   148 0.78 -
scaffold314_size569245:347308-349076    -            439 1051021at2759        -            324   3.9e-78  259.2   3.4   2   2   8.5e-51   3.6e-48  160.8   0.6   112   277   151   362   146   435 0.84 -
scaffold14_size2522936|:2196610-2198438 -            546 1051021at2759        -            324   2.5e-73  243.4  10.7   1   4   1.2e-10   5.1e-08   28.8   0.2     2    27    57    82    56    86 0.92 -
scaffold14_size2522936|:2196610-2198438 -            546 1051021at2759        -            324   2.5e-73  243.4  10.7   2   4   1.6e-15   6.7e-13   44.9   1.0    37   127   159   252   138   260 0.80 -
scaffold14_size2522936|:2196610-2198438 -            546 1051021at2759        -            324   2.5e-73  243.4  10.7   3   4     9e-55   3.8e-52  173.8   0.1   120   293   266   484   256   501 0.79 -
scaffold14_size2522936|:2196610-2198438 -            546 1051021at2759        -            324   2.5e-73  243.4  10.7   4   4      0.32   1.4e+02   -2.2   0.0   297   318   513   536   490   539 0.65 -
scaffold12_size593008:202741-203778     -            346 1051021at2759        -            324   4.5e-09   32.3   0.0   1   2   0.00046       0.2    7.2   0.0   126   173    37    84    30    86 0.74 -
scaffold12_size593008:202741-203778     -            346 1051021at2759        -            324   4.5e-09   32.3   0.0   2   2   8.5e-09   3.6e-06   22.7   0.0   237   279   247   289   208   299 0.86 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1051021at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_ASM1318728v1/run_eukaryota_odb10/metaeuk_output/initial_results/Cyclotella_cryptica.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_ASM1318728v1/run_eukaryota_odb10/hmmer_output/initial_run_results/1051021at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1051021at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_ASM1318728v1/run_eukaryota_odb10/metaeuk_output/initial_results/Cyclotella_cryptica.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 20:28:45 2021
# [ok]
