#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JAACPG010002328_1:106-1204  -            330 7485at33634          -            342   2.1e-84  275.8   0.3   1   1   1.7e-83     6e-83  271.1   0.3    26   299     2   322     1   329 0.84 -
JAACPG010002550_1:5686-8048 -            388 7485at33634          -            342   1.3e-74  243.6   0.1   1   1   1.5e-73   5.6e-73  238.3   0.1     3   299    16   369    14   380 0.84 -
JAACPG010002126_1:3272-5481 -            372 7485at33634          -            342   8.9e-62  201.4   0.0   1   1   7.2e-62   2.6e-61  199.9   0.0     1   285    20   343    20   359 0.82 -
JAACPG010002441_1:1402-2556 -            385 7485at33634          -            342   2.1e-57  187.1   3.0   1   3      0.38       1.4    0.2   0.0     2    32    11    46    10    61 0.74 -
JAACPG010002441_1:1402-2556 -            385 7485at33634          -            342   2.1e-57  187.1   3.0   2   3   1.1e-33     4e-33  107.2   0.3    27   165    75   229    56   234 0.84 -
JAACPG010002441_1:1402-2556 -            385 7485at33634          -            342   2.1e-57  187.1   3.0   3   3   5.6e-25     2e-24   78.6   0.1   175   279   269   379   234   385 0.76 -
JAACPG010003042_1:8042-9163 -            374 7485at33634          -            342   1.8e-54  177.4   6.5   1   3   2.9e-20   1.1e-19   63.1   0.2     1   106    14   138    14   145 0.79 -
JAACPG010003042_1:8042-9163 -            374 7485at33634          -            342   1.8e-54  177.4   6.5   2   3   4.5e-13   1.6e-12   39.4   0.1   110   159   165   218   154   222 0.87 -
JAACPG010003042_1:8042-9163 -            374 7485at33634          -            342   1.8e-54  177.4   6.5   3   3   1.3e-24   4.9e-24   77.3   0.3   165   274   253   374   241   374 0.82 -
JAACPG010002967_1:3003-4095 -            331 7485at33634          -            342   4.6e-53  172.8   1.8   1   1   1.1e-51   4.1e-51  166.4   1.8    14   277    12   326     2   331 0.78 -
JAACPG010001231_1:3082-4476 -            356 7485at33634          -            342   1.2e-52  171.4   0.0   1   1   6.1e-53   2.2e-52  170.5   0.0     3   283    22   351    20   355 0.79 -
JAACPG010001426_1:6135-7448 -            395 7485at33634          -            342   8.3e-51  165.4   0.3   1   1   5.6e-51     2e-50  164.1   0.3     2   289    22   363    21   380 0.75 -
JAACPG010000333_1:1165-2610 -            372 7485at33634          -            342   2.9e-50  163.6   0.5   1   2   3.8e-29   1.4e-28   92.3   0.0     1   144    11   177    11   199 0.80 -
JAACPG010000333_1:1165-2610 -            372 7485at33634          -            342   2.9e-50  163.6   0.5   2   2   2.3e-21   8.4e-21   66.7   0.1   141   277   203   360   190   371 0.67 -
JAACPG010001267_1:4586-5578 -            331 7485at33634          -            342   3.1e-50  163.5   0.0   1   2   2.5e-29   9.2e-29   92.9   0.0    46   166    15   146     7   162 0.88 -
JAACPG010001267_1:4586-5578 -            331 7485at33634          -            342   3.1e-50  163.5   0.0   2   2   5.7e-22   2.1e-21   68.7   0.0   187   291   207   321   197   331 0.81 -
JAACPG010001835_1:2954-4105 -            384 7485at33634          -            342   9.5e-50  161.9   0.1   1   2   9.3e-25   3.4e-24   77.9   0.0     3   155    22   210    20   224 0.73 -
JAACPG010001835_1:2954-4105 -            384 7485at33634          -            342   9.5e-50  161.9   0.1   2   2   4.3e-26   1.6e-25   82.2   0.0   188   292   271   383   237   384 0.85 -
JAACPG010001241_1:1410-2862 -            365 7485at33634          -            342   1.3e-49  161.5   0.2   1   1   5.7e-50   2.1e-49  160.8   0.2     1   293    20   351    20   358 0.83 -
JAACPG010001384_1:637-2232  -            465 7485at33634          -            342   2.8e-49  160.4   0.2   1   2   2.1e-21   7.5e-21   66.9   0.0    14   155    32   205    24   216 0.74 -
JAACPG010001384_1:637-2232  -            465 7485at33634          -            342   2.8e-49  160.4   0.2   2   2   9.5e-28   3.5e-27   87.7   0.1   189   286   296   400   278   416 0.82 -
JAACPG010002522_1:5029-6525 -            499 7485at33634          -            342   7.2e-48  155.7   0.3   1   3   5.2e-24   1.9e-23   75.4   0.0     1   154    19   201    19   206 0.79 -
JAACPG010002522_1:5029-6525 -            499 7485at33634          -            342   7.2e-48  155.7   0.3   2   3      0.83         3   -0.9   0.0   158   187   271   300   261   303 0.81 -
JAACPG010002522_1:5029-6525 -            499 7485at33634          -            342   7.2e-48  155.7   0.3   3   3   2.1e-24   7.5e-24   76.7   0.1   187   284   345   448   340   483 0.83 -
JAACPG010002957_1:1703-2921 -            369 7485at33634          -            342   5.4e-43  139.7   1.0   1   1   2.1e-43   7.5e-43  139.2   1.0     1   289    27   351    27   364 0.78 -
JAACPG010002132_1:1743-3278 -            512 7485at33634          -            342   1.7e-42  138.0   1.7   1   5     9e-11   3.3e-10   31.9   0.0    11    65    17    74    11    99 0.88 -
JAACPG010002132_1:1743-3278 -            512 7485at33634          -            342   1.7e-42  138.0   1.7   2   5   5.4e-14     2e-13   42.5   0.0    86   140   158   215   153   226 0.86 -
JAACPG010002132_1:1743-3278 -            512 7485at33634          -            342   1.7e-42  138.0   1.7   3   5     0.019      0.07    4.5   0.0   138   165   288   315   279   321 0.90 -
JAACPG010002132_1:1743-3278 -            512 7485at33634          -            342   1.7e-42  138.0   1.7   4   5     0.033      0.12    3.7   0.1   157   188   336   367   318   372 0.87 -
JAACPG010002132_1:1743-3278 -            512 7485at33634          -            342   1.7e-42  138.0   1.7   5   5   2.8e-16     1e-15   50.0   0.0   209   286   417   498   382   510 0.85 -
JAACPG010000381_1:3502-4805 -            405 7485at33634          -            342   2.2e-40  131.1   2.6   1   1   3.6e-35   1.3e-34  112.1   2.6     4   277    24   400    21   404 0.71 -
JAACPG010002211_1:3466-4518 -            351 7485at33634          -            342   1.5e-39  128.4   0.2   1   3   2.3e-20   8.5e-20   63.4   0.0    43   136    28   128     1   132 0.88 -
JAACPG010002211_1:3466-4518 -            351 7485at33634          -            342   1.5e-39  128.4   0.2   2   3       1.6       5.9   -1.8   0.0   140   155   150   165   144   174 0.85 -
JAACPG010002211_1:3466-4518 -            351 7485at33634          -            342   1.5e-39  128.4   0.2   3   3   6.3e-20   2.3e-19   62.0   0.0   188   274   252   351   249   351 0.82 -
JAACPG010000898_1:286-1810  -            412 7485at33634          -            342     2e-39  128.0   1.5   1   2   4.3e-25   1.6e-24   79.0   0.1     4   153    26   218    23   231 0.71 -
JAACPG010000898_1:286-1810  -            412 7485at33634          -            342     2e-39  128.0   1.5   2   2   2.5e-14     9e-14   43.6   0.1   188   293   289   391   284   410 0.80 -
JAACPG010003205_1:66-1304   -            413 7485at33634          -            342   4.1e-35  113.8   0.3   1   1   7.9e-35   2.9e-34  111.0   0.4     1   296    47   398    47   405 0.76 -
JAACPG010000127_1:5034-6313 -            397 7485at33634          -            342   2.7e-34  111.1   4.3   1   2   1.9e-25   6.9e-25   80.1   1.6     3   242    14   317    12   327 0.65 -
JAACPG010000127_1:5034-6313 -            397 7485at33634          -            342   2.7e-34  111.1   4.3   2   2   6.6e-10   2.4e-09   29.0   0.1   242   277   357   392   350   397 0.90 -
JAACPG010000475_1:5184-6260 -            359 7485at33634          -            342   9.6e-31   99.4   0.3   1   2   1.4e-19     5e-19   60.9   0.0    15   158    14   187     1   198 0.75 -
JAACPG010000475_1:5184-6260 -            359 7485at33634          -            342   9.6e-31   99.4   0.3   2   2   5.7e-12   2.1e-11   35.8   0.1   152   260   232   354   214   358 0.73 -
JAACPG010002884_1:1047-2309 -            421 7485at33634          -            342   2.3e-26   85.0   8.9   1   4   1.1e-10   3.9e-10   31.6   0.2     3   123     3   157     1   165 0.64 -
JAACPG010002884_1:1047-2309 -            421 7485at33634          -            342   2.3e-26   85.0   8.9   2   4       5.6        21   -3.6   0.1   134   151   188   205   181   211 0.74 -
JAACPG010002884_1:1047-2309 -            421 7485at33634          -            342   2.3e-26   85.0   8.9   3   4   0.00014   0.00049   11.6   0.2   167   233   249   323   230   326 0.79 -
JAACPG010002884_1:1047-2309 -            421 7485at33634          -            342   2.3e-26   85.0   8.9   4   4   8.7e-15   3.2e-14   45.1   0.0   232   284   352   407   333   413 0.88 -
JAACPG010001278_1:3925-5702 -            234 7485at33634          -            342   3.4e-18   58.1   0.3   1   1   1.8e-18   6.4e-18   57.2   0.1     4   100    43   156    40   170 0.76 -
JAACPG010002830_1:2052-3236 -            395 7485at33634          -            342   2.3e-16   52.1   0.1   1   2   2.6e-07   9.5e-07   20.5   0.0    39   162    12   161     2   166 0.65 -
JAACPG010002830_1:2052-3236 -            395 7485at33634          -            342   2.3e-16   52.1   0.1   2   2   1.1e-09   4.2e-09   28.3   0.0   231   277   340   386   326   394 0.83 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/7485at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Bacillariophyta_sp_ASM1036717v1/run_stramenopiles_odb10/metaeuk_output/rerun_results/GCA_010367175.1_ASM1036717v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Bacillariophyta_sp_ASM1036717v1/run_stramenopiles_odb10/hmmer_output/rerun_results/7485at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/7485at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Bacillariophyta_sp_ASM1036717v1/run_stramenopiles_odb10/metaeuk_output/rerun_results/GCA_010367175.1_ASM1036717v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 17:29:57 2021
# [ok]
