#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
WKLE02000105_1:61188-62540 -            451 6436at33634          -            420  1.5e-108  354.5   0.0   1   1  1.4e-108  1.8e-108  354.2   0.0     8   403    21   450    16   451 0.91 -
WKLE02004667_1:9068-10111  -            348 6436at33634          -            420     5e-79  257.2   0.1   1   1     5e-79   6.3e-79  256.9   0.1    13   312    23   347    15   348 0.88 -
WKLE02000708_1:19831-21228 -            466 6436at33634          -            420   8.9e-75  243.2   0.3   1   1   9.5e-75   1.2e-74  242.8   0.3    11   405    28   460    19   465 0.85 -
WKLE02004111_1:11404-13035 -            544 6436at33634          -            420     1e-71  233.1   0.2   1   3     1e-32   1.3e-32  104.3   0.1    10   164    60   231    53   269 0.82 -
WKLE02004111_1:11404-13035 -            544 6436at33634          -            420     1e-71  233.1   0.2   2   3   1.2e-38   1.5e-38  123.8   0.0   172   331   284   453   261   462 0.87 -
WKLE02004111_1:11404-13035 -            544 6436at33634          -            420     1e-71  233.1   0.2   3   3      0.19      0.23    1.3   0.0   335   381   497   543   488   544 0.80 -
WKLE02000433_1:4438-5598   -            353 6436at33634          -            420   8.7e-71  230.1   1.2   1   1   9.7e-71   1.2e-70  229.6   1.2    11   309    21   349    14   353 0.86 -
WKLE02004566_1:4345-5795   -            446 6436at33634          -            420   9.6e-70  226.6   0.3   1   1   2.9e-68   3.7e-68  221.4   0.3    12   376     1   427     1   446 0.78 -
WKLE02004437_1:3375-5636   -            620 6436at33634          -            420   4.6e-69  224.4   3.5   1   4   2.5e-33   3.1e-33  106.3   0.3     7   174    33   236    29   240 0.76 -
WKLE02004437_1:3375-5636   -            620 6436at33634          -            420   4.6e-69  224.4   3.5   2   4   8.8e-06   1.1e-05   15.6   0.0   153   234   252   339   246   350 0.78 -
WKLE02004437_1:3375-5636   -            620 6436at33634          -            420   4.6e-69  224.4   3.5   3   4   2.6e-26   3.3e-26   83.2   0.0   236   327   361   464   355   486 0.80 -
WKLE02004437_1:3375-5636   -            620 6436at33634          -            420   4.6e-69  224.4   3.5   4   4   3.7e-06   4.7e-06   16.8   0.1   358   412   558   614   525   619 0.78 -
WKLE02001779_1:599-2173    -            525 6436at33634          -            420   4.5e-67  217.8   0.0   1   1   3.7e-66   4.7e-66  214.5   0.0    10   404    48   506    40   515 0.78 -
WKLE02003776_1:33158-34270 -            371 6436at33634          -            420   1.7e-57  186.3   0.0   1   1   1.7e-57   2.1e-57  186.0   0.0     5   324     7   359     3   364 0.80 -
WKLE02003759_1:18561-19877 -            342 6436at33634          -            420   2.1e-57  186.0   0.0   1   1   2.2e-57   2.8e-57  185.6   0.0    14   312    25   341    12   342 0.84 -
WKLE02005439_1:27134-28216 -            361 6436at33634          -            420   4.5e-55  178.3   0.4   1   2   2.2e-13   2.7e-13   40.6   0.0    10    82     7    84     1    95 0.83 -
WKLE02005439_1:27134-28216 -            361 6436at33634          -            420   4.5e-55  178.3   0.4   2   2   2.3e-42   2.9e-42  136.1   0.2    88   314   110   352   101   361 0.81 -
WKLE02002346_1:7431-8579   -            383 6436at33634          -            420   1.8e-52  169.7   0.0   1   1   1.2e-50   1.5e-50  163.4   0.0    10   304    33   380    29   383 0.73 -
WKLE02005378_1:5256-6470   -            405 6436at33634          -            420   4.9e-52  168.3   0.1   1   1   5.3e-52   6.7e-52  167.8   0.1     4   322    37   398    34   403 0.76 -
WKLE02000455_1:35208-36458 -            417 6436at33634          -            420   4.9e-51  165.0   0.0   1   2   2.5e-26   3.2e-26   83.2   0.0    13   149    32   187    24   192 0.80 -
WKLE02000455_1:35208-36458 -            417 6436at33634          -            420   4.9e-51  165.0   0.0   2   2   3.2e-25   4.1e-25   79.6   0.0   140   326   205   404   189   411 0.85 -
WKLE02003127_1:3436-4494   -            353 6436at33634          -            420   5.6e-51  164.8   0.2   1   2   1.9e-34   2.5e-34  110.0   0.0    24   187     4   187     1   214 0.77 -
WKLE02003127_1:3436-4494   -            353 6436at33634          -            420   5.6e-51  164.8   0.2   2   2   3.4e-17   4.4e-17   53.2   0.1   208   312   243   351   241   353 0.88 -
WKLE02003215_1:380-1531    -            384 6436at33634          -            420   2.1e-49  159.6   0.0   1   1   2.6e-49   3.2e-49  159.0   0.0    13   320    29   383    23   384 0.79 -
WKLE02001417_1:20112-21464 -            333 6436at33634          -            420   8.7e-48  154.3   0.3   1   2   2.3e-28     3e-28   89.9   0.0     9   170    33   222    26   238 0.77 -
WKLE02001417_1:20112-21464 -            333 6436at33634          -            420   8.7e-48  154.3   0.3   2   2   4.7e-20     6e-20   62.6   0.1   238   313   255   331   245   333 0.91 -
WKLE02000162_1:5304-6344   -            347 6436at33634          -            420   7.1e-47  151.3   0.1   1   1   6.9e-47   8.7e-47  151.0   0.1    13   309    23   346    18   347 0.82 -
WKLE02000552_1:55380-56399 -            294 6436at33634          -            420   3.3e-46  149.1   0.7   1   1   1.6e-45     2e-45  146.5   0.7    15   302     1   294     1   294 0.88 -
WKLE02003149_1:16606-17661 -            352 6436at33634          -            420   4.4e-46  148.7   0.3   1   1   4.2e-46   5.3e-46  148.4   0.3    13   322    23   352    18   352 0.83 -
WKLE02001163_1:26176-27546 -            457 6436at33634          -            420   1.3e-43  140.6   0.1   1   2   2.3e-21   2.9e-21   66.9   0.0    10   171    20   212    14   216 0.76 -
WKLE02001163_1:26176-27546 -            457 6436at33634          -            420   1.3e-43  140.6   0.1   2   2   4.1e-22   5.2e-22   69.4   0.0   209   318   344   454   342   457 0.93 -
WKLE02006683_1:15388-16326 -            313 6436at33634          -            420   1.7e-43  140.1   2.1   1   1   1.5e-43   1.9e-43  140.0   2.1    34   322     6   313     1   313 0.81 -
WKLE02003402_1:45300-46514 -            405 6436at33634          -            420   5.1e-42  135.3   0.0   1   2   3.1e-25   3.9e-25   79.7   0.0    12   162    17   191    11   213 0.77 -
WKLE02003402_1:45300-46514 -            405 6436at33634          -            420   5.1e-42  135.3   0.0   2   2   2.5e-17   3.1e-17   53.6   0.0   212   304   305   403   297   405 0.86 -
WKLE02001507_1:5560-7032   -            491 6436at33634          -            420   5.8e-37  118.6   0.0   1   3   1.1e-10   1.4e-10   31.8   0.0    13   122    37   179    32   192 0.69 -
WKLE02001507_1:5560-7032   -            491 6436at33634          -            420   5.8e-37  118.6   0.0   2   3   4.3e-07   5.4e-07   19.9   0.0   124   168   238   291   225   299 0.79 -
WKLE02001507_1:5560-7032   -            491 6436at33634          -            420   5.8e-37  118.6   0.0   3   3   1.5e-19   1.9e-19   60.9   0.0   178   316   345   486   325   491 0.87 -
WKLE02000683_1:4291-5619   -            413 6436at33634          -            420   1.6e-36  117.2   0.1   1   2   8.5e-26   1.1e-25   81.5   0.1    11   214    28   260    21   280 0.65 -
WKLE02000683_1:4291-5619   -            413 6436at33634          -            420   1.6e-36  117.2   0.1   2   2   3.3e-11   4.1e-11   33.5   0.0   270   313   367   410   363   413 0.94 -
