#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QAXC01005325_1:3708-4814     -            369 15177at33634         -            274   9.3e-33  107.5   1.5   1   4   4.9e-11   1.2e-09   31.6   0.0     5   112     1   107     1   117 0.88 -
QAXC01005325_1:3708-4814     -            369 15177at33634         -            274   9.3e-33  107.5   1.5   2   4   2.5e-05   0.00064   12.9   0.0     8    94   127   212   121   218 0.89 -
QAXC01005325_1:3708-4814     -            369 15177at33634         -            274   9.3e-33  107.5   1.5   3   4   5.3e-13   1.3e-11   38.0   0.0    21   112   222   312   210   317 0.85 -
QAXC01005325_1:3708-4814     -            369 15177at33634         -            274   9.3e-33  107.5   1.5   4   4   1.6e-08   3.9e-07   23.4   0.0     5    82   288   364   286   369 0.85 -
QAXC01000665_1:837-1820      -            328 15177at33634         -            274   1.8e-27   90.1   5.7   1   3   3.6e-11   9.1e-10   32.0   0.4     8    82     9    83     6    88 0.97 -
QAXC01000665_1:837-1820      -            328 15177at33634         -            274   1.8e-27   90.1   5.7   2   3   1.1e-14   2.7e-13   43.6   0.2    20   194   104   269   101   280 0.88 -
QAXC01000665_1:837-1820      -            328 15177at33634         -            274   1.8e-27   90.1   5.7   3   3   2.3e-06   5.7e-05   16.3   0.0    20    80   268   327   264   328 0.83 -
QAXC01006299_1:30-779        -            250 15177at33634         -            274   2.1e-26   86.6   0.3   1   3   6.5e-10   1.6e-08   27.9   0.0    45    99     4    58     1    64 0.94 -
QAXC01006299_1:30-779        -            250 15177at33634         -            274   2.1e-26   86.6   0.3   2   3     0.002      0.05    6.7   0.1    26    89    77   139    69   141 0.84 -
QAXC01006299_1:30-779        -            250 15177at33634         -            274   2.1e-26   86.6   0.3   3   3     2e-16   5.1e-15   49.3   0.0     5   110   139   243   136   247 0.94 -
QAXC01006453_1:2316-3098     -            261 15177at33634         -            274   1.5e-17   57.5   0.0   1   3     9e-09   2.3e-07   24.2   0.0    18   118     1    99     1   105 0.90 -
QAXC01006453_1:2316-3098     -            261 15177at33634         -            274   1.5e-17   57.5   0.0   2   3     0.023      0.58    3.2   0.0   185   208   115   138    97   153 0.67 -
QAXC01006453_1:2316-3098     -            261 15177at33634         -            274   1.5e-17   57.5   0.0   3   3   2.1e-09   5.4e-08   26.2   0.0     9   113   151   255   148   261 0.83 -
QAXC01005708_1:32-1033       -            334 15177at33634         -            274   1.6e-16   54.2   0.0   1   4   5.8e-08   1.5e-06   21.5   0.0    50   123     1    74     1    82 0.89 -
QAXC01005708_1:32-1033       -            334 15177at33634         -            274   1.6e-16   54.2   0.0   2   4     0.013      0.32    4.0   0.0    58    94    91   126    88   133 0.85 -
QAXC01005708_1:32-1033       -            334 15177at33634         -            274   1.6e-16   54.2   0.0   3   4     0.051       1.3    2.0   0.0   233   258   199   224   180   243 0.79 -
QAXC01005708_1:32-1033       -            334 15177at33634         -            274   1.6e-16   54.2   0.0   4   4   8.3e-08   2.1e-06   21.0   0.0    12    86   258   330   254   334 0.88 -
QAXC01000011_1:319520-321099 -            213 15177at33634         -            274   2.7e-16   53.5   0.1   1   2   4.3e-11   1.1e-09   31.8   0.0    14   105     5    95     1    98 0.85 -
QAXC01000011_1:319520-321099 -            213 15177at33634         -            274   2.7e-16   53.5   0.1   2   2   3.2e-08     8e-07   22.4   0.0    13    91    86   166    84   178 0.86 -
QAXC01000009_1:24812-25345   -            178 15177at33634         -            274     1e-11   38.5   0.0   1   2   8.9e-09   2.2e-07   24.2   0.0    13    83     5    75     1    91 0.88 -
QAXC01000009_1:24812-25345   -            178 15177at33634         -            274     1e-11   38.5   0.0   2   2   3.4e-05   0.00085   12.5   0.0    47   110    93   164    86   177 0.70 -
QAXC01000007_1:114479-114997 -            173 15177at33634         -            274   9.1e-10   32.0   0.0   1   2     7e-05    0.0018   11.4   0.0    66   123    23    80     7    89 0.88 -
QAXC01000007_1:114479-114997 -            173 15177at33634         -            274   9.1e-10   32.0   0.0   2   2   4.3e-07   1.1e-05   18.7   0.0    61   122   101   164    95   169 0.84 -
QAXC01003767_1:15-737        -            241 15177at33634         -            274   1.1e-06   22.0   0.0   1   2      0.95        24   -2.1   0.0   243   261     2    20     1    23 0.79 -
QAXC01003767_1:15-737        -            241 15177at33634         -            274   1.1e-06   22.0   0.0   2   2   1.1e-07   2.7e-06   20.7   0.0   137   265   113   239    48   241 0.86 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/15177at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Halamphora_sp_AAB/run_stramenopiles_odb10/metaeuk_output/rerun_results/GCA_004335955.1_ASM433595v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Halamphora_sp_AAB/run_stramenopiles_odb10/hmmer_output/rerun_results/15177at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/15177at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Halamphora_sp_AAB/run_stramenopiles_odb10/metaeuk_output/rerun_results/GCA_004335955.1_ASM433595v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Thu Apr 15 16:08:52 2021
# [ok]
