PtTHIC	scaffold00411	81.894	602	97	4	25	619	39485	37695	0.0	999
PtNMT1	scaffold00018	46.154	52	25	2	285	336	379883	379737	0.16	36.2
PtTH1	scaffold00017	54.483	580	224	9	36	579	275748	274021	0.0	581
PtTHIO	scaffold00005	51.720	756	265	16	90	784	785066	782916	0.0	703
PtTHIS	scaffold03740	26.027	73	51	1	1	70	1448	1666	0.86	28.5
PtTHIF	scaffold01719	54.267	457	196	4	11	454	1717	347	4.53e-149	468
PtDXS	scaffold00328	80.468	727	115	4	17	720	51327	49159	0.0	1181
PtTHIG	scaffold00637	48.249	257	126	3	6	262	18461	19210	2.74e-68	230
PtTPK	scaffold00091	51.852	216	93	6	19	223	135683	135036	1.25e-58	202
FsFOLR	scaffold01249	26.984	63	45	1	144	206	7583	7768	1.9	31.6
CrTHI4	scaffold00028	37.255	51	28	1	84	130	176644	176492	0.19	35.4
