iscS	NKIB01002245_1	81.053	380	72	0	20	399	10680	11819	0.0	626
thiF	NKIB01013590_1	42.358	229	127	4	5	229	41433	40750	5.67e-42	153
thiI	NKIB01009402_1	27.083	96	52	4	109	204	57305	57072	4.4	31.2
dxs	NKIB01012851_1	87.398	492	61	1	75	566	2316	3788	0.0	906
thiH	NKIB01006895_1	32.000	50	33	1	175	223	12953	13102	0.59	33.5
thiO	NKIB01014556_1	28.205	351	217	12	45	368	36199	37227	2.22e-26	112
thiG	NKIB01013960_1	48.438	256	124	3	2	249	35880	36647	4.19e-71	237
tenI	NKIB01000328_1	29.851	134	77	4	74	197	1982	1602	8.38e-06	46.6
THI6	NKIB01013371_1	40.000	60	35	1	38	96	3589	3410	1.52e-04	45.8
THI4	NKIB01008453_1	47.619	42	20	1	91	132	5838	5957	0.13	35.4
thi4	NKIB01008526_1	54.286	35	16	0	28	62	43986	43882	0.023	37.4
THI20	NKIB01013371_1	28.491	530	289	19	2	462	4726	3200	1.07e-28	122
thiD	NKIB01013371_1	32.646	291	145	8	19	261	4645	3782	1.13e-30	121
thiDE	NKIB01013371_1	35.470	234	118	6	337	539	4630	3935	3.13e-28	121
thiDN	NKIB01013371_1	32.174	230	122	6	18	214	4645	3959	2.92e-27	116
thiC	NKIB01001105_1	80.301	599	109	4	25	619	23719	21938	0.0	984
THI5	NKIB01012656_1	31.915	47	32	0	216	262	4930	5070	2.9	30.8
thiE	NKIB01013371_1	41.294	201	110	5	10	202	3658	3056	2.31e-34	129
thiN	NKIB01004673_1	27.273	77	40	4	70	139	21400	21603	3.2	29.6
thiL	NKIB01008246_1	28.814	59	42	0	130	188	373	549	0.53	32.3
NTPCR	NKIB01014093_1	41.667	24	14	0	1	24	13846	13775	0.92	30.8
rsgA	NKIB01010859_1	30.455	220	126	9	42	247	8033	7413	4.59e-10	61.6
adk	NKIB01004973_1	65.000	140	48	1	171	310	1584	2000	1.53e-82	184
THTPA	NKIB01002081_1	41.423	239	121	7	41	276	6948	7616	1.52e-40	150
phoA	NKIB01009136_1	36.735	49	31	0	113	161	2501	2355	0.010	39.7
PHO	NKIB01014066_1	31.884	69	43	2	363	427	3367	3573	8.4	30.0
PHO5_11_12	NKIB01014467_1	26.389	72	48	2	369	440	33759	33959	6.7	30.4
ACP1	NKIB01011410_1	28.571	35	25	0	57	91	237	341	2.2	28.9
thiK	NKIB01003613_1	35.088	57	33	1	14	66	9288	9118	0.28	33.9
TPK1	NKIB01001231_1	27.972	286	141	10	3	266	10235	10963	3.14e-19	88.2
ylmB	NKIB01005490_1	29.167	96	66	2	67	162	1524	1805	0.028	37.7
tenA	NKIB01002101_1	42.424	33	19	0	111	143	4244	4146	3.7	29.6
E2.5.1.2	NKIB01003707_1	39.394	33	16	1	190	218	1713	1615	7.5	30.4
