#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NKIB01012640_1:70257-72230 -            658 464990at2759         -            394   1.2e-52  175.0  30.0   1   6       3.1   1.7e+02   -3.2   0.0     2    23    44    65    43    75 0.82 -
NKIB01012640_1:70257-72230 -            658 464990at2759         -            394   1.2e-52  175.0  30.0   2   6   9.8e-08   5.3e-06   21.5   0.1    31    91    94   168    76   176 0.82 -
NKIB01012640_1:70257-72230 -            658 464990at2759         -            394   1.2e-52  175.0  30.0   3   6   9.1e-35   4.8e-33  110.5   0.0   100   251   202   380   172   384 0.83 -
NKIB01012640_1:70257-72230 -            658 464990at2759         -            394   1.2e-52  175.0  30.0   4   6   6.9e-12   3.7e-10   35.1   0.0   248   297   395   444   393   462 0.85 -
NKIB01012640_1:70257-72230 -            658 464990at2759         -            394   1.2e-52  175.0  30.0   5   6    0.0038       0.2    6.4   0.2   293   323   489   519   480   553 0.73 -
NKIB01012640_1:70257-72230 -            658 464990at2759         -            394   1.2e-52  175.0  30.0   6   6    0.0054      0.29    5.8  17.9   305   393   567   656   559   657 0.70 -
NKIB01006986_1:5888-7996   -            703 464990at2759         -            394   1.3e-22   76.2   2.1   1   3      0.54        29   -0.7   0.0   255   268   203   216   194   221 0.79 -
NKIB01006986_1:5888-7996   -            703 464990at2759         -            394   1.3e-22   76.2   2.1   2   3   3.1e-10   1.7e-08   29.7   0.0    68   203   301   460   218   473 0.77 -
NKIB01006986_1:5888-7996   -            703 464990at2759         -            394   1.3e-22   76.2   2.1   3   3   4.3e-14   2.3e-12   42.4   0.2   211   366   494   670   490   680 0.76 -
NKIB01003233_1:18076-18975 -            300 464990at2759         -            394   7.4e-09   30.8   0.3   1   3   0.00025     0.014   10.2   0.0   209   251    87   131    58   141 0.81 -
NKIB01003233_1:18076-18975 -            300 464990at2759         -            394   7.4e-09   30.8   0.3   2   3   3.5e-06   0.00019   16.4   0.0   217   280   139   211   129   213 0.78 -
NKIB01003233_1:18076-18975 -            300 464990at2759         -            394   7.4e-09   30.8   0.3   3   3   0.00012    0.0062   11.4   0.0   217   254   182   219   175   239 0.81 -
NKIB01000693_1:17577-18563 -            329 464990at2759         -            394   2.3e-08   29.2   0.1   1   3   0.00018    0.0098   10.7   0.0   222   268     8    62     2    65 0.72 -
NKIB01000693_1:17577-18563 -            329 464990at2759         -            394   2.3e-08   29.2   0.1   2   3       1.5        78   -2.2   0.0   226   251   102   127    97   140 0.69 -
NKIB01000693_1:17577-18563 -            329 464990at2759         -            394   2.3e-08   29.2   0.1   3   3   8.3e-06   0.00044   15.1   0.0   219   270   260   319   251   322 0.76 -
