#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CP001142_1:469184-469810 -            209 261419at2759         -            533     2e-06   20.9   0.1   1   3     0.052       2.7    0.7   0.0   121   157    23    61    16    68 0.77 -
CP001142_1:469184-469810 -            209 261419at2759         -            533     2e-06   20.9   0.1   2   3   0.00012    0.0065    9.3   0.0    99   173    53   120    43   134 0.64 -
CP001142_1:469184-469810 -            209 261419at2759         -            533     2e-06   20.9   0.1   3   3   0.00014    0.0074    9.1   0.1   140   180   134   177   121   197 0.64 -
CM000622_1:79542-80693   -            384 261419at2759         -            533   5.3e-06   19.5   1.6   1   4   0.00045     0.024    7.5   0.1   103   168    23    90    18    99 0.81 -
CM000622_1:79542-80693   -            384 261419at2759         -            533   5.3e-06   19.5   1.6   2   4   0.00031     0.016    8.0   0.1   106   158   116   170    98   183 0.78 -
CM000622_1:79542-80693   -            384 261419at2759         -            533   5.3e-06   19.5   1.6   3   4     0.069       3.6    0.3   0.0   140   165   272   300   257   309 0.74 -
CM000622_1:79542-80693   -            384 261419at2759         -            533   5.3e-06   19.5   1.6   4   4      0.26        14   -1.6   0.0   106   157   320   374   308   377 0.53 -
CM000605_1:74764-75648   -            295 261419at2759         -            533   0.00046   13.1   0.0   1   3   6.8e-05    0.0036   10.2   0.0   102   159    82   140    75   143 0.85 -
CM000605_1:74764-75648   -            295 261419at2759         -            533   0.00046   13.1   0.0   2   3    0.0039      0.21    4.4   0.0   110   159   131   182   126   197 0.81 -
CM000605_1:74764-75648   -            295 261419at2759         -            533   0.00046   13.1   0.0   3   3     0.096       5.1   -0.2   0.0   142   156   215   229   154   263 0.61 -
CM000610_1:635471-643123 -            185 261419at2759         -            533   0.00055   12.9   0.0   1   2   0.00074     0.039    6.7   0.0   100   130    39    69     7    87 0.82 -
CM000610_1:635471-643123 -            185 261419at2759         -            533   0.00055   12.9   0.0   2   2    0.0036      0.19    4.5   0.0   101   133   103   135    94   160 0.85 -
CM000605_1:74125-75402   -            426 261419at2759         -            533     0.002   11.0   0.0   1   3   0.00029     0.016    8.1   0.0   109   159     7    58     2    62 0.83 -
CM000605_1:74125-75402   -            426 261419at2759         -            533     0.002   11.0   0.0   2   3    0.0072      0.38    3.5   0.0   110   159    49   100    44   110 0.81 -
CM000605_1:74125-75402   -            426 261419at2759         -            533     0.002   11.0   0.0   3   3       0.2        11   -1.3   0.0   124   124   112   112    73   153 0.50 -
CP001141_1:385384-386127 -            248 261419at2759         -            533    0.0024   10.7   0.0   1   2   0.00029     0.015    8.1   0.0   113   158    55   101    44   105 0.86 -
CP001141_1:385384-386127 -            248 261419at2759         -            533    0.0024   10.7   0.0   2   2      0.14       7.2   -0.7   0.0   103   132   127   156   115   184 0.77 -
CM000619_1:286143-288407 -            715 261419at2759         -            533    0.0033   10.3   0.3   1   2      0.62        33   -2.9   0.0   102   133   121   152   118   182 0.74 -
CM000619_1:286143-288407 -            715 261419at2759         -            533    0.0033   10.3   0.3   2   2   0.00017    0.0088    8.9   0.1    90   158   528   601   513   647 0.75 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/261419at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Phaeodactylum_tricornutum_ASM15095v2/run_eukaryota_odb10/metaeuk_output/rerun_results/GCA_000150955.2_ASM15095v2_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Phaeodactylum_tricornutum_ASM15095v2/run_eukaryota_odb10/hmmer_output/rerun_results/261419at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/261419at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Phaeodactylum_tricornutum_ASM15095v2/run_eukaryota_odb10/metaeuk_output/rerun_results/GCA_000150955.2_ASM15095v2_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 14:23:13 2021
# [ok]
