iscS	JAACPG010002438_1	82.368	380	66	1	20	398	1541	2680	0.0	647
thiF	JAACPG010002227_1	35.223	247	149	4	1	236	396	1136	1.09e-31	122
thiI	JAACPG010000065_1	27.778	72	50	1	406	477	7228	7437	0.004	39.3
dxs	JAACPG010001008_1	26.667	135	88	4	409	538	4163	4549	0.002	40.8
thiO	JAACPG010000261_1	23.715	253	167	10	123	354	15469	14726	1.10e-05	47.0
thiG	JAACPG010000694_1	35.294	51	31	2	202	251	782	633	0.80	30.4
tenI	JAACPG010002997_1	27.586	145	82	5	74	202	8664	9077	3.17e-05	43.5
thiM	JAACPG010003270_1	37.500	48	29	1	119	165	14515	14658	0.031	35.0
THI6	JAACPG010000413_1	28.025	157	100	5	38	189	1841	2287	5.94e-05	45.4
THI4	JAACPG010000301_1	48.718	39	20	0	92	130	3155	3039	5.05e-04	41.6
thi4	JAACPG010000979_1	48.649	37	19	0	25	61	2359	2249	0.004	38.1
THI20	JAACPG010000413_1	35.119	168	102	3	39	202	701	1195	2.53e-17	85.1
thiD	JAACPG010000413_1	34.359	195	115	4	20	202	704	1285	1.09e-24	102
thiDE	JAACPG010000413_1	34.375	192	113	5	337	517	716	1285	1.45e-22	102
thiDN	JAACPG010000413_1	39.130	184	97	3	4	177	659	1195	5.93e-24	104
thiC	JAACPG010000494_1	87.430	358	41	1	262	619	3516	2455	0.0	632
THI5	JAACPG010003195_1	25.000	300	186	7	4	286	7119	7952	3.22e-13	70.1
thiE	JAACPG010000413_1	37.313	201	118	5	10	202	1772	2374	2.74e-31	119
thiN	JAACPG010000244_1	32.075	53	31	2	81	133	2307	2450	0.98	29.3
thiL	JAACPG010000877_1	46.429	28	14	1	139	165	2737	2654	0.83	30.8
NTPCR	JAACPG010000932_1	39.216	51	25	1	82	132	1939	2073	0.36	30.4
rsgA	JAACPG010002800_1	31.343	67	45	1	127	193	1696	1499	1.8	29.6
adk	JAACPG010001574_1	46.392	97	51	1	131	227	1682	1969	4.02e-18	84.3
THTPA	JAACPG010001304_1	24.699	166	94	8	30	174	4765	4298	0.21	32.3
phoA	JAACPG010000089_1	32.075	53	36	0	113	165	5337	5495	0.006	38.9
PHO	JAACPG010001113_1	29.231	65	45	1	175	238	2788	2594	4.7	29.3
ACP1	JAACPG010002488_1	34.146	41	24	1	57	97	5797	5684	3.0	27.3
TH2	JAACPG010002261_1	57.692	26	11	0	245	270	1842	1765	0.38	32.7
thiK	JAACPG010000657_1	27.907	43	31	0	45	87	3258	3386	4.5	28.1
TPK1	JAACPG010000447_1	29.143	175	65	8	6	174	3189	2824	3.03e-09	56.6
TENA_E	JAACPG010000416_1	28.205	39	23	1	77	115	870	971	8.5	26.2
ylmB	JAACPG010002998_1	27.922	154	101	5	17	162	5076	5531	4.73e-04	42.0
tenA	JAACPG010000059_1	40.000	35	21	0	46	80	7633	7529	0.51	30.8
E2.5.1.2	JAACPG010002562_1	45.161	31	17	0	279	309	5682	5774	8.0	28.5
