iscS	CM000607_1	100.000	400	0	0	1	400	1142984	1144183	0.0	801
thiF	CM000608_1	40.164	244	136	6	8	244	415272	415994	3.61e-37	138
thiI	CM000607_1	36.111	36	23	0	316	351	985847	985740	3.2	30.0
dxs	DS999284_1	100.000	716	0	0	15	730	18121	15974	0.0	1446
thiH	CM000607_1	30.435	46	30	1	227	272	468978	469109	1.9	30.4
thiO	CM000605_1	30.028	353	206	12	45	363	328183	329220	3.64e-34	134
thiG	CM000619_1	31.481	54	29	2	94	147	179883	179746	1.6	30.0
tenI	CM000611_1	29.915	117	64	5	87	185	543773	543423	3.95e-07	49.7
THI6	CM000615_1	35.000	60	38	1	38	96	211732	211911	0.025	37.4
THI4	CM000609_1	32.099	81	43	3	91	161	586156	586392	0.004	39.3
thi4	CM000611_1	47.222	36	19	0	27	62	787691	787798	0.016	36.6
THI20	CM000615_1	35.000	240	133	7	24	244	210649	211356	3.66e-20	94.7
thiD	CM000615_1	33.803	284	142	8	19	259	210694	211536	1.70e-29	117
thiDE	CM000615_1	37.156	218	110	6	337	529	210709	211356	1.78e-29	124
thiDN	CM000615_1	33.937	221	118	4	19	212	210697	211356	1.34e-28	119
thiC	CM000617_1	89.565	345	0	1	1	309	28878	29912	0.0	630
THI5	CP001142_1	26.070	257	167	9	10	257	1171949	1171221	2.08e-10	62.0
thiE	CM000615_1	40.099	202	105	6	15	204	211678	212271	6.99e-32	121
thiN	CM000617_1	35.417	48	26	2	86	133	86181	86053	0.70	30.4
thiL	CM000605_1	35.366	82	44	4	191	266	1253213	1253449	0.93	31.2
NTPCR	CM000629_1	50.000	24	12	0	1	24	176711	176782	0.044	33.9
rsgA	CM000633_1	55.172	29	11	2	135	163	51386	51466	0.35	32.3
adk	CM000610_1	92.398	342	0	1	1	316	808785	807760	0.0	627
THTPA	CM000614_1	100.000	281	0	0	1	281	468608	469450	0.0	583
phoA	CM000625_1	33.333	48	32	0	118	165	388090	387947	0.027	37.0
PHO	CP001142_1	30.769	78	39	3	375	452	23992	24180	6.0	29.3
PHO5_11_12	CM000621_1	31.579	57	39	0	153	209	536543	536713	0.78	32.0
ACP1	CM000626_1	35.714	42	26	1	47	88	46920	47042	0.58	30.0
TH2	CM000605_1	28.571	49	32	1	236	281	1841661	1841807	8.8	28.5
thiK	CM000629_1	28.947	76	50	2	142	213	339898	339671	0.60	31.6
TPK1	CM000612_1	30.108	279	123	10	6	266	151586	150912	4.64e-21	92.4
ylmB	CM000606_1	34.483	87	57	0	83	169	1422643	1422903	5.29e-08	55.1
tenA	CM000609_1	23.438	192	130	5	52	230	426543	427106	1.08e-04	42.7
E2.5.1.2	CM000624_1	25.000	48	36	0	71	118	93002	93145	1.3	31.6
