iscS	scaffold_6256	79.915	234	47	0	166	399	6361	5660	3.89e-162	364
thiF	scaffold_8901	39.823	226	114	5	8	212	248	922	3.78e-38	143
thiI	scaffold_61961	100.000	63	0	0	163	225	1	189	7.88e-41	142
dxs	scaffold_5316	76.963	573	120	4	1	567	11178	12878	0.0	920
thiH	scaffold_87833	100.000	50	0	0	227	276	1	150	4.48e-30	111
thiO	scaffold_4408	27.869	366	211	13	26	348	13940	15007	4.52e-27	115
thiG	scaffold_102471	54.054	37	8	1	124	160	53	136	4.89e-04	38.9
tenI	scaffold_4666	24.324	185	107	8	43	196	8538	7990	0.016	37.7
thiM	scaffold_24165	30.769	78	46	2	1	78	263	54	1.1	32.3
THI6	scaffold_62780	30.769	65	42	1	456	520	188	3	0.11	33.9
thi4	scaffold_4813	41.791	67	30	3	5	62	14016	13816	0.026	38.5
THI20	scaffold_10691	32.418	182	103	4	36	202	5533	5003	3.49e-15	81.3
thiD	scaffold_10691	36.517	178	98	4	16	179	5533	5003	4.54e-21	94.4
thiDE	scaffold_10691	37.419	155	86	3	349	493	5464	5003	9.09e-19	92.8
thiDN	scaffold_10691	35.028	177	101	3	15	177	5533	5003	2.18e-22	102
thiC	scaffold_4249	73.869	199	48	2	73	271	6937	7521	2.90e-92	308
THI5	scaffold_10256	35.593	59	36	1	228	286	2708	2878	1.3	33.1
thiE	scaffold_10691	42.500	200	104	7	15	204	4226	3630	1.68e-31	122
thiL	scaffold_107955	100.000	44	0	0	33	76	1	132	7.26e-22	88.6
NTPCR	scaffold_5801	50.000	24	12	0	1	24	8321	8250	0.16	34.3
rsgA	scaffold_4004	28.378	74	53	0	232	305	19772	19993	0.27	35.4
adk	scaffold_4250	72.619	84	23	0	224	307	35593	35342	7.02e-31	124
THTPA	scaffold_4628	31.081	296	149	15	25	275	11064	11921	3.58e-20	92.4
phoA	scaffold_5502	39.130	46	28	0	113	158	4082	4219	0.038	38.9
PHO	scaffold_113043	34.000	50	32	1	240	289	173	27	3.3	29.3
PHO5_11_12	scaffold_113043	28.846	52	36	1	240	291	173	21	9.6	28.1
ACP1	scaffold_5591	29.204	113	71	3	50	156	14784	14455	0.17	33.9
TH2	scaffold_3947	32.360	411	214	10	72	437	49345	48170	2.47e-42	162
thiK	scaffold_83269	100.000	52	0	0	26	77	3	158	6.65e-31	111
TPK1	scaffold_14726	28.767	146	76	5	148	266	621	1055	1.66e-21	62.4
TENA_E	scaffold_10459	34.211	38	23	1	4	39	1400	1513	4.0	30.0
ylmB	scaffold_4717	22.016	486	303	15	3	425	5807	4389	9.29e-14	75.9
tenA	scaffold_3942	23.333	180	105	5	52	198	41278	40739	2.25e-04	43.9
