#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QPGO01000085_1:276535-277932 -            466 8842at33634          -            343  1.1e-176  581.0   6.3   1   2   2.1e-17     2e-16   54.1   1.5     1    55    26    88    26    92 0.90 -
QPGO01000085_1:276535-277932 -            466 8842at33634          -            343  1.1e-176  581.0   6.3   2   2  5.1e-162  4.9e-161  529.6   0.2    62   339   148   452   143   460 0.93 -
QPGO01000128_1:128965-129849 -            295 8842at33634          -            343   2.9e-94  310.0   0.7   1   1   3.7e-95   3.6e-94  309.7   0.7    70   340     4   287     2   291 0.92 -
QPGO01000319_1:52559-53486   -            278 8842at33634          -            343   7.4e-88  289.0   0.1   1   1   8.4e-89   8.1e-88  288.8   0.1    80   339     1   276     1   278 0.92 -
QPGO01000082_1:125136-125979 -            255 8842at33634          -            343   2.4e-83  274.2   0.3   1   1     3e-84   2.9e-83  273.9   0.3   114   338     1   240     1   244 0.91 -
QPGO01000082_1:239480-240403 -            308 8842at33634          -            343     6e-83  272.8   0.1   1   1   7.9e-84   7.6e-83  272.5   0.1    74   328    32   295    19   305 0.92 -
QPGO01000025_1:168925-169956 -            344 8842at33634          -            343     4e-82  270.1   0.4   1   1   4.8e-83   4.7e-82  269.9   0.4    23   315    33   344    12   344 0.87 -
QPGO01000090_1:24161-25051   -            297 8842at33634          -            343   1.5e-72  238.6   0.1   1   1   1.9e-73   1.9e-72  238.3   0.1    79   290    79   297    56   297 0.93 -
QPGO01000099_1:260566-261261 -            232 8842at33634          -            343   4.7e-55  181.1   0.2   1   1   5.8e-56   5.6e-55  180.9   0.2   114   328     1   223     1   231 0.89 -
QPGO01000134_1:196730-197455 -            242 8842at33634          -            343   8.6e-54  177.0   0.1   1   1   1.1e-54     1e-53  176.7   0.1   114   330     1   227     1   237 0.88 -
QPGO01000538_1:906-1631      -            242 8842at33634          -            343   8.6e-54  177.0   0.1   1   1   1.1e-54     1e-53  176.7   0.1   114   330     1   227     1   237 0.88 -
QPGO01000205_1:13362-14151   -            232 8842at33634          -            343   4.2e-50  164.9   0.0   1   1   4.7e-51   4.5e-50  164.7   0.0   110   328     3   228     1   232 0.89 -
