7	878+696	0	234148	1	1454155at2759_637379_1:0060a0|AGNL01000225_1|+|204|1.191e-53|1|878|1573|878[878]:1573[1573]:696[696]
19	2174+291	0	177347	1	1454155at2759_637379_1:0072c3|AGNL01000609_1|+|89|4.946e-19|1|2174|2464|2174[2174]:2464[2464]:291[291]
46	2444+417	0	177347	1	1454155at2759_637379_1:0072c3|AGNL01001473_1|+|80|2.532e-16|2|2444|2860|2444[2444]:2629[2629]:186[186]|2753[2753]:2860[2860]:108[108]
46	1311-696	0	234148	-1	1454155at2759_637379_1:0060a0|AGNL01001473_1|-|199|3.81e-52|1|616|1311|1311[1311]:616[616]:696[696]
75	893-367	0	6928	-1	1440961at2759_637379_1:0066ef|AGNL01002401_1|-|71|1.296e-13|2|527|893|893[893]:669[669]:225[225]|628[628]:527[527]:102[102]
78	828+459	0	7730	1	1249159at2759_7227_0:001548|AGNL01002497_1|+|46|4.35e-06|1|828|1286|828[828]:1286[1286]:459[459]
81	208+699	0	234148	1	1454155at2759_637379_1:0060a0|AGNL01002593_1|+|206|2.976e-54|1|208|906|208[208]:906[906]:699[699]
89	1793-712	0	234148	-1	1454155at2759_637379_1:0060a0|AGNL01002849_1|-|216|2.907e-57|2|1082|1793|1793[1793]:1536[1536]:258[258]|1525[1525]:1082[1082]:444[444]
126	2005+702	0	234148	1	1454155at2759_637379_1:0060a0|AGNL01004033_1|+|187|1.561e-48|1|2005|2706|2005[2005]:2706[2706]:702[702]
179	7919-1239	0	80973	-1	673132at2759_431895_0:002225|AGNL01005729_1|-|243|2.166e-65|1|6681|7919|7919[7919]:6681[6681]:1239[1239]
181	271+849	0	82668	1	1454155at2759_637379_1:002706|AGNL01005793_1|+|202|4.762e-53|1|271|1119|271[271]:1119[1119]:849[849]
199	4985+776	0	148940	1	1454155at2759_637379_1:000bb7|AGNL01006369_1|+|174|1.278e-44|2|4985|5760|4985[4985]:5329[5329]:345[345]|5347[5347]:5760[5760]:414[414]
200	750+474	0	80708	1	1065019at2759_412030_1:000b65|AGNL01006401_1|+|124|1.439e-29|1|750|1223|750[750]:1223[1223]:474[474]
210	1157-708	0	234148	-1	1454155at2759_637379_1:0060a0|AGNL01006721_1|-|212|4.651e-56|2|450|1157|1157[1157]:654[654]:504[504]|638[638]:450[450]:189[189]
228	1430+408	0	177347	1	1454155at2759_637379_1:0072c3|AGNL01007297_1|+|141|1.098e-34|1|1430|1837|1430[1430]:1837[1837]:408[408]
243	891-351	0	177347	-1	1454155at2759_637379_1:0072c3|AGNL01007777_1|-|172|5.114e-44|1|541|891|891[891]:541[541]:351[351]
276	590-591	0	234148	-1	1454155at2759_637379_1:0060a0|AGNL01008833_1|-|173|2.557e-44|1|0|590|590[590]:0[0]:591[591]
331	10482-2247	0	6924	-1	1051021at2759_637379_1:00238e|AGNL01010593_1|-|888|1.483e-259|3|8236|10482|10482[10482]:10204[10204]:279[279]|10127[10124]:9996[9996]:132[129]|9393[9393]:8236[8236]:1158[1158]
347	1392-690	0	148940	-1	1454155at2759_637379_1:000bb7|AGNL01011105_1|-|196|3.048e-51|1|703|1392|1392[1392]:703[703]:690[690]
347	4358-678	0	234148	-1	1454155at2759_637379_1:0060a0|AGNL01011105_1|-|206|2.976e-54|1|3681|4358|4358[4358]:3681[3681]:678[678]
388	1974+264	0	175459	1	1479417at2759_4182_0:000e83|AGNL01012417_1|+|44|1.74e-05|1|1974|2237|1974[1974]:2237[2237]:264[264]
429	0+552	0	158409	1	87842at2759_637379_1:002b37|AGNL01013729_1|+|375|3.978e-105|1|0|551|0[0]:551[551]:552[552]
434	658+659	0	53591	1	261419at2759_56484_1:001845|AGNL01013889_1|+|146|3.432e-36|2|658|1316|658[658]:894[894]:237[237]|984[987]:1316[1316]:333[330]
443	3829-813	0	234148	-1	1454155at2759_637379_1:0060a0|AGNL01014177_1|-|362|3.259e-101|1|3017|3829|3829[3829]:3017[3017]:813[813]
456	1736-834	0	82668	-1	1454155at2759_637379_1:002706|AGNL01014593_1|-|398|4.742e-112|1|903|1736|1736[1736]:903[903]:834[834]
470	2923-693	0	243328	-1	721605at2759_59538_0:003646|AGNL01015041_1|-|63|3.319e-11|1|2231|2923|2923[2923]:2231[2231]:693[693]
480	1035-840	0	42253	-1	39650at2759_36646_1:000574|AGNL01015361_1|-|160|2.095e-40|1|196|1035|1035[1035]:196[196]:840[840]
515	1800-795	0	234148	-1	1454155at2759_637379_1:0060a0|AGNL01016481_1|-|256|2.644e-69|1|1006|1800|1800[1800]:1006[1006]:795[795]
533	1085+669	0	234148	1	1454155at2759_637379_1:0060a0|AGNL01017057_1|+|207|1.488e-54|1|1085|1753|1085[1085]:1753[1753]:669[669]
551	1133+2312	0	148943	1	777920at2759_637379_1:0036b8|AGNL01017633_1|+|1392|0|3|1133|3444|1133[1133]:1795[1795]:663[663]|1866[1872]:3110[3110]:1245[1239]|3175[3178]:3444[3444]:270[267]
561	1299+1047	0	130545	1	1291729at2759_7004_0:0005f8|AGNL01017953_1|+|76|4.051e-15|1|1299|2345|1299[1299]:2345[2345]:1047[1047]
568	8043-695	0	148940	-1	1454155at2759_637379_1:000bb7|AGNL01018177_1|-|199|3.81e-52|2|7349|8043|8043[8043]:7642[7642]:402[402]|7627[7624]:7349[7349]:279[276]
575	3257-1422	0	97091	-1	331411at2759_1519565_1:0026f9|AGNL01018401_1|-|252|4.23e-68|1|1836|3257|3257[3257]:1836[1836]:1422[1422]
597	3766-1683	0	25862	-1	83779at2759_637379_1:003e76|AGNL01019105_1|-|1121|0|1|2084|3766|3766[3766]:2084[2084]:1683[1683]
603	2183-1839	0	44798	-1	176625at2759_637379_1:003f2e|AGNL01019297_1|-|1130|0|3|345|2183|2183[2183]:1386[1386]:798[798]|1308[1305]:658[658]:651[648]|590[584]:345[345]:246[240]
613	1233-249	0	253075	-1	142542at2759_635003_1:0037e3|AGNL01019617_1|-|40|0.0002784|1|985|1233|1233[1233]:985[985]:249[249]
649	366+177	0	130172	1	858842at2759_6573_0:005a63|AGNL01020769_1|+|44|1.74e-05|1|366|542|366[366]:542[542]:177[177]
668	9610-3884	0	242840	-1	142542at2759_556484_1:000e22|AGNL01021377_1|-|400|1.185e-112|2|5727|9610|9610[9610]:7403[7403]:2208[2208]|7277[7277]:5727[5727]:1551[1551]
