iscS	scaffold00013	75.870	431	71	1	2	399	395030	396322	0.0	653
thiF	scaffold00756	37.849	251	150	3	1	248	17676	18419	2.14e-41	152
thiI	scaffold00353	31.148	61	32	2	277	337	59325	59173	2.6	32.3
dxs	scaffold00328	80.468	727	115	4	16	719	51327	49159	0.0	1182
thiH	scaffold00074	42.424	33	19	0	233	265	174932	175030	8.0	30.4
thiO	scaffold00005	30.000	350	200	13	45	363	784928	783921	1.19e-29	122
thiG	scaffold00637	46.800	250	132	1	4	252	18473	19222	3.23e-66	223
tenI	scaffold03633	35.294	102	64	2	85	184	1562	1867	6.64e-09	56.2
THI6	scaffold01060	31.298	131	84	3	12	141	9708	10085	4.75e-10	63.9
THI4	scaffold00028	37.255	51	28	1	84	130	176644	176492	0.19	35.4
thi4	scaffold00177	34.615	52	34	0	12	63	34094	34249	0.002	41.2
THI20	scaffold00580	40.226	266	138	9	12	274	17987	18730	2.39e-42	164
thiD	scaffold03013	36.194	268	128	5	20	261	1043	291	5.02e-40	148
thiDE	scaffold00580	42.000	250	136	4	310	559	18008	18730	2.11e-34	141
thiDN	scaffold00580	38.843	242	134	5	6	243	18038	18733	3.63e-30	125
thiC	scaffold00411	81.894	602	97	4	25	619	39485	37695	0.0	999
THI5	scaffold00956	25.287	87	61	2	13	96	7946	7689	0.35	34.3
thiE	scaffold00017	40.291	206	113	7	9	204	274644	274027	3.93e-26	106
thiN	scaffold00062	34.426	61	39	1	129	188	39436	39254	0.15	33.9
thiL	scaffold03272	35.562	329	173	13	5	321	1264	359	5.30e-30	121
NTPCR	scaffold00041	24.138	116	82	2	32	141	237962	238309	0.076	34.7
rsgA	scaffold00698	32.143	84	51	2	60	137	572	321	0.024	37.7
adk	scaffold00101	67.606	142	46	0	171	312	93702	93277	4.41e-80	200
THTPA	scaffold00053	35.021	237	139	8	40	273	49929	49255	1.34e-26	110
PHO	scaffold00106	30.882	68	33	2	369	436	108948	109109	1.2	33.1
PHO5_11_12	scaffold00106	31.250	64	30	2	373	436	108960	109109	1.5	33.1
ACP1	scaffold00012	31.034	58	39	1	16	72	231938	232111	6.9	28.5
thiK	scaffold00506	41.860	43	24	1	99	141	33310	33185	0.28	34.3
TPK1	scaffold00091	28.846	260	115	12	6	242	135674	135036	2.90e-16	79.7
ylmB	scaffold01734	28.431	102	69	3	20	119	5670	5969	3.89e-07	53.9
tenA	scaffold00078	26.582	158	100	5	52	198	91827	92285	1.91e-07	52.8
E2.5.1.2	scaffold01828	54.545	22	10	0	78	99	3434	3499	3.0	32.0
