#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JAACSZ010001186_1:3537-5718   -            584 7485at33634          -            342   2.5e-87  284.8  13.0   1   5   7.4e-06   9.9e-06   16.4   0.0    12    41    31    60    21    65 0.83 -
JAACSZ010001186_1:3537-5718   -            584 7485at33634          -            342   2.5e-87  284.8  13.0   2   5   4.9e-28   6.6e-28   89.3   0.2    37   127    95   200    76   201 0.81 -
JAACSZ010001186_1:3537-5718   -            584 7485at33634          -            342   2.5e-87  284.8  13.0   3   5   1.3e-15   1.8e-15   48.5   1.1   159   212   198   256   198   271 0.86 -
JAACSZ010001186_1:3537-5718   -            584 7485at33634          -            342   2.5e-87  284.8  13.0   4   5   2.9e-34   3.8e-34  109.9   0.0   209   299   285   383   280   397 0.87 -
JAACSZ010001186_1:3537-5718   -            584 7485at33634          -            342   2.5e-87  284.8  13.0   5   5   4.3e-09   5.8e-09   27.1   0.2   298   342   510   562   502   562 0.87 -
JAACSZ010001084_1:5400-6699   -            397 7485at33634          -            342   4.2e-86  280.7   3.4   1   1   1.6e-83   2.2e-83  271.8   3.4    26   334     2   375     1   381 0.79 -
JAACSZ010000626_1:15961-17199 -            413 7485at33634          -            342   2.7e-71  232.0   1.9   1   1   1.1e-68   1.4e-68  223.1   1.9    25   300     1   329     1   385 0.83 -
JAACSZ010001377_1:30893-32111 -            346 7485at33634          -            342   2.3e-64  209.3   0.4   1   1   1.4e-63   1.8e-63  206.3   0.4     3   279    22   334    20   343 0.82 -
JAACSZ010000673_1:12081-14164 -            337 7485at33634          -            342   7.2e-61  197.7   0.0   1   1   1.5e-60     2e-60  196.3   0.0     1   279     9   333     9   337 0.81 -
JAACSZ010001401_1:47016-48488 -            491 7485at33634          -            342     3e-58  189.1   3.7   1   3     1e-19   1.4e-19   62.0   0.7     2   141     2   175     1   200 0.69 -
