#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QAXC01000032_1:481024-481587   -            188 20182at33634         -            251   1.2e-34  113.5   0.0   1   1   5.6e-35     2e-34  112.8   0.0    26   199     1   188     1   188 0.88 -
QAXC01000009_1:152168-152749   -            194 20182at33634         -            251   2.5e-33  109.2   0.0   1   1   2.2e-33   7.8e-33  107.6   0.0    23   192     1   186     1   194 0.86 -
QAXC01000003_1:2620594-2621151 -            186 20182at33634         -            251   4.1e-31  101.9   1.1   1   1   1.4e-31   5.1e-31  101.6   1.1    23   197     1   186     1   186 0.87 -
QAXC01000006_1:332965-333564   -            200 20182at33634         -            251   8.7e-31  100.9   0.0   1   1   3.2e-31   1.2e-30  100.5   0.0    16   199     4   200     1   200 0.86 -
QAXC01000020_1:529799-530350   -            184 20182at33634         -            251     1e-29   97.4   1.5   1   1   5.6e-30     2e-29   96.4   1.5    24   195     1   183     1   184 0.87 -
QAXC01005638_1:53-616          -            188 20182at33634         -            251   7.4e-29   94.5   0.3   1   1   2.5e-29   9.1e-29   94.3   0.3    23   194     5   187     1   188 0.86 -
QAXC01004654_1:1622-2176       -            185 20182at33634         -            251   9.7e-28   90.9   0.0   1   1   3.7e-28   1.3e-27   90.4   0.0    23   195     1   184     1   185 0.87 -
QAXC01006569_1:1147-1722       -            192 20182at33634         -            251   2.2e-27   89.7   0.8   1   1   1.9e-27   6.7e-27   88.1   0.8    23   193     1   185     1   192 0.84 -
QAXC01000076_1:618-1202        -            195 20182at33634         -            251   3.4e-27   89.1   0.1   1   1   4.4e-27   1.6e-26   86.9   0.1    25   196     2   189     1   193 0.83 -
QAXC01004142_1:2050-2676       -            209 20182at33634         -            251   1.7e-26   86.8   1.0   1   1   1.1e-26   4.1e-26   85.6   1.0    26   196     1   186     1   195 0.87 -
QAXC01000035_1:125488-126126   -            213 20182at33634         -            251   2.2e-26   86.5   0.0   1   1   7.4e-27   2.6e-26   86.2   0.0    23   204     1   190     1   206 0.88 -
QAXC01002776_1:204-755         -            184 20182at33634         -            251   1.4e-25   83.9   0.0   1   1   4.6e-26   1.6e-25   83.6   0.0    20   188     8   184     4   184 0.89 -
QAXC01000031_1:669823-670395   -            191 20182at33634         -            251   1.6e-25   83.6   2.7   1   1   2.8e-25     1e-24   81.0   2.7    23   195     1   189     1   191 0.78 -
QAXC01004611_1:1728-2306       -            193 20182at33634         -            251   2.3e-25   83.1   0.2   1   1   1.5e-25   5.4e-25   81.9   0.2    24   194     6   192     2   193 0.83 -
QAXC01005616_1:1694-2254       -            187 20182at33634         -            251   3.3e-25   82.6   1.0   1   1   1.8e-25   6.5e-25   81.6   1.0    24   195     1   186     1   187 0.86 -
QAXC01004021_1:529-1074        -            182 20182at33634         -            251   7.6e-25   81.4   0.6   1   1   3.8e-25   1.4e-24   80.6   0.6    25   194     2   181     1   182 0.81 -
QAXC01000002_1:367215-367784   -            190 20182at33634         -            251   2.8e-24   79.5   3.4   1   1   1.5e-24   5.3e-24   78.6   3.4    23   195     1   188     1   190 0.85 -
QAXC01004859_1:828-1364        -            179 20182at33634         -            251   3.4e-24   79.3   0.0   1   1   1.1e-24   4.1e-24   79.0   0.0    25   190     2   175     1   179 0.84 -
QAXC01000003_1:1991851-1992471 -            207 20182at33634         -            251   3.7e-24   79.1   0.8   1   1   3.3e-24   1.2e-23   77.5   0.8    26   195     1   190     1   193 0.78 -
QAXC01004246_1:1433-1939       -            169 20182at33634         -            251     4e-24   79.0   0.0   1   1   1.3e-24   4.7e-24   78.8   0.0    25   188     2   169     1   169 0.83 -
QAXC01000776_1:212-838         -            209 20182at33634         -            251   2.3e-23   76.6   0.0   1   1   7.2e-24   2.6e-23   76.4   0.0    22   198     6   187     2   209 0.85 -
QAXC01005591_1:2640-3281       -            214 20182at33634         -            251   3.4e-23   76.0   0.1   1   2   2.3e-09   8.1e-09   28.9   0.4    17    77     1    61     1    71 0.83 -
QAXC01005591_1:2640-3281       -            214 20182at33634         -            251   3.4e-23   76.0   0.1   2   2   2.8e-14     1e-13   45.0   0.0    89   193    92   196    79   201 0.88 -
QAXC01000034_1:1340475-1341014 -            180 20182at33634         -            251     4e-23   75.8   0.0   1   1   1.4e-23     5e-23   75.4   0.0    27   188     1   170     1   177 0.85 -
QAXC01005650_1:821-1342        -            174 20182at33634         -            251   5.2e-23   75.4   0.5   1   1   3.5e-23   1.2e-22   74.2   0.5    21   178     3   171     2   174 0.86 -
QAXC01000020_1:222035-222619   -            195 20182at33634         -            251   6.7e-23   75.0   0.1   1   1   2.8e-22     1e-21   71.2   0.1    23   189     5   190     2   195 0.77 -
QAXC01000034_1:12481-13116     -            212 20182at33634         -            251   7.9e-23   74.8   1.0   1   1   5.9e-23   2.1e-22   73.4   1.0    21   188     9   190     4   204 0.77 -
QAXC01005591_1:832-1419        -            196 20182at33634         -            251     1e-22   74.4   0.0   1   1   3.5e-23   1.3e-22   74.1   0.0    23   199     1   189     1   196 0.87 -
QAXC01000003_1:2998126-2998668 -            181 20182at33634         -            251   1.3e-22   74.0   0.0   1   1   4.7e-23   1.7e-22   73.7   0.0    28   194     2   180     1   181 0.87 -
QAXC01000034_1:191549-192073   -            175 20182at33634         -            251   1.7e-22   73.7   0.1   1   1   5.9e-23   2.1e-22   73.4   0.1    22   183     1   175     1   175 0.87 -
QAXC01004411_1:267-803         -            179 20182at33634         -            251   1.7e-22   73.7   0.0   1   1   5.3e-23   1.9e-22   73.6   0.0    22   195     5   178     1   179 0.89 -
QAXC01000548_1:273-806         -            178 20182at33634         -            251     2e-22   73.4   0.0   1   1   1.1e-22   4.1e-22   72.5   0.0    27   187     1   177     1   178 0.81 -
QAXC01006275_1:1484-2041       -            186 20182at33634         -            251   1.4e-21   70.7   0.0   1   1   5.4e-22   1.9e-21   70.2   0.0    23   193     1   185     1   186 0.85 -
QAXC01000003_1:2979003-2979563 -            187 20182at33634         -            251   2.5e-21   69.9   0.0   1   2   4.1e-12   1.5e-11   37.9   0.0    27    69     1    43     1    65 0.88 -
QAXC01000003_1:2979003-2979563 -            187 20182at33634         -            251   2.5e-21   69.9   0.0   2   2     8e-10   2.9e-09   30.4   0.0   102   194    90   186    76   187 0.87 -
QAXC01002577_1:65-688          -            208 20182at33634         -            251     4e-21   69.2   0.2   1   1   2.2e-21   7.9e-21   68.3   0.2    24   196    27   208    21   208 0.82 -
QAXC01001077_1:407-964         -            186 20182at33634         -            251   4.6e-21   69.0   0.0   1   1   2.6e-21   9.2e-21   68.0   0.0    23   193     1   185     1   186 0.85 -
QAXC01004405_1:1957-2484       -            176 20182at33634         -            251   4.8e-21   69.0   0.0   1   1   1.5e-21   5.4e-21   68.8   0.0    26   193     1   176     1   176 0.92 -
QAXC01002535_1:709-1260        -            184 20182at33634         -            251   1.6e-20   67.2   0.2   1   1   6.2e-20   2.2e-19   63.5   0.2    23   195     1   184     1   184 0.80 -
QAXC01005057_1:457-1164        -            236 20182at33634         -            251   3.1e-20   66.3   0.0   1   1     2e-20   7.2e-20   65.1   0.0    24   189     1   181     1   204 0.83 -
QAXC01003058_1:243-938         -            232 20182at33634         -            251   3.8e-20   66.0   0.0   1   1   1.7e-20   6.2e-20   65.3   0.0    27   197     1   186     1   205 0.84 -
QAXC01000004_1:866972-867514   -            181 20182at33634         -            251   1.3e-18   61.0   0.0   1   1   4.6e-19   1.6e-18   60.6   0.0    26   194     1   180     1   181 0.82 -
QAXC01005334_1:924-1496        -            191 20182at33634         -            251   2.5e-18   60.0   0.0   1   1   3.5e-18   1.3e-17   57.7   0.0    27   194     1   183     1   191 0.81 -
QAXC01000004_1:501556-502101   -            182 20182at33634         -            251   2.9e-18   59.8   0.1   1   1   1.7e-18     6e-18   58.8   0.1    25   186     3   180     1   182 0.79 -
QAXC01000720_1:160-693         -            178 20182at33634         -            251   3.9e-18   59.4   1.1   1   1   1.1e-17   3.9e-17   56.1   1.1    27   155     1   140     1   148 0.78 -
QAXC01000012_1:54238-54801     -            188 20182at33634         -            251   6.6e-18   58.7   1.7   1   1   3.4e-18   1.2e-17   57.8   1.7    23   194     1   188     1   188 0.74 -
QAXC01006062_1:2527-3096       -            190 20182at33634         -            251   7.9e-18   58.4   0.4   1   1   5.4e-18   1.9e-17   57.1   0.4    24   188     1   182     1   190 0.81 -
QAXC01003856_1:143-742         -            200 20182at33634         -            251   8.5e-18   58.3   0.1   1   1   1.3e-17   4.7e-17   55.9   0.1    28   203     1   190     1   198 0.78 -
QAXC01000012_1:53460-54065     -            202 20182at33634         -            251   1.1e-17   58.0   0.0   1   1   5.3e-18   1.9e-17   57.2   0.0    26   193     1   184     1   194 0.81 -
QAXC01000003_1:1373002-1382805 -            189 20182at33634         -            251   2.1e-17   57.0   0.0   1   1     2e-17   7.2e-17   55.3   0.0    25   199     2   178     1   188 0.83 -
QAXC01000031_1:1036638-1050544 -            219 20182at33634         -            251   2.4e-17   56.8   1.1   1   1     6e-17   2.1e-16   53.7   1.1    26   202     1   211     1   219 0.71 -
QAXC01003667_1:6450-7100       -            217 20182at33634         -            251   4.9e-17   55.8   0.2   1   1   2.5e-17   8.9e-17   55.0   0.2    23   193     1   185     1   203 0.82 -
QAXC01004022_1:1126-1644       -            173 20182at33634         -            251   1.5e-16   54.2   0.1   1   1   7.1e-17   2.5e-16   53.5   0.1    26   169     1   166     1   173 0.80 -
QAXC01000031_1:1311336-1311923 -            196 20182at33634         -            251   2.2e-16   53.7   0.1   1   1   3.3e-16   1.2e-15   51.3   0.1    27   197     1   196     1   196 0.77 -
QAXC01005747_1:1278-1832       -            185 20182at33634         -            251   6.3e-16   52.2   4.0   1   1   1.8e-15   6.6e-15   48.8   4.0    23   193     1   185     1   185 0.77 -
QAXC01002133_1:1761-2315       -            185 20182at33634         -            251     1e-15   51.5   1.4   1   1   4.4e-16   1.6e-15   50.9   1.4    26   188     1   176     1   185 0.80 -
QAXC01004897_1:1382-1948       -            189 20182at33634         -            251   1.2e-15   51.3   3.4   1   1   2.4e-15   8.7e-15   48.5   3.4    22   188     8   189     3   189 0.78 -
QAXC01005459_1:3216-3749       -            178 20182at33634         -            251     2e-15   50.5   0.5   1   1   1.5e-15   5.6e-15   49.1   0.5    24   188     1   178     1   178 0.82 -
QAXC01000031_1:1019746-1020267 -            174 20182at33634         -            251   2.4e-15   50.3   0.0   1   1   1.4e-15   4.9e-15   49.3   0.0    27   183     1   168     1   173 0.79 -
QAXC01000172_1:403-951         -            183 20182at33634         -            251   7.5e-15   48.7   1.3   1   1   1.6e-14   5.9e-14   45.7   1.3    26   195     1   183     1   183 0.70 -
QAXC01000004_1:1229717-1230274 -            186 20182at33634         -            251   8.6e-15   48.5   0.7   1   2   1.7e-05     6e-05   16.2   0.2    27    80     1    56     1    64 0.78 -
QAXC01000004_1:1229717-1230274 -            186 20182at33634         -            251   8.6e-15   48.5   0.7   2   2   4.6e-10   1.7e-09   31.2   0.0    89   192    82   185    67   186 0.83 -
QAXC01000034_1:26514-27164     -            217 20182at33634         -            251   6.2e-14   45.7   0.0   1   1   2.2e-14     8e-14   45.3   0.0    26   180     1   159     1   197 0.80 -
