#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
BDSP01000111_1:717038-718501 -            488 5964at33634          -            424  5.5e-114  376.7  37.5   1   3   5.6e-24   7.2e-22   73.2   4.6     5    59     1    66     1    75 0.84 -
BDSP01000111_1:717038-718501 -            488 5964at33634          -            424  5.5e-114  376.7  37.5   2   3   2.1e-25   2.7e-23   77.9   0.7    65   137    99   176    90   178 0.87 -
BDSP01000111_1:717038-718501 -            488 5964at33634          -            424  5.5e-114  376.7  37.5   3   3   6.4e-72   8.2e-70  231.2  17.5   131   412   186   487   181   488 0.85 -
BDSP01000223_1:389207-390670 -            488 5964at33634          -            424  5.3e-113  373.5  34.5   1   3   3.9e-23     5e-21   70.5   5.1     5    59     1    66     1    75 0.84 -
BDSP01000223_1:389207-390670 -            488 5964at33634          -            424  5.3e-113  373.5  34.5   2   3   1.2e-25   1.6e-23   78.7   0.7    64   136    98   175    85   179 0.90 -
BDSP01000223_1:389207-390670 -            488 5964at33634          -            424  5.3e-113  373.5  34.5   3   3   1.7e-71   2.1e-69  229.8  14.0   130   412   185   487   180   488 0.84 -
BDSP01000124_1:87223-88638   -            472 5964at33634          -            424   6.3e-31  103.1  30.5   1   1   1.9e-32   2.4e-30  101.2  30.5    23   413     1   459     1   467 0.67 -
BDSP01000083_1:22454-23827   -            458 5964at33634          -            424     4e-29   97.2  31.2   1   1   9.3e-31   1.2e-28   95.6  31.2    23   392     1   429     1   458 0.72 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/5964at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Fistulifera_solaris_Fsol_1.0/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_002217885.1_Fsol_1.0_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Fistulifera_solaris_Fsol_1.0/run_stramenopiles_odb10/hmmer_output/initial_run_results/5964at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/5964at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Fistulifera_solaris_Fsol_1.0/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_002217885.1_Fsol_1.0_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Thu Apr 15 16:14:24 2021
# [ok]
