#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold374_size175640:135753-136580  -            276 13476at33634         -            208   1.1e-95  313.2   1.4   1   2       1.5        47   -2.5   0.0     1    11     1    11     1    14 0.91 -
scaffold374_size175640:135753-136580  -            276 13476at33634         -            208   1.1e-95  313.2   1.4   2   2   5.4e-97   1.8e-95  312.5   0.8    11   187    29   215    23   251 0.88 -
scaffold110_size358811:285662-286381  -            240 13476at33634         -            208   1.6e-37  123.2   4.0   1   2   5.6e-17   1.8e-15   51.1   2.1    10    63     4    66     1    71 0.82 -
scaffold110_size358811:285662-286381  -            240 13476at33634         -            208   1.6e-37  123.2   4.0   2   2   2.3e-23   7.6e-22   72.0   0.0    86   186   114   220   107   232 0.89 -
scaffold293_size145403:50879-51397    -            173 13476at33634         -            208   5.8e-28   92.0   0.3   1   1     2e-29   6.4e-28   91.8   0.3    13   175     1   173     1   173 0.91 -
scaffold135_size786999:170356-171329  -            288 13476at33634         -            208   9.8e-23   74.9   0.2   1   1     4e-24   1.3e-22   74.5   0.2    18   184    88   258    68   273 0.90 -
scaffold34_size735826:215730-216510   -            186 13476at33634         -            208     6e-14   46.2   0.1   1   1   2.4e-15   7.8e-14   45.8   0.1    52   191    34   178    14   183 0.90 -
scaffold5_size2025720:1062595-1082688 -            208 13476at33634         -            208   5.6e-10   33.2   0.0   1   2       0.1       3.3    1.3   0.0    16    61    42    87    32    95 0.87 -
scaffold5_size2025720:1062595-1082688 -            208 13476at33634         -            208   5.6e-10   33.2   0.0   2   2   1.9e-10   6.1e-09   29.8   0.0    91   190    99   197    87   205 0.88 -
scaffold77_size996369:335728-336282   -            185 13476at33634         -            208   1.3e-05   19.0   0.0   1   2    0.0081      0.26    4.9   0.0    18    68    12    63     2    86 0.91 -
scaffold77_size996369:335728-336282   -            185 13476at33634         -            208   1.3e-05   19.0   0.0   2   2   4.2e-05    0.0014   12.3   0.0   126   169   140   183   119   185 0.82 -
scaffold428_size119395:103818-104633  -            272 13476at33634         -            208   2.6e-05   18.0   2.0   1   2       1.1        37   -2.1   0.0    17    33    36    52    24    62 0.76 -
scaffold428_size119395:103818-104633  -            272 13476at33634         -            208   2.6e-05   18.0   2.0   2   2   1.3e-06   4.3e-05   17.2   0.5    33   155    82   212    64   245 0.78 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/13476at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Cyclotella_cryptica_ASM1318728v1/run_stramenopiles_odb10/metaeuk_output/initial_results/Cyclotella_cryptica.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Cyclotella_cryptica_ASM1318728v1/run_stramenopiles_odb10/hmmer_output/initial_run_results/13476at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/13476at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Cyclotella_cryptica_ASM1318728v1/run_stramenopiles_odb10/metaeuk_output/initial_results/Cyclotella_cryptica.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 11:59:42 2021
# [ok]
