ThiC	WKLE02001293_1	83.531	589	90	3	32	618	18349	20100	0.0	1010
Thi5	WKLE02001615_1	26.190	252	165	8	5	244	3635	2907	1.14e-10	63.9
Thi5-like	WKLE02001615_1	66.374	342	98	5	134	464	3710	2703	3.14e-143	453
SSSP	WKLE02006786_1	68.191	481	147	3	1	475	29	1471	0.0	604
TH1	WKLE02000418_1	59.966	587	219	7	4	579	54564	56309	0.0	657
THIO	WKLE02001329_1	59.195	696	260	10	85	772	14342	12303	0.0	788
THIS	WKLE02006814_1	60.417	48	19	0	1	48	144	1	8.95e-13	61.6
THIF	WKLE02000418_1	47.859	397	156	3	109	454	50682	49492	1.83e-110	350
DXS	WKLE02003169_1	77.460	559	76	2	52	561	6921	8594	0.0	893
THIG	WKLE02006732_1	85.714	266	38	0	4	269	871	1668	4.26e-147	456
TPK1	WKLE02000689_1	51.838	272	90	7	19	249	34402	35217	4.43e-77	254
FOLR	WKLE02000797_1	30.769	52	33	1	51	99	3421	3266	4.5	30.0
Thi4	WKLE02002459_1	35.294	51	33	0	85	135	5399	5247	0.51	33.5
ThiM	WKLE02004789_1	29.231	65	40	2	16	80	19202	19026	9.1	28.9
TENA	WKLE02001215_1	74.336	113	29	0	40	152	4520	4858	6.02e-87	185
