#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_4561:13608-14984 -            421 8842at33634          -            343  3.3e-182  599.1   7.7   1   2   1.7e-17   1.7e-16   54.2   1.6     1    55     6    68     6    71 0.91 -
scaffold_4561:13608-14984 -            421 8842at33634          -            343  3.3e-182  599.1   7.7   2   2    7e-168  7.1e-167  548.6   0.5    55   339    96   407    89   415 0.93 -
scaffold_4845:16306-17247 -            314 8842at33634          -            343     1e-87  288.4   0.2   1   1   1.1e-88   1.1e-87  288.2   0.2    83   341    33   302     1   308 0.87 -
scaffold_8474:572-1627    -            299 8842at33634          -            343   7.2e-86  282.3   0.1   1   1   9.1e-87   9.2e-86  281.9   0.1    79   340    13   290     4   293 0.91 -
scaffold_9560:2580-3601   -            304 8842at33634          -            343   3.2e-83  273.6   0.6   1   1   4.1e-84   4.1e-83  273.2   0.6    77   338    15   296     6   300 0.88 -
scaffold_6181:10620-11688 -            315 8842at33634          -            343   1.7e-81  267.8   0.1   1   1   2.2e-82   2.2e-81  267.5   0.1    73   329    22   287    12   301 0.92 -
scaffold_4199:15754-16449 -            232 8842at33634          -            343     3e-57  188.2   0.1   1   1   3.5e-58   3.6e-57  187.9   0.1   114   328     1   223     1   231 0.89 -
scaffold_3803:42805-43644 -            280 8842at33634          -            343   4.8e-51  167.7   0.0   1   1   6.1e-52   6.1e-51  167.4   0.0   105   327    16   248     5   258 0.87 -
scaffold_3791:54993-55771 -            228 8842at33634          -            343   6.6e-50  164.0   0.0   1   1   7.3e-51   7.3e-50  163.9   0.0   113   323     9   228     1   228 0.86 -
scaffold_4681:15508-16521 -            338 8842at33634          -            343   1.7e-49  162.6   0.3   1   1   2.1e-50   2.1e-49  162.3   0.3   102   328    95   333    62   336 0.87 -
scaffold_4681:16727-17511 -            227 8842at33634          -            343   1.9e-48  159.2   0.0   1   1   2.1e-49   2.1e-48  159.1   0.0   110   327     3   227     1   227 0.90 -
scaffold_4172:34165-34860 -            232 8842at33634          -            343   7.9e-46  150.6   0.1   1   1   8.3e-47   8.3e-46  150.5   0.1   115   324     2   218     1   232 0.85 -
scaffold_4021:38094-38762 -            223 8842at33634          -            343   3.4e-45  148.5   0.0   1   1   3.7e-46   3.8e-45  148.4   0.0   114   327     1   222     1   223 0.88 -
scaffold_6968:3480-4311   -            239 8842at33634          -            343   2.3e-44  145.8   0.0   1   1   2.6e-45   2.6e-44  145.6   0.0   109   328     1   239     1   239 0.87 -
scaffold_3780:63019-64089 -            357 8842at33634          -            343   6.8e-41  134.4   0.6   1   2   1.4e-15   1.4e-14   47.9   0.0   112   170     2    62     1   110 0.78 -
scaffold_3780:63019-64089 -            357 8842at33634          -            343   6.8e-41  134.4   0.6   2   2   5.1e-26   5.1e-25   82.2   0.3   205   328   179   340   172   357 0.72 -
scaffold_9387:3336-4007   -            224 8842at33634          -            343   2.6e-39  129.2   0.7   1   2   9.7e-40   9.7e-39  127.3   0.2   154   316     1   170     1   182 0.85 -
scaffold_9387:3336-4007   -            224 8842at33634          -            343   2.6e-39  129.2   0.7   2   2       0.3         3    0.7   0.0   302   330   178   206   173   212 0.88 -
scaffold_10312:4467-5084  -            206 8842at33634          -            343   3.6e-36  118.8   0.2   1   1   4.3e-37   4.3e-36  118.6   0.2   158   336     1   194     1   199 0.86 -
scaffold_10313:4467-5084  -            206 8842at33634          -            343   3.6e-36  118.8   0.2   1   1   4.3e-37   4.3e-36  118.6   0.2   158   336     1   194     1   199 0.86 -
scaffold_5288:2533-3463   -            278 8842at33634          -            343     4e-34  112.1   0.0   1   2   9.4e-17   9.4e-16   51.7   0.0   113   201     4    93     1   100 0.94 -
scaffold_5288:2533-3463   -            278 8842at33634          -            343     4e-34  112.1   0.0   2   2   1.9e-18   1.9e-17   57.3   0.0   204   330   119   272   113   277 0.77 -
scaffold_4996:8585-9446   -            260 8842at33634          -            343   2.1e-31  103.2   0.1   1   1   3.7e-32   3.7e-31  102.4   0.1   140   340    27   252     1   255 0.74 -
scaffold_5883:12334-13091 -            216 8842at33634          -            343   1.8e-28   93.6   0.0   1   1   2.1e-29   2.1e-28   93.3   0.0   146   333     1   197     1   206 0.80 -
scaffold_11785:1779-2658  -            260 8842at33634          -            343   6.3e-27   88.4   1.0   1   1   2.3e-26   2.3e-25   83.3   1.0   138   292    89   260    71   260 0.81 -
scaffold_9560:5973-6852   -            260 8842at33634          -            343   6.3e-27   88.4   1.0   1   1   2.3e-26   2.3e-25   83.3   1.0   138   292    89   260    71   260 0.81 -
scaffold_5193:11546-12229 -            228 8842at33634          -            343   5.6e-25   82.1   0.2   1   1   8.1e-26   8.1e-25   81.5   0.2   156   329     1   196     1   210 0.81 -
scaffold_4349:1859-2566   -            236 8842at33634          -            343   5.2e-22   72.3   0.1   1   2   1.6e-22   1.6e-21   70.6   0.0   144   299     2   181     1   193 0.75 -
scaffold_4349:1859-2566   -            236 8842at33634          -            343   5.2e-22   72.3   0.1   2   2       1.2        12   -1.3   0.0   300   324   208   232   199   236 0.76 -
scaffold_6536:4227-5075   -            283 8842at33634          -            343   9.9e-19   61.5   0.0   1   1   1.3e-19   1.3e-18   61.1   0.0   147   286    27   186    16   213 0.77 -
scaffold_6866:11908-12567 -            220 8842at33634          -            343   2.8e-17   56.7   0.0   1   1   3.1e-18   3.1e-17   56.6   0.0   109   201   122   220    42   220 0.80 -
scaffold_4994:3403-3957   -            185 8842at33634          -            343   2.6e-05   17.4   0.1   1   2   5.4e-06   5.4e-05   16.3   0.0   148   197    14    63     6    79 0.85 -
