#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QAXC01000032_1:111275-112858   -            528 674169at2759         -            271   3.2e-05   18.4   3.8   1   3     0.003     0.058    7.7   0.1    36    57    31    52    27    63 0.89 -
QAXC01000032_1:111275-112858   -            528 674169at2759         -            271   3.2e-05   18.4   3.8   2   3   0.00056     0.011   10.1   0.1   100   172   201   266   175   291 0.83 -
QAXC01000032_1:111275-112858   -            528 674169at2759         -            271   3.2e-05   18.4   3.8   3   3      0.89        17   -0.4   0.1    36    56   357   377   352   382 0.86 -
QAXC01000035_1:568035-568616   -            194 674169at2759         -            271   0.00016   16.2   0.1   1   2   6.2e-05    0.0012   13.2   0.0    32    54    12    34     8    41 0.86 -
QAXC01000035_1:568035-568616   -            194 674169at2759         -            271   0.00016   16.2   0.1   2   2       0.4       7.8    0.7   0.0    47    92   136   184   102   189 0.62 -
QAXC01002919_1:867-1454        -            196 674169at2759         -            271   0.00026   15.4   0.1   1   1   2.5e-05   0.00049   14.5   0.1    32    52    11    31     7    39 0.88 -
QAXC01006590_1:181-810         -            210 674169at2759         -            271   0.00028   15.3   0.0   1   1   2.3e-05   0.00044   14.7   0.0    32    52    25    45    15    52 0.89 -
QAXC01004309_1:285-920         -            212 674169at2759         -            271   0.00031   15.2   0.0   1   1     3e-05   0.00059   14.3   0.0    32    52    27    47    17    52 0.91 -
QAXC01000003_1:2472819-2474381 -            521 674169at2759         -            271   0.00039   14.9   0.4   1   2    0.0018     0.035    8.5   0.0    36    56    31    51    28    56 0.90 -
QAXC01000003_1:2472819-2474381 -            521 674169at2759         -            271   0.00039   14.9   0.4   2   2     0.053         1    3.6   0.1    35    63   347   377   343   386 0.77 -
QAXC01005326_1:1405-1656       -             84 674169at2759         -            271    0.0004   14.8   0.1   1   1   2.6e-05   0.00052   14.5   0.1    33    52    13    32     7    39 0.87 -
QAXC01000034_1:1644127-1644735 -            203 674169at2759         -            271    0.0011   13.3   0.0   1   2   0.00021    0.0041   11.5   0.0    29    60     1    32     1    38 0.90 -
QAXC01000034_1:1644127-1644735 -            203 674169at2759         -            271    0.0011   13.3   0.0   2   2       1.5        29   -1.1   0.0   197   213   176   192   173   195 0.84 -
QAXC01000004_1:467440-468297   -            286 674169at2759         -            271    0.0013   13.1   0.1   1   1   0.00022    0.0043   11.4   0.1    33    61   123   151   117   158 0.88 -
QAXC01000034_1:330545-331180   -            212 674169at2759         -            271    0.0014   13.1   0.0   1   1   0.00015    0.0029   12.0   0.0    16    51     9    45     7    48 0.81 -
QAXC01005128_1:682-1311        -            210 674169at2759         -            271    0.0015   12.9   0.0   1   1   0.00012    0.0024   12.2   0.0    33    52    26    45    21    52 0.88 -
QAXC01006247_1:3182-3763       -            194 674169at2759         -            271    0.0016   12.9   0.0   1   1   0.00012    0.0024   12.3   0.0    32    53    14    35    10    74 0.91 -
QAXC01000003_1:647425-648663   -            413 674169at2759         -            271    0.0016   12.9   0.0   1   1   0.00013    0.0025   12.2   0.0    32    56   164   188   143   212 0.84 -
QAXC01006400_1:2441-3073       -            211 674169at2759         -            271    0.0016   12.8   0.0   1   1   0.00012    0.0024   12.2   0.0    33    52    26    45    21    51 0.87 -
QAXC01005794_1:1466-2080       -            205 674169at2759         -            271    0.0018   12.7   0.0   1   2   0.00025    0.0049   11.2   0.0    32    52    20    40    15    46 0.89 -
QAXC01005794_1:1466-2080       -            205 674169at2759         -            271    0.0018   12.7   0.0   2   2       5.7   1.1e+02   -3.0   0.0   104   134    62    92    60   110 0.69 -
QAXC01001880_1:196-840         -            215 674169at2759         -            271    0.0018   12.7   0.0   1   1   0.00013    0.0026   12.2   0.0    33    52    30    49    14    64 0.81 -
QAXC01001701_1:412-1035        -            208 674169at2759         -            271     0.002   12.5   0.0   1   2   0.00029    0.0057   11.0   0.0    32    52    33    53     6    58 0.80 -
QAXC01001701_1:412-1035        -            208 674169at2759         -            271     0.002   12.5   0.0   2   2       3.6        71   -2.4   0.0   218   240   116   138   113   143 0.82 -
QAXC01006024_1:2014-2646       -            211 674169at2759         -            271    0.0024   12.3   0.1   1   1   0.00021    0.0041   11.5   0.1    32    51    26    45    22    47 0.91 -
QAXC01003094_1:2149-2757       -            203 674169at2759         -            271    0.0024   12.3   0.0   1   1   0.00019    0.0037   11.7   0.0    34    52    19    37     6    44 0.82 -
QAXC01006339_1:3440-4546       -            369 674169at2759         -            271    0.0028   12.1   0.1   1   1   0.00026    0.0051   11.2   0.1    32    55   132   155   129   163 0.87 -
QAXC01006460_1:827-1414        -            196 674169at2759         -            271     0.003   12.0   0.1   1   1   0.00024    0.0048   11.3   0.1    30    52    12    34     8    41 0.85 -
QAXC01000035_1:939460-940569   -            370 674169at2759         -            271     0.003   11.9   0.0   1   1   0.00033    0.0064   10.9   0.0    32    50   133   151   105   169 0.81 -
QAXC01004691_1:839-1420        -            194 674169at2759         -            271    0.0033   11.8   0.0   1   1   0.00022    0.0044   11.4   0.0    34    67    40    73    35   105 0.85 -
QAXC01003089_1:975-1610        -            212 674169at2759         -            271    0.0037   11.6   0.0   1   1   0.00032    0.0063   10.9   0.0    35    52    15    32    10    36 0.88 -
QAXC01000004_1:706403-707041   -            213 674169at2759         -            271    0.0038   11.6   0.1   1   1   0.00029    0.0057   11.0   0.1    34    51    28    45    15    49 0.89 -
QAXC01000002_1:722779-723888   -            370 674169at2759         -            271    0.0042   11.5   0.1   1   1   0.00039    0.0076   10.6   0.1    32    50   133   151   127   167 0.82 -
QAXC01005892_1:226-876         -            217 674169at2759         -            271    0.0048   11.3   0.0   1   1   0.00039    0.0077   10.6   0.0    32    55    27    50    15    54 0.89 -
QAXC01000011_1:301032-302189   -            386 674169at2759         -            271    0.0061   10.9   0.1   1   1   0.00058     0.011   10.0   0.1    32    50   143   161   140   171 0.85 -
QAXC01000004_1:741824-742429   -            202 674169at2759         -            271    0.0061   10.9   0.0   1   1   0.00055     0.011   10.1   0.0    33    51    17    35    13    59 0.89 -
QAXC01000034_1:198627-199238   -            204 674169at2759         -            271    0.0063   10.9   0.0   1   1   0.00048    0.0093   10.3   0.0    34    61    41    68    39    77 0.88 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
