#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
AGNL01001090_1:10812-12881 -            690 325552at2759         -            426   3.9e-65  217.4   0.1   1   3   1.4e-53   4.8e-52  174.3   0.0    30   292    93   401    89   434 0.78 -
AGNL01001090_1:10812-12881 -            690 325552at2759         -            426   3.9e-65  217.4   0.1   2   3      0.05       1.7    4.4   0.0   342   370   560   588   546   593 0.81 -
AGNL01001090_1:10812-12881 -            690 325552at2759         -            426   3.9e-65  217.4   0.1   3   3   5.1e-10   1.8e-08   30.7   0.1   154   234   603   690   598   690 0.83 -
AGNL01004554_1:2013-2975   -            321 325552at2759         -            426   4.9e-36  121.5   6.5   1   4       0.5        17    1.1   0.0   216   233     2    19     1    27 0.77 -
AGNL01004554_1:2013-2975   -            321 325552at2759         -            426   4.9e-36  121.5   6.5   2   4   4.4e-13   1.5e-11   40.8   0.1   152   247    22   122    15   123 0.87 -
AGNL01004554_1:2013-2975   -            321 325552at2759         -            426   4.9e-36  121.5   6.5   3   4   6.4e-08   2.2e-06   23.8   0.1   167   229    84   145    80   155 0.92 -
AGNL01004554_1:2013-2975   -            321 325552at2759         -            426   4.9e-36  121.5   6.5   4   4   4.3e-23   1.5e-21   73.8   0.2   130   226   218   321   212   321 0.85 -
AGNL01016766_1:6217-8342   -            700 325552at2759         -            426   6.7e-30  101.3   6.6   1   7     5e-07   1.7e-05   20.9   0.0   169   233    27    88    22   106 0.88 -
AGNL01016766_1:6217-8342   -            700 325552at2759         -            426   6.7e-30  101.3   6.6   2   7       2.2        78   -1.0   0.0   211   226   122   137   115   150 0.69 -
AGNL01016766_1:6217-8342   -            700 325552at2759         -            426   6.7e-30  101.3   6.6   3   7     0.014      0.51    6.2   0.0   153   187   189   224   165   233 0.77 -
AGNL01016766_1:6217-8342   -            700 325552at2759         -            426   6.7e-30  101.3   6.6   4   7      0.28       9.7    1.9   0.0   190   228   351   388   342   400 0.82 -
AGNL01016766_1:6217-8342   -            700 325552at2759         -            426   6.7e-30  101.3   6.6   5   7   3.6e-07   1.2e-05   21.3   0.0   154   228   404   481   397   488 0.82 -
AGNL01016766_1:6217-8342   -            700 325552at2759         -            426   6.7e-30  101.3   6.6   6   7     8e-07   2.8e-05   20.2   0.0   155   226   499   574   492   588 0.86 -
AGNL01016766_1:6217-8342   -            700 325552at2759         -            426   6.7e-30  101.3   6.6   7   7   5.8e-09     2e-07   27.2   0.0   156   230   588   662   581   666 0.94 -
AGNL01002964_1:952-1794    -            281 325552at2759         -            426   2.4e-27   92.9   0.6   1   4      0.15       5.3    2.8   0.0   381   399     3    21     1    33 0.61 -
