# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	NKIB01001845_1	17688	24310	-	1696.7	1251
83779at2759	Complete	NKIB01002172_1	102748	104046	+	192.5	251
87842at2759	Complete	NKIB01012309_1	3441	7028	-	198.6	521
97116at2759	Complete	NKIB01015409_1	10811	14942	+	710.6	889
100698at2759	Complete	NKIB01012322_1	879	3152	+	699.8	502
142542at2759	Missing
156083at2759	Complete	NKIB01001224_1	14437	21885	+	3420.7	1924
160593at2759	Complete	NKIB01002048_1	16953	21676	-	1014.0	975
166920at2759	Complete	NKIB01012145_1	47277	51296	-	469.6	794
176625at2759	Complete	NKIB01003473_1	6805	10810	-	159.9	290
179362at2759	Complete	NKIB01003086_1	3812	8785	-	553.7	1025
245208at2759	Complete	NKIB01012340_1	18	3977	+	1375.0	861
257318at2759	Complete	NKIB01012745_1	33809	36142	+	228.6	324
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Duplicated	NKIB01008792_1	7848	10772	-	588.1	550
290630at2759	Duplicated	NKIB01015265_1	33585	36509	-	588.1	550
293315at2759	Complete	NKIB01002942_1	8436	13026	+	578.9	604
296129at2759	Complete	NKIB01013514_1	927	4298	+	868.4	735
299766at2759	Complete	NKIB01015014_1	6885	10787	+	333.4	420
306227at2759	Complete	NKIB01006175_1	7839	10042	+	434.8	506
320059at2759	Complete	NKIB01003091_1	5008	6624	-	817.2	451
324863at2759	Complete	NKIB01013830_1	42496	45354	-	495.3	523
325552at2759	Missing
330169at2759	Complete	NKIB01001524_1	3224	4720	+	252.2	317
331411at2759	Missing
341721at2759	Fragmented	NKIB01003982_1	2544	4365	-	132.9	279
345441at2759	Complete	NKIB01013981_1	9844	11526	-	330.5	344
355408at2759	Complete	NKIB01014928_1	2249	4303	+	615.1	548
369837at2759	Complete	NKIB01007164_1	1673	3883	+	233.2	322
375960at2759	Complete	NKIB01005067_1	11944	13610	+	257.0	338
383503at2759	Fragmented	NKIB01014125_1	40518	42269	-	221.5	210
388820at2759	Complete	NKIB01007262_1	26326	29838	-	386.8	562
390348at2759	Complete	NKIB01002757_1	10314	13700	-	1103.0	716
392369at2759	Complete	NKIB01007554_1	2089	3775	-	375.4	351
396755at2759	Complete	NKIB01010808_1	5338	9303	-	195.8	544
418107at2759	Complete	NKIB01002307_1	13293	14654	-	390.0	391
426305at2759	Complete	NKIB01010730_1	515	2944	+	301.7	469
450058at2759	Missing
453044at2759	Complete	NKIB01000458_1	22379	23881	-	233.7	283
457861at2759	Missing
464990at2759	Missing
491869at2759	Complete	NKIB01005791_1	12186	13835	-	190.4	241
513979at2759	Complete	NKIB01005159_1	6330	8349	-	158.6	223
543764at2759	Complete	NKIB01000108_1	5125	6555	+	184.8	206
549762at2759	Complete	NKIB01005024_1	5862	7625	-	431.5	361
551907at2759	Complete	NKIB01013392_1	18863	21031	+	206.9	319
570797at2759	Complete	NKIB01002588_1	13420	15324	-	420.2	469
582756at2759	Complete	NKIB01012611_1	4509	5705	-	180.4	317
598949at2759	Complete	NKIB01004444_1	1369	5133	-	289.3	376
604979at2759	Complete	NKIB01006949_1	886	2304	+	367.4	258
621827at2759	Missing
625387at2759	Complete	NKIB01002913_1	1580	6425	+	130.0	345
655400at2759	Complete	NKIB01005972_1	7311	8699	-	186.4	292
664730at2759	Complete	NKIB01002245_1	10443	11809	+	586.1	344
671536at2759	Complete	NKIB01001578_1	4637	6250	+	427.5	364
671846at2759	Complete	NKIB01002805_1	1612	4002	+	53.2	323
673132at2759	Complete	NKIB01012851_1	25486	26889	+	251.3	293
674160at2759	Complete	NKIB01000422_1	18809	27743	-	315.7	895
674169at2759	Complete	NKIB01015257_1	18397	19783	-	123.0	182
679187at2759	Missing
679771at2759	Complete	NKIB01012407_1	125	664	+	72.5	127
687505at2759	Complete	NKIB01012347_1	68945	70047	+	143.4	253
692986at2759	Complete	NKIB01007841_1	4154	6523	-	112.7	319
708105at2759	Complete	NKIB01000926_1	6759	8183	+	68.0	156
719531at2759	Duplicated	NKIB01002410_1	6901	8260	-	346.3	282
719531at2759	Duplicated	NKIB01012042_1	288	1647	+	346.3	282
720340at2759	Complete	NKIB01014304_1	7969	9381	-	77.1	166
721605at2759	Complete	NKIB01001866_1	325	1547	-	191.7	218
722805at2759	Missing
734341at2759	Complete	NKIB01014093_1	33074	33979	+	85.7	147
734666at2759	Complete	NKIB01001584_1	25421	26805	-	236.2	314
736068at2759	Complete	NKIB01000823_1	29152	30384	-	189.6	314
751335at2759	Duplicated	NKIB01008766_1	4950	6601	+	117.6	195
751335at2759	Duplicated	NKIB01013562_1	0	1614	+	113.0	268
759498at2759	Complete	NKIB01000722_1	18234	20660	+	453.2	492
761109at2759	Complete	NKIB01010176_1	87166	88890	-	341.8	377
768809at2759	Complete	NKIB01001968_1	9767	11149	-	204.5	216
774318at2759	Complete	NKIB01000545_1	13750	14949	+	269.9	295
777920at2759	Complete	NKIB01004796_1	7467	9527	+	329.5	338
779909at2759	Complete	NKIB01009591_1	80589	81622	-	195.3	196
801857at2759	Complete	NKIB01001709_1	15244	16485	+	163.3	177
814241at2759	Duplicated	NKIB01007900_1	10329	11855	-	207.3	315
814241at2759	Duplicated	NKIB01014447_1	1403	2929	-	207.3	315
817008at2759	Complete	NKIB01010610_1	3125	5150	-	407.9	285
834694at2759	Complete	NKIB01011285_1	2766	4258	+	367.7	307
836599at2759	Complete	NKIB01012791_1	3864	5443	-	317.5	266
844748at2759	Complete	NKIB01015315_1	22519	23994	+	80.0	267
855834at2759	Complete	NKIB01012703_1	2273	4486	-	114.0	236
858842at2759	Complete	NKIB01013530_1	4404	5615	+	195.0	249
865202at2759	Complete	NKIB01013818_1	21565	22425	+	193.3	204
866359at2759	Complete	NKIB01013564_1	2247	3363	-	295.6	223
869548at2759	Complete	NKIB01013264_1	46064	46792	+	185.1	183
878143at2759	Complete	NKIB01005429_1	8042	9481	+	356.4	349
887370at2759	Fragmented	NKIB01003101_1	10918	12357	+	69.8	126
891751at2759	Complete	NKIB01014093_1	20560	22146	+	213.7	225
898782at2759	Complete	NKIB01012799_1	59075	60757	-	230.9	288
901894at2759	Complete	NKIB01013380_1	20041	21723	-	138.3	288
905026at2759	Complete	NKIB01015278_1	7742	10002	+	227.0	362
911863at2759	Fragmented	NKIB01001986_1	11485	22555	-	16.3	49
917326at2759	Complete	NKIB01014332_1	24112	26180	-	316.4	359
918816at2759	Complete	NKIB01004329_1	14690	15937	-	103.0	178
919955at2759	Complete	NKIB01014690_1	28790	30007	-	141.7	230
923657at2759	Fragmented	NKIB01012851_1	14699	15719	-	78.1	123
924753at2759	Complete	NKIB01012562_1	447	2027	+	165.4	212
931188at2759	Complete	NKIB01000316_1	18251	19891	-	351.0	348
937275at2759	Complete	NKIB01014168_1	35101	36240	+	44.0	75
937686at2759	Complete	NKIB01007706_1	10139	11650	-	263.1	331
939345at2759	Complete	NKIB01000920_1	1172	2089	-	77.8	126
944899at2759	Complete	NKIB01004337_1	64	1023	-	344.1	223
