#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold00959:1980-2712     -            224 179362at2759         -            938   5.9e-91  301.1   0.9   1   1   2.5e-92   7.8e-91  300.7   0.9   754   928     6   185     2   190 0.94 -
scaffold01009:1978-2710     -            224 179362at2759         -            938   5.9e-91  301.1   0.9   1   1   2.5e-92   7.8e-91  300.7   0.9   754   928     6   185     2   190 0.94 -
scaffold00071:197668-198354 -            208 179362at2759         -            938     4e-80  265.2   0.2   1   1   1.4e-81   4.4e-80  265.1   0.2     1   182     7   206     7   208 0.91 -
scaffold02300:1074-2645     -            524 179362at2759         -            938     3e-09   30.7  14.9   1   5   0.00052     0.016    8.4   0.0    25   105    31   121    28   127 0.74 -
scaffold02300:1074-2645     -            524 179362at2759         -            938     3e-09   30.7  14.9   2   5   3.1e-05   0.00097   12.4   0.0   864   923   164   216   164   221 0.80 -
scaffold02300:1074-2645     -            524 179362at2759         -            938     3e-09   30.7  14.9   3   5      0.24       7.5   -0.4   1.3   254   302   245   293   235   313 0.41 -
scaffold02300:1074-2645     -            524 179362at2759         -            938     3e-09   30.7  14.9   4   5    0.0063       0.2    4.8   0.3    25    49   348   369   337   376 0.80 -
scaffold02300:1074-2645     -            524 179362at2759         -            938     3e-09   30.7  14.9   5   5   7.6e-05    0.0024   11.1   0.2   867   928   449   503   446   509 0.80 -
scaffold00348:5655-7268     -            538 179362at2759         -            938   3.1e-09   30.6  22.7   1   5     0.018      0.57    3.3   0.0    25    66    33    73    33    85 0.77 -
scaffold00348:5655-7268     -            538 179362at2759         -            938   3.1e-09   30.6  22.7   2   5   6.1e-05    0.0019   11.5   0.0   864   929   160   218   159   223 0.88 -
scaffold00348:5655-7268     -            538 179362at2759         -            938   3.1e-09   30.6  22.7   3   5       1.7        54   -3.3   8.0   564   687   239   298   218   336 0.45 -
scaffold00348:5655-7268     -            538 179362at2759         -            938   3.1e-09   30.6  22.7   4   5    0.0014     0.043    7.0   0.1    25    53   365   389   363   395 0.83 -
scaffold00348:5655-7268     -            538 179362at2759         -            938   3.1e-09   30.6  22.7   5   5   3.2e-07     1e-05   19.0   0.3   877   934   473   521   465   525 0.84 -
scaffold01162:4286-5758     -            491 179362at2759         -            938   3.6e-09   30.4  14.1   1   4   0.00051     0.016    8.4   0.2    25    41    28    44    26    55 0.86 -
scaffold01162:4286-5758     -            491 179362at2759         -            938   3.6e-09   30.4  14.1   2   4     4e-05    0.0012   12.1   0.0   876   931   130   178   118   181 0.85 -
scaffold01162:4286-5758     -            491 179362at2759         -            938   3.6e-09   30.4  14.1   3   4    0.0028     0.087    6.0   1.1    25    53   304   328   303   331 0.80 -
scaffold01162:4286-5758     -            491 179362at2759         -            938   3.6e-09   30.4  14.1   4   4   9.6e-05     0.003   10.8   0.4   864   924   402   455   401   460 0.77 -
scaffold00001:252501-254024 -            508 179362at2759         -            938   1.9e-07   24.7   3.2   1   5    0.0057      0.18    4.9   0.0    25    47    18    36    18    94 0.85 -
scaffold00001:252501-254024 -            508 179362at2759         -            938   1.9e-07   24.7   3.2   2   5      0.02      0.63    3.1   0.1   864   895   152   183   151   189 0.87 -
scaffold00001:252501-254024 -            508 179362at2759         -            938   1.9e-07   24.7   3.2   3   5      0.52        16   -1.6   0.3   227   253   239   265   200   288 0.42 -
scaffold00001:252501-254024 -            508 179362at2759         -            938   1.9e-07   24.7   3.2   4   5     0.024      0.75    2.9   0.0    24    41   349   366   348   371 0.89 -
scaffold00001:252501-254024 -            508 179362at2759         -            938   1.9e-07   24.7   3.2   5   5   0.00014    0.0046   10.2   0.0   864   922   454   508   453   508 0.78 -
scaffold00097:78121-79746   -            542 179362at2759         -            938   6.2e-07   23.0   5.6   1   5      0.98        31   -2.5   0.0    26    50    26    50    25    79 0.72 -
scaffold00097:78121-79746   -            542 179362at2759         -            938   6.2e-07   23.0   5.6   2   5   4.4e-05    0.0014   11.9   0.2   864   919   123   172   122   181 0.80 -
scaffold00097:78121-79746   -            542 179362at2759         -            938   6.2e-07   23.0   5.6   3   5     0.051       1.6    1.8   0.2    26    40   273   287   271   314 0.82 -
scaffold00097:78121-79746   -            542 179362at2759         -            938   6.2e-07   23.0   5.6   4   5       1.1        35   -2.6   0.1   226   271   338   383   311   402 0.60 -
scaffold00097:78121-79746   -            542 179362at2759         -            938   6.2e-07   23.0   5.6   5   5   0.00025    0.0079    9.4   0.0   874   925   489   533   473   538 0.74 -
scaffold00027:302389-304050 -            554 179362at2759         -            938   2.4e-06   21.1   0.1   1   5      0.22       6.8   -0.3   0.1    25    36    25    36    25    42 0.87 -
scaffold00027:302389-304050 -            554 179362at2759         -            938   2.4e-06   21.1   0.1   2   5   7.5e-08   2.4e-06   21.1   0.1   864   926   177   233   176   238 0.88 -
scaffold00027:302389-304050 -            554 179362at2759         -            938   2.4e-06   21.1   0.1   3   5       3.9   1.2e+02   -4.5   0.9   274   296   272   294   256   310 0.36 -
scaffold00027:302389-304050 -            554 179362at2759         -            938   2.4e-06   21.1   0.1   4   5         1        32   -2.5   0.2    25    35   368   378   368   379 0.94 -
scaffold00027:302389-304050 -            554 179362at2759         -            938   2.4e-06   21.1   0.1   5   5     0.078       2.5    1.2   0.3   873   928   477   526   468   532 0.77 -
scaffold00350:25524-26922   -            423 179362at2759         -            938   3.9e-06   20.4   9.3   1   3   1.3e-06   4.2e-05   16.9   0.2   864   928    50   107    49   116 0.89 -
scaffold00350:25524-26922   -            423 179362at2759         -            938   3.9e-06   20.4   9.3   2   3     0.032         1    2.4   0.2    25    53   244   268   230   275 0.73 -
scaffold00350:25524-26922   -            423 179362at2759         -            938   3.9e-06   20.4   9.3   3   3     0.012      0.37    3.9   0.0   876   924   351   392   338   397 0.78 -
scaffold00049:198934-200532 -            533 179362at2759         -            938   6.2e-06   19.7  18.4   1   5     0.017      0.53    3.4   0.4    25    36    25    36    25    58 0.74 -
scaffold00049:198934-200532 -            533 179362at2759         -            938   6.2e-06   19.7  18.4   2   5   1.1e-06   3.4e-05   17.2   0.1   864   926   167   222   166   226 0.87 -
scaffold00049:198934-200532 -            533 179362at2759         -            938   6.2e-06   19.7  18.4   3   5         3        94   -4.1   0.5   288   312   264   288   249   299 0.35 -
scaffold00049:198934-200532 -            533 179362at2759         -            938   6.2e-06   19.7  18.4   4   5      0.04       1.3    2.1   0.0    25    41   360   373   359   400 0.76 -
scaffold00049:198934-200532 -            533 179362at2759         -            938   6.2e-06   19.7  18.4   5   5    0.0012     0.037    7.2   0.1   876   927   468   512   456   518 0.85 -
