PtTHIC	CAACVS010000170_1	82.382	613	97	5	11	617	17613	15790	0.0	1019
PtTH1	CAACVS010000225_1	53.772	623	241	8	4	579	227915	226047	0.0	597
PtTHIO	CAACVS010000647_1	56.533	750	257	13	85	770	129597	127363	0.0	771
PtTHIS	CAACVS010000224_1	30.435	46	31	1	22	66	60910	60773	0.91	27.7
PtTHIF	CAACVS010000650_1	49.738	382	160	2	105	454	48575	49720	1.57e-111	362
PtDXS	CAACVS010000420_1	76.045	718	108	4	77	731	9899	7749	0.0	1105
PtTHIG	CAACVS010000123_1	35.714	56	34	1	181	234	72982	72815	0.001	40.8
PtTPK	CAACVS010000214_1	49.388	245	106	8	19	248	191073	190348	2.59e-61	209
PtSSSP	CAACVS010000021_1	62.807	285	105	1	3	286	53139	52285	1.51e-110	364
FsFOLR	CAACVS010000097_1	41.463	41	22	2	108	147	74705	74586	2.6	30.4
CrTHI4	CAACVS010000694_1	50.000	36	13	1	87	117	72267	72374	0.21	34.7
