#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_3864:33866-36565 -            863 1803at33634          -            592  1.2e-210  694.8  16.6   1   4  1.1e-155  5.9e-154  507.6   0.2     9   368    38   458    32   474 0.87 -
scaffold_3864:33866-36565 -            863 1803at33634          -            592  1.2e-210  694.8  16.6   2   4   1.7e-36   9.2e-35  114.0   0.1   357   456   475   615   468   624 0.84 -
scaffold_3864:33866-36565 -            863 1803at33634          -            592  1.2e-210  694.8  16.6   3   4   5.3e-21   2.9e-19   62.8   1.3   454   550   637   774   628   780 0.76 -
scaffold_3864:33866-36565 -            863 1803at33634          -            592  1.2e-210  694.8  16.6   4   4   0.00027     0.015    7.7   0.7   549   581   801   837   795   854 0.64 -
scaffold_11132:1683-4899  -            890 1803at33634          -            592   3.7e-36  118.6   0.0   1   4   6.5e-17   3.5e-15   49.3   0.0     9   146    30   166    24   181 0.84 -
scaffold_11132:1683-4899  -            890 1803at33634          -            592   3.7e-36  118.6   0.0   2   4   8.1e-10   4.4e-08   25.9   0.0   207   332   190   317   177   322 0.80 -
scaffold_11132:1683-4899  -            890 1803at33634          -            592   3.7e-36  118.6   0.0   3   4    0.0022      0.12    4.6   0.0   149   183   332   366   320   385 0.82 -
scaffold_11132:1683-4899  -            890 1803at33634          -            592   3.7e-36  118.6   0.0   4   4   6.2e-12   3.4e-10   32.9   0.3   338   477   387   552   377   579 0.67 -
scaffold_4465:12094-15719 -           1056 1803at33634          -            592   4.5e-25   82.0   6.4   1   4   1.8e-10   9.8e-09   28.1   0.1    22   163    48   212    34   215 0.69 -
scaffold_4465:12094-15719 -           1056 1803at33634          -            592   4.5e-25   82.0   6.4   2   4   0.00081     0.044    6.1   0.0   249   300   300   351   286   369 0.87 -
scaffold_4465:12094-15719 -           1056 1803at33634          -            592   4.5e-25   82.0   6.4   3   4   2.4e-07   1.3e-05   17.7   0.3   338   356   468   486   423   497 0.92 -
scaffold_4465:12094-15719 -           1056 1803at33634          -            592   4.5e-25   82.0   6.4   4   4   2.1e-10   1.1e-08   27.9   0.0   431   498   593   670   585   690 0.77 -
scaffold_5808:14182-17089 -            752 1803at33634          -            592   9.8e-25   80.9   3.2   1   5     6e-08   3.2e-06   19.7   0.0    21   146    46   194    31   208 0.71 -
scaffold_5808:14182-17089 -            752 1803at33634          -            592   9.8e-25   80.9   3.2   2   5   1.1e-07   5.9e-06   18.9   0.0   255   333   269   356   235   363 0.73 -
scaffold_5808:14182-17089 -            752 1803at33634          -            592   9.8e-25   80.9   3.2   3   5      0.11       5.7   -0.9   0.0   149   197   370   420   359   424 0.77 -
scaffold_5808:14182-17089 -            752 1803at33634          -            592   9.8e-25   80.9   3.2   4   5   1.1e-05   0.00059   12.3   0.7   337   357   424   444   403   459 0.84 -
scaffold_5808:14182-17089 -            752 1803at33634          -            592   9.8e-25   80.9   3.2   5   5   1.8e-08   9.8e-07   21.5   0.0   378   468   485   586   465   601 0.73 -
scaffold_8226:33-2481     -            779 1803at33634          -            592   4.2e-24   78.8   0.2   1   4   8.2e-12   4.5e-10   32.5   0.0    16   146    30   180    17   205 0.75 -
scaffold_8226:33-2481     -            779 1803at33634          -            592   4.2e-24   78.8   0.2   2   4   0.00083     0.045    6.1   0.0   258   300   293   336   279   357 0.81 -
scaffold_8226:33-2481     -            779 1803at33634          -            592   4.2e-24   78.8   0.2   3   4   7.6e-06   0.00041   12.8   0.1   340   356   444   460   432   470 0.88 -
scaffold_8226:33-2481     -            779 1803at33634          -            592   4.2e-24   78.8   0.2   4   4   2.5e-08   1.4e-06   21.0   0.0   381   468   511   608   498   629 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/1803at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Cyclotella_cryptica_Cyccr1/run_stramenopiles_odb10/metaeuk_output/initial_results/Cyccr1_AssemblyScaffolds_Repeatmasked.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Cyclotella_cryptica_Cyccr1/run_stramenopiles_odb10/hmmer_output/initial_run_results/1803at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/1803at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Cyclotella_cryptica_Cyccr1/run_stramenopiles_odb10/metaeuk_output/initial_results/Cyccr1_AssemblyScaffolds_Repeatmasked.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 10:37:56 2021
# [ok]
