# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	OLMU01003281_1	17349	20662	+	1612.4	994
83779at2759	Complete	OLMU01004626_1	3856	5373	+	194.8	233
87842at2759	Complete	OLMU01000222_1	1401	5368	+	177.2	516
97116at2759	Complete	OLMU01001426_1	6170	10152	+	716.9	920
100698at2759	Complete	OLMU01000609_1	1497	3902	+	693.4	509
142542at2759	Missing
156083at2759	Complete	OLMU01000490_1	326	7920	+	3431.5	1927
160593at2759	Missing
166920at2759	Complete	OLMU01000289_1	0	3343	-	322.8	565
176625at2759	Fragmented	OLMU01001172_1	4690	6901	-	123.7	210
179362at2759	Fragmented	OLMU01005543_1	514	1246	+	275.5	171
245208at2759	Complete	OLMU01004673_1	3332	5888	+	1098.9	690
257318at2759	Complete	OLMU01000390_1	1439	3851	-	225.4	325
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	OLMU01000266_1	1028	4038	-	572.0	578
293315at2759	Complete	OLMU01000707_1	729	4258	-	592.6	612
296129at2759	Complete	OLMU01004061_1	2524	5959	+	889.0	710
299766at2759	Complete	OLMU01003184_1	3499	7278	-	332.6	436
306227at2759	Complete	OLMU01000465_1	104	2301	-	429.8	512
320059at2759	Complete	OLMU01003716_1	3191	4804	-	805.7	451
324863at2759	Complete	OLMU01002724_1	3126	6181	-	495.7	552
325552at2759	Missing
330169at2759	Complete	OLMU01002355_1	4118	5659	-	249.7	318
331411at2759	Missing
341721at2759	Complete	OLMU01001377_1	18443	20254	+	221.5	360
345441at2759	Complete	OLMU01003948_1	131	1903	-	339.0	343
355408at2759	Complete	OLMU01002600_1	2091	4348	-	596.5	553
369837at2759	Complete	OLMU01004002_1	279	2618	+	220.6	332
375960at2759	Complete	OLMU01000924_1	24	1270	+	273.9	294
383503at2759	Fragmented	OLMU01001437_1	4741	6564	-	221.5	234
388820at2759	Missing
390348at2759	Complete	OLMU01004414_1	7288	9506	+	809.9	533
392369at2759	Complete	OLMU01000632_1	3312	5286	-	381.4	343
396755at2759	Complete	OLMU01001437_1	12486	16265	-	209.5	578
418107at2759	Complete	OLMU01004180_1	4036	5397	-	399.8	469
426305at2759	Complete	OLMU01003050_1	3183	5618	-	288.6	522
450058at2759	Missing
453044at2759	Complete	OLMU01003023_1	1930	3539	-	228.3	283
457861at2759	Missing
464990at2759	Missing
491869at2759	Duplicated	OLMU01004420_1	1079	2674	-	192.4	245
491869at2759	Duplicated	OLMU01005030_1	1179	2213	+	184.7	251
513979at2759	Complete	OLMU01005538_1	844	2554	-	155.4	242
543764at2759	Complete	OLMU01000427_1	7719	9203	-	166.5	231
549762at2759	Complete	OLMU01001479_1	17614	19517	-	410.0	347
551907at2759	Complete	OLMU01005261_1	15596	18462	+	198.6	321
570797at2759	Complete	OLMU01002606_1	713	2565	+	408.2	456
582756at2759	Complete	OLMU01000128_1	750	1940	+	198.2	323
