# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Missing
83779at2759	Complete	scaffold_12599	264	2766	+	201.7	247
87842at2759	Fragmented	scaffold_5290	14464	19737	-	151.7	378
97116at2759	Complete	scaffold_5088	17146	21409	-	699.3	862
100698at2759	Complete	scaffold_8337	61	2479	+	701.7	499
142542at2759	Missing
156083at2759	Complete	scaffold_6444	3602	11040	+	3382.3	1904
160593at2759	Complete	scaffold_4685	15395	20602	+	1045.1	1028
166920at2759	Complete	scaffold_4210	26527	30541	-	473.8	718
176625at2759	Fragmented	scaffold_3937	38552	43196	+	152.3	272
179362at2759	Complete	scaffold_8103	732	6051	-	599.5	1090
245208at2759	Complete	scaffold_3905	3416	6727	+	1381.1	846
257318at2759	Complete	scaffold_5726	1974	4702	+	202.7	324
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	scaffold_10311	2114	4946	+	549.7	526
293315at2759	Fragmented	scaffold_7583	6294	9844	+	379.2	482
296129at2759	Complete	scaffold_5064	11756	15975	+	754.6	750
299766at2759	Complete	scaffold_5666	11777	15642	-	279.5	422
306227at2759	Complete	scaffold_5508	11860	13947	-	446.7	513
320059at2759	Complete	scaffold_6259	1187	3167	+	795.2	450
324863at2759	Complete	scaffold_4304	9562	22993	-	330.4	468
325552at2759	Missing
330169at2759	Complete	scaffold_4062	20418	22052	-	233.0	303
331411at2759	Missing
341721at2759	Complete	scaffold_3781	62952	65267	+	181.3	365
345441at2759	Complete	scaffold_7040	9697	11654	+	342.6	400
355408at2759	Complete	scaffold_9545	3613	5787	-	591.9	552
369837at2759	Complete	scaffold_4118	19803	22532	+	181.6	353
375960at2759	Complete	scaffold_4571	21319	23184	-	290.9	340
383503at2759	Fragmented	scaffold_15126	96	590	+	216.3	128
388820at2759	Missing
390348at2759	Complete	scaffold_7343	874	3956	+	1080.0	704
392369at2759	Complete	scaffold_4427	1675	3641	+	375.9	338
396755at2759	Complete	scaffold_3866	22160	26134	-	196.6	576
418107at2759	Complete	scaffold_8057	7543	9264	-	375.7	327
426305at2759	Complete	scaffold_3898	13153	15827	+	291.8	513
450058at2759	Missing
453044at2759	Fragmented	scaffold_4865	7838	8581	+	114.4	146
457861at2759	Missing
464990at2759	Missing
491869at2759	Complete	scaffold_4121	34085	35854	+	165.7	228
513979at2759	Complete	scaffold_4805	11727	13540	+	147.4	165
543764at2759	Complete	scaffold_4073	31912	33659	+	165.0	221
549762at2759	Duplicated	scaffold_10349	2224	4536	+	386.6	375
549762at2759	Duplicated	scaffold_10371	2224	4536	+	386.6	375
549762at2759	Duplicated	scaffold_11060	2811	5123	+	386.6	375
549762at2759	Duplicated	scaffold_7077	41	2353	-	386.6	375
549762at2759	Duplicated	scaffold_7078	41	2353	-	386.6	375
551907at2759	Complete	scaffold_8565	516	3509	+	182.3	317
570797at2759	Complete	scaffold_9043	3031	5202	+	409.5	442
582756at2759	Complete	scaffold_5062	12281	17619	+	140.2	348
598949at2759	Complete	scaffold_5244	6908	10042	+	298.9	363
604979at2759	Complete	scaffold_4714	23993	25928	-	363.7	259
621827at2759	Missing
625387at2759	Fragmented	scaffold_14426	1443	2063	+	70.5	129
655400at2759	Fragmented	scaffold_3979	15052	16170	+	143.5	167
664730at2759	Complete	scaffold_6256	5659	7009	-	560.4	320
671536at2759	Fragmented	scaffold_6857	5650	6597	+	369.6	231
671846at2759	Complete	scaffold_4398	9784	12228	-	66.5	269
673132at2759	Complete	scaffold_4890	21261	22638	-	246.1	271
674160at2759	Fragmented	scaffold_5049	216	8409	+	251.1	580
674169at2759	Missing
679187at2759	Missing
679771at2759	Complete	scaffold_4281	10894	12506	-	68.9	145
687505at2759	Complete	scaffold_4015	11102	12335	-	150.4	267
692986at2759	Fragmented	scaffold_13868	168	1015	+	87.3	141
708105at2759	Fragmented	scaffold_5476	12072	13529	+	59.6	142
719531at2759	Complete	scaffold_4494	11017	12551	-	334.1	290
720340at2759	Fragmented	scaffold_12580	302	610	+	81.5	84
721605at2759	Complete	scaffold_5404	1989	3725	+	175.8	250
722805at2759	Missing
734341at2759	Complete	scaffold_7591	2838	3866	-	75.1	137
734666at2759	Complete	scaffold_4771	2596	4641	-	335.0	363
736068at2759	Complete	scaffold_5179	18259	19908	+	143.9	288
