#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QAXB01016264_1:592-906   -            105 687505at2759         -            225   9.9e-22   73.3   0.5   1   1   5.1e-23   1.1e-21   73.2   0.5     3    65     1    68     1    87 0.87 -
QAXB01035819_1:2-799     -            266 687505at2759         -            225   7.4e-21   70.5  10.0   1   3   1.5e-09   3.3e-08   29.1   0.6     2    34     6    41     5    53 0.90 -
QAXB01035819_1:2-799     -            266 687505at2759         -            225   7.4e-21   70.5  10.0   2   3   2.6e-11   5.6e-10   34.9   0.7    26    73    71   119    47   124 0.85 -
QAXB01035819_1:2-799     -            266 687505at2759         -            225   7.4e-21   70.5  10.0   3   3    0.0004    0.0084   11.4   0.1    78   156   186   256   160   266 0.82 -
QAXB01052179_1:281-685   -            135 687505at2759         -            225   1.2e-20   69.8   0.2   1   1     7e-22   1.5e-20   69.5   0.2     4    72     3    74     1    82 0.95 -
QAXB01007777_1:268-429   -             54 687505at2759         -            225   1.4e-20   69.5   0.5   1   1   7.4e-22   1.6e-20   69.4   0.5     4    54     1    54     1    54 0.97 -
QAXB01028828_1:378-1154  -            259 687505at2759         -            225   2.2e-20   68.9   4.7   1   3   0.00038     0.008   11.5   0.0    78   110    29    61    11    79 0.77 -
QAXB01028828_1:378-1154  -            259 687505at2759         -            225   2.2e-20   68.9   4.7   2   3     0.037      0.78    5.0   0.3   101   117    78    94    73   100 0.88 -
QAXB01028828_1:378-1154  -            259 687505at2759         -            225   2.2e-20   68.9   4.7   3   3   7.5e-17   1.6e-15   53.0   0.2   107   224   100   250    95   251 0.77 -
QAXB01047831_1:3390-3665 -             92 687505at2759         -            225   2.5e-20   68.7   0.1   1   1   1.4e-21     3e-20   68.5   0.1     2    66    12    82    11    87 0.87 -
QAXB01028639_1:190-396   -             69 687505at2759         -            225   2.5e-19   65.4   1.0   1   1   1.3e-20   2.7e-19   65.4   1.0     4    65     4    69     1    69 0.89 -
QAXB01052084_1:99-305    -             69 687505at2759         -            225   4.1e-19   64.8   1.1   1   1   2.1e-20   4.3e-19   64.7   1.1     4    65     4    69     1    69 0.89 -
QAXB01051229_1:1118-1312 -             65 687505at2759         -            225   6.3e-19   64.2   1.2   1   1   3.2e-20   6.8e-19   64.0   1.2     5    62     2    65     1    65 0.86 -
QAXB01045055_1:1101-1295 -             65 687505at2759         -            225   2.1e-18   62.5   1.2   1   1   1.1e-19   2.2e-18   62.3   1.2     5    62     2    65     1    65 0.86 -
QAXB01029805_1:11-199    -             63 687505at2759         -            225   1.8e-17   59.4   2.2   1   1   9.2e-19     2e-17   59.3   2.2     4    63     2    63     1    63 0.93 -
QAXB01046335_1:1718-2038 -            107 687505at2759         -            225   4.7e-17   58.0   1.3   1   1   2.3e-18     5e-17   57.9   1.3     4    70     1    74     1    99 0.86 -
QAXB01000565_1:45-482    -            146 687505at2759         -            225   5.6e-17   57.8   1.9   1   2   5.4e-09   1.1e-07   27.3   0.1    78   130     9    58     5    59 0.88 -
QAXB01000565_1:45-482    -            146 687505at2759         -            225   5.6e-17   57.8   1.9   2   2   1.2e-10   2.6e-09   32.7   0.5   101   166    54   131    53   138 0.76 -
QAXB01042938_1:457-684   -             76 687505at2759         -            225   5.7e-17   57.8   1.5   1   1   1.3e-16   2.8e-15   52.2   1.5     4    62     1    76     1    76 0.78 -
QAXB01048416_1:3807-3986 -             60 687505at2759         -            225   9.8e-17   57.0   0.6   1   1     5e-18   1.1e-16   56.9   0.6     6    62     1    60     1    60 0.96 -
QAXB01015603_1:158-385   -             76 687505at2759         -            225   1.8e-16   56.1   2.5   1   1   3.3e-16     7e-15   50.9   2.5     4    62     1    76     1    76 0.79 -
QAXB01050646_1:2772-3155 -            128 687505at2759         -            225   4.5e-16   54.8   1.7   1   1     3e-17   6.3e-16   54.3   1.7     3    64    13    83    11    94 0.83 -
QAXB01046025_1:5-1213    -            403 687505at2759         -            225   7.1e-16   54.2   0.2   1   1     6e-17   1.3e-15   53.3   0.2     3    65    79   145    77   154 0.89 -
QAXB01048999_1:2991-4007 -            339 687505at2759         -            225   4.6e-15   51.5   0.1   1   3   1.9e-12     4e-11   38.6   0.1     3    63    12    81    10    88 0.83 -
QAXB01048999_1:2991-4007 -            339 687505at2759         -            225   4.6e-15   51.5   0.1   2   3      0.15       3.2    3.0   0.0    72    98   139   166   131   182 0.73 -
QAXB01048999_1:2991-4007 -            339 687505at2759         -            225   4.6e-15   51.5   0.1   3   3     0.016      0.35    6.1   0.0   128   198   229   305   224   313 0.74 -
QAXB01016920_1:80-283    -             68 687505at2759         -            225   1.8e-14   49.6   1.1   1   1   9.1e-16   1.9e-14   49.5   1.1     4    62     1    68     1    68 0.83 -
QAXB01041103_1:19-177    -             53 687505at2759         -            225     1e-13   47.1   0.0   1   1   5.3e-15   1.1e-13   47.0   0.0     5    54     1    53     1    53 0.94 -
QAXB01039895_1:1734-1895 -             54 687505at2759         -            225   1.9e-13   46.3   0.7   1   1   9.4e-15     2e-13   46.2   0.7    15    62     1    54     1    54 0.83 -
QAXB01048293_1:2019-2225 -             69 687505at2759         -            225   2.6e-13   45.8   0.6   1   1   1.4e-14   2.9e-13   45.6   0.6     4    62     2    69     1    69 0.88 -
QAXB01013249_1:93-221    -             43 687505at2759         -            225   2.5e-12   42.6   0.4   1   1   1.2e-13   2.6e-12   42.5   0.4    23    62     1    43     1    43 0.92 -
QAXB01054837_1:1467-2135 -            223 687505at2759         -            225   3.8e-12   42.0   1.2   1   1   3.4e-13   7.1e-12   41.1   1.2     6    63     2    62     1    64 0.94 -
QAXB01028143_1:453-671   -             73 687505at2759         -            225     4e-12   41.9   0.9   1   1   2.4e-13   5.1e-12   41.6   0.9     3    61     2    73     1    73 0.77 -
QAXB01049429_1:182-349   -             56 687505at2759         -            225   1.3e-11   40.2   0.1   1   1   6.6e-13   1.4e-11   40.1   0.1     5    49     8    56     4    56 0.89 -
QAXB01015185_1:200-370   -             57 687505at2759         -            225   3.1e-10   35.7   0.2   1   1   1.6e-11   3.3e-10   35.6   0.2     9    63     1    57     1    57 0.89 -
QAXB01033218_1:1461-1646 -             62 687505at2759         -            225   4.4e-10   35.2   0.1   1   1   2.3e-11   4.8e-10   35.1   0.1     6    58     1    61     1    62 0.80 -
QAXB01022228_1:1987-2154 -             56 687505at2759         -            225   5.7e-09   31.6   0.1   1   1   2.8e-10     6e-09   31.5   0.1    12    62     2    56     1    56 0.88 -
QAXB01002823_1:24-224    -             67 687505at2759         -            225   3.9e-08   28.9   0.4   1   1   2.1e-09   4.4e-08   28.7   0.4     6    62     2    67     1    67 0.79 -
QAXB01021851_1:341-526   -             62 687505at2759         -            225   2.4e-07   26.3   0.3   1   1   1.3e-08   2.7e-07   26.1   0.3     8    61     2    56     1    60 0.86 -
QAXB01040941_1:1167-1364 -             66 687505at2759         -            225   2.8e-07   26.1   0.0   1   1   1.3e-08   2.8e-07   26.0   0.0     6    53     3    57     1    66 0.76 -
QAXB01035350_1:0-248     -             83 687505at2759         -            225   4.6e-06   22.1   0.1   1   1   1.4e-05    0.0003   16.1   0.1   164   198     4    39     1    83 0.59 -
QAXB01048387_1:857-1057  -             67 687505at2759         -            225   7.6e-06   21.4   0.1   1   1   4.7e-07     1e-05   21.0   0.1     7    58     2    66     1    67 0.75 -
QAXB01050087_1:2898-3098 -             67 687505at2759         -            225   7.6e-06   21.4   0.1   1   1   4.7e-07     1e-05   21.0   0.1     7    58     2    66     1    67 0.75 -
QAXB01035612_1:953-1108  -             52 687505at2759         -            225   9.6e-06   21.0   0.0   1   1   4.6e-07   9.6e-06   21.0   0.0     3    48     3    51     1    52 0.88 -
QAXB01048051_1:2392-2559 -             56 687505at2759         -            225   3.1e-05   19.4   0.1   1   1   1.5e-06   3.2e-05   19.3   0.1    19    54     1    45     1    56 0.77 -
