ThiC	OLMU01001378_1	47.222	36	19	0	563	598	4691	4584	0.74	32.7
Thi5	OLMU01005660_1	22.545	275	169	16	2	259	2706	1963	9.80e-07	50.4
Thi5-like	OLMU01002431_1	64.286	336	107	4	135	464	1170	184	2.12e-146	427
SSSP	OLMU01005381_1	67.850	479	149	2	87	565	5619	7040	0.0	623
TH1	OLMU01002616_1	55.629	604	207	7	36	579	15308	13500	0.0	593
THIO	OLMU01001464_1	69.877	488	130	8	79	554	847	2295	0.0	660
THIS	OLMU01005536_1	64.062	64	23	0	7	70	575	384	6.43e-22	86.7
THIF	OLMU01000795_1	54.780	387	136	2	107	454	599	1759	1.67e-128	405
DXS	OLMU01004926_1	79.932	588	79	3	16	566	12004	13761	0.0	946
THIG	OLMU01005533_1	85.606	264	38	0	5	268	787	1578	2.59e-146	452
TPK1	OLMU01000581_1	54.104	268	99	7	6	249	8924	8121	2.26e-77	254
FOLR	OLMU01001717_1	40.000	50	27	2	134	182	2168	2311	2.1	29.6
Thi4	OLMU01001921_1	29.474	95	67	0	66	160	1132	1416	0.002	39.7
ThiM	OLMU01007385_1	34.694	49	32	0	99	147	388	534	0.63	30.8
TENA	OLMU01003438_1	76.316	152	36	0	1	152	25120	24665	2.46e-75	247
