#                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
WKLE02005935_1:462-695 -             78 1358374at2759        -            213   1.9e-07   26.9  11.4   1   2      0.12        68   -1.1   0.3     1    12     1    12     1    20 0.47 -
WKLE02005935_1:462-695 -             78 1358374at2759        -            213   1.9e-07   26.9  11.4   2   2   3.3e-10   1.9e-07   26.9  11.4     3    50    19    67    17    78 0.77 -
WKLE02000682_1:3-1319  -            439 1358374at2759        -            213   0.00016   17.3   2.7   1   6     0.025        14    1.1   0.0    53   113    38    98    34   114 0.83 -
WKLE02000682_1:3-1319  -            439 1358374at2759        -            213   0.00016   17.3   2.7   2   6    0.0027       1.5    4.3   0.0    54   114   123   183   110   199 0.90 -
WKLE02000682_1:3-1319  -            439 1358374at2759        -            213   0.00016   17.3   2.7   3   6     0.031        17    0.8   0.0    59   115   170   226   164   244 0.78 -
WKLE02000682_1:3-1319  -            439 1358374at2759        -            213   0.00016   17.3   2.7   4   6      0.14        80   -1.3   0.0    70   114   223   267   207   283 0.77 -
WKLE02000682_1:3-1319  -            439 1358374at2759        -            213   0.00016   17.3   2.7   5   6   0.00049      0.28    6.7   0.0    54   116   291   353   271   367 0.89 -
WKLE02000682_1:3-1319  -            439 1358374at2759        -            213   0.00016   17.3   2.7   6   6      0.05        29    0.1   0.0    63   111   384   432   374   435 0.86 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1358374at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Asterionellopsis_glacialis_ASM1488511v2/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_014885115.2_ASM1488511v2_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Asterionellopsis_glacialis_ASM1488511v2/run_eukaryota_odb10/hmmer_output/initial_run_results/1358374at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1358374at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Asterionellopsis_glacialis_ASM1488511v2/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_014885115.2_ASM1488511v2_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Mon Apr 19 05:52:36 2021
# [ok]
