ThiC	NKIB01001105_1	80.301	599	109	4	25	619	23719	21938	0.0	984
Thi5	NKIB01012656_1	31.915	47	32	0	216	262	4930	5070	2.9	30.8
Thi5-like	NKIB01011255_1	33.333	57	33	2	11	62	3427	3597	0.27	35.0
SSSP	NKIB01000266_1	31.818	66	36	2	374	437	776	952	5.0	30.8
TH1	NKIB01013371_1	60.702	570	204	8	23	579	4732	3044	0.0	630
THIO	NKIB01014556_1	58.627	568	199	10	13	575	35848	37458	0.0	629
THIS	NKIB01013960_1	56.061	66	29	0	5	70	10914	11111	2.47e-18	77.4
THIF	NKIB01013590_1	55.066	454	185	5	11	454	41577	40243	1.69e-142	451
DXS	NKIB01012851_1	87.398	492	61	1	76	567	2316	3788	0.0	905
THIG	NKIB01013960_1	83.209	268	45	0	1	268	35859	36662	1.47e-142	442
TPK1	NKIB01001231_1	54.887	266	100	5	1	251	10196	10978	2.82e-82	269
FOLR	NKIB01000939_1	35.897	39	25	0	133	171	15450	15334	0.69	32.3
Thi4	NKIB01008453_1	47.619	42	20	1	91	132	5838	5957	0.14	35.4
TENA	NKIB01012336_1	72.197	223	62	0	3	225	62274	62942	1.49e-109	346
