#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JAAFKC010004696_1:333-1967    -            545 6684at33634          -            437  4.6e-200  660.3  18.6   1   3  3.4e-139  1.4e-137  454.3   9.7     1   308     6   357     6   363 0.89 -
JAAFKC010004696_1:333-1967    -            545 6684at33634          -            437  4.6e-200  660.3  18.6   2   3   3.5e-46   1.5e-44  147.8   0.2   290   393   363   470   357   475 0.93 -
JAAFKC010004696_1:333-1967    -            545 6684at33634          -            437  4.6e-200  660.3  18.6   3   3   1.9e-20     8e-19   63.0   0.1   392   437   493   540   477   540 0.87 -
JAAFKC010001581_1:204-1835    -            544 6684at33634          -            437  2.3e-195  644.8  21.5   1   2  5.4e-176  2.3e-174  575.6  15.8     1   393     6   472     6   484 0.90 -
JAAFKC010001581_1:204-1835    -            544 6684at33634          -            437  2.3e-195  644.8  21.5   2   2   1.4e-21   5.8e-20   66.8   0.3   381   437   484   540   475   540 0.89 -
JAAFKC010000191_1:16486-18021 -            512 6684at33634          -            437   3.2e-84  278.6   4.2   1   1   2.5e-85     1e-83  276.8   4.2     9   436     7   505     1   506 0.83 -
JAAFKC010001648_1:4591-6126   -            512 6684at33634          -            437   3.2e-84  278.6   4.2   1   1   2.5e-85     1e-83  276.8   4.2     9   436     7   505     1   506 0.83 -
JAAFKC010002908_1:2797-4464   -            507 6684at33634          -            437   1.5e-74  246.7  13.0   1   1   4.6e-75     2e-73  243.0  13.0     1   437     1   505     1   505 0.78 -
JAAFKC010000083_1:25549-27177 -            509 6684at33634          -            437   8.9e-71  234.2  13.0   1   1   1.5e-71   6.2e-70  231.4  13.0     1   437     1   509     1   509 0.75 -
JAAFKC010000189_1:9642-11270  -            509 6684at33634          -            437   8.9e-71  234.2  13.0   1   1   1.5e-71   6.2e-70  231.4  13.0     1   437     1   509     1   509 0.75 -
JAAFKC010002087_1:761-2455    -            565 6684at33634          -            437   1.7e-61  203.6   9.4   1   3   4.7e-33     2e-31  104.6   2.3     1   165     2   176     2   217 0.80 -
JAAFKC010002087_1:761-2455    -            565 6684at33634          -            437   1.7e-61  203.6   9.4   2   3   2.9e-27   1.2e-25   85.5   0.4   184   393   251   484   231   494 0.80 -
JAAFKC010002087_1:761-2455    -            565 6684at33634          -            437   1.7e-61  203.6   9.4   3   3   3.2e-06   0.00014   16.1   0.0   388   435   517   565   503   565 0.85 -
JAAFKC010002393_1:309-1862    -            518 6684at33634          -            437   4.7e-59  195.6  20.6   1   2   2.7e-29   1.2e-27   92.2   2.2    17   146     1   152     1   157 0.81 -
JAAFKC010002393_1:309-1862    -            518 6684at33634          -            437   4.7e-59  195.6  20.6   2   2     2e-33   8.4e-32  105.8  10.7   154   437   182   516   167   516 0.76 -
